arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,hit99,hit999,correct_at_hit_plus_500,hit_plus_500_observed,min_correct_after_hit,switch_step,pin_step,pf_disp_l1,pf_disp_l2,pf_disp_l3,pf_P_same,pf_mv_same,pf_mv_restored
LR,std,0,0,0.001,1,none,0.9846354167,1,1,0,0,-0.6892368197,12.90841293,-6.363197327,0.5267500877,70.95515797,0,0,-0.9596230388,8.477724075,-6.220300198,0.503500104,70.03113823,2.696618795,0.8599668741,1.114793658,1600,1700,1200,1,1199,2200,7100,4.806523439,0.4679150911,0.1425116095,1,1,1
LR,std,0,0,0.001,2,none,0.9807020833,1,1,0,0,-2.066400766,20.7406044,-9.317415237,0.5080000758,71.57692296,0,0,-12.60740948,15.05342293,-30.57736397,0.2852500379,79.08785705,4.177393913,1.068918228,1.205337167,1500,2000,1200,1,1197,2500,6900,7.954583911,0.5807670014,0.1205721159,1,1,1
LR,std,0,0,0.001,3,none,0.9827375,1,1,0,0,-2.043207407,23.11369324,-12.09036732,0.5087501407,73.1940563,0,0,-17.62652779,17.78050232,-35.77362061,0.2469999939,77.14778652,5.011516571,1.18202877,1.16638267,1400,1700,1199,1,1198,2200,6100,11.5795544,0.7608480875,0.1196330507,1,1,1
LR,std,0,0,0.001,4,none,0.9816833333,1,1,0,0,-2.672404528,25.6446476,-12.3062191,0.5035000443,75.16396181,0,0,-18.96000862,20.13706017,-38.70296097,0.241749987,82.7322223,5.787985802,1.287664056,1.098964453,1500,2200,1200,1,1199,2700,7600,9.923756281,0.7023742306,0.0961789815,1,1,1
LR,std,0,0,0.001,5,none,0.9820208333,1,1,0,0,-2.995230675,28.19391632,-13.42629814,0.5027500987,75.05107238,0,0,-23.29970932,24.14413452,-53.85162735,0.2319999784,79.72448548,6.421750069,1.349215269,1.045638561,1700,2000,1200,1,1200,2500,6900,13.65128547,0.8675872089,0.1077009564,1,1,1
LR,std,0,0,0.001,6,none,0.98213125,1,1,0,0,-3.24297595,29.14271164,-14.78052425,0.5035000443,75.11497221,0,0,-29.04243851,26.41284561,-48.6267395,0.1989999712,81.3160565,7.044407845,1.457621813,1.017293334,1600,2000,1200,1,1200,2500,7000,15.59710338,0.9674840513,0.1109612408,1,1,1
LR,std,0,0,0.001,7,none,0.9826270833,1,1,0,0,-3.776132584,31.49322891,-13.58676147,0.5012500882,75.54815806,0,0,-33.14039612,29.0805378,-53.45810699,0.1959999651,82.00746693,7.510628223,1.516919136,0.9527456164,1500,1900,1200,1,1199,2400,6400,18.80160098,1.040671931,0.1073613208,1,1,1
LR,std,0,0,0.001,8,none,0.9831229167,1,1,0,0,-4.148061752,32.50407028,-13.59907913,0.4975001216,75.58565335,0,0,-34.43055344,31.50035667,-66.37636566,0.1982499659,81.08921962,7.992034912,1.575522304,0.9156659842,1500,1700,1200,1,1200,2200,6100,20.45519946,1.122256594,0.1170027963,1,1,1
LR,std,0,0,0.001,9,none,0.9804541667,1,1,0,0,-4.812921047,33.15326309,-13.1920023,0.4892500937,76.8690042,0,0,-43.0647316,33.94810486,-64.29763031,0.1644999683,82.65954476,8.573133469,1.634399295,0.8067043424,1700,2200,990,1,990,2700,3100,103.9781561,3.289603145,0.09734063117,1,1,1
LR,std,0,0,0.001,10,none,0.9786,1,1,0,0,-4.914124489,34.9934845,-16.37231827,0.4945001304,76.51034302,0,0,-42.65028,35.37638855,-81.29086304,0.1907499731,83.43679445,8.899655342,1.693041563,0.9231961966,1800,2200,1200,1,1200,2700,6700,23.76454366,1.213964916,0.1145049147,1,1,1
LR,std,0,0,0.001,11,none,0.98111875,1,1,0,0,-4.248487949,36.52441788,-17.89356232,0.4975001216,76.80931366,0,0,-46.74100876,38.02711105,-74.09272003,0.1809999645,82.64186177,9.298176765,1.744897723,0.87727952,1700,2100,1200,1,1200,2600,6500,26.05843789,1.328515775,0.103933142,1,1,1
LR,std,0,0,0.001,12,none,0.98119375,1,1,0,0,-4.808039665,36.40045166,-17.31172943,0.5012500882,77.64539457,0,0,-47.14360046,38.82258224,-80.61840057,0.1847499609,83.59116574,9.701349258,1.806312561,0.8471770287,1700,2100,1200,1,1199,2600,6700,26.94055601,1.339047211,0.1127029327,1,1,1
