seed,arm,late_fit,online_life,T_half,T_half_censored,tier,n,mean,sd,level,degenerate,n_pos,n_neg,lo,hi,sign
0,C36,0.04900493545512543,0.37897370833333327,14,False,,,,,,,,,,,
0,E1,0.0005746840269889933,0.308862375,14,False,,,,,,,,,,,
0,E1_lr1e3,-0.014243860897211386,0.2835473333333333,11,False,,,,,,,,,,,
0,E36,0.7335744585422488,0.8255566666666668,,True,,,,,,,,,,,
0,S36,-0.0014561449716560839,0.39074416666666667,19,False,,,,,,,,,,,
1,C36,0.03922529113168559,0.38125816666666673,13,False,,,,,,,,,,,
1,E1,0.002067063738291948,0.31031854166666667,15,False,,,,,,,,,,,
1,E1_lr1e3,-0.019142334492628525,0.19498983333333336,7,False,,,,,,,,,,,
1,E36,0.7365432882074737,0.8279315000000002,,True,,,,,,,,,,,
1,S36,0.002895276627716809,0.34435075000000004,16,False,,,,,,,,,,,
2,C36,0.023753437526410216,0.360950625,12,False,,,,,,,,,,,
2,E1,0.0014997230828542886,0.31194466666666665,14,False,,,,,,,,,,,
2,E1_lr1e3,-0.01655722611296818,0.273538375,11,False,,,,,,,,,,,
2,E36,0.7472469725184174,0.8244224166666666,,True,,,,,,,,,,,
2,S36,0.0009808999503641885,0.37202562499999997,18,False,,,,,,,,,,,
,slope_effect,,,,,report_3_seeds,3,0.35060993598553475,0.010196242345707894,0.95,False,3,0,0.3252810658564139,0.3759388061146556,+
,cap_effect,,,,,report_3_seeds,3,0.38713114682113353,0.004023900878885691,0.95,False,3,0,0.37713522289954743,0.39712707074271963,+
,slope_minus_cap,,,,,report_3_seeds,3,-0.03652121083559878,0.013845261583920177,0.95,False,0,3,-0.07091474726526598,-0.00212767440593159,-
