arm,iv,seed,p_early,p_late,unit_iqr,unit_med,frozen,sat20,sat120,slope_early,slope_late,sqrt_r2,k,k_r2,E_neg,E_n,E_med,E_rel_med,cnorm120,zbar120,sigma120,acc_early,acc_late,r_slope,acc_drop
LR,none,0,0.40662569198813775,0.465319938577518,0.05049582426227811,0.4515180911996905,0,0.0,0.0,-0.03296406556805947,-0.023415516600364873,0.9744657888002481,-1.5258223902019148,0.9868589106921152,4,6,-2.794247517395876e-09,1.9847133158866835e-07,8.396231536853593,-4.260338054668587,2.7959129556552043,0.9203799962997437,0.8998600125312806,0.710334608212081,-0.02051998376846309
LR,none,1,0.4037288322826506,0.4707296234622914,0.03898433890060027,0.4587198851024182,0,0.0,0.0,-0.0258786390698659,-0.013761068141103621,0.9814749224715908,-1.6222929167491775,0.9894072882194589,4,6,-4.560897904140604e-09,3.18731390000849e-07,8.392657375509451,-4.055433341947215,2.566442034186515,0.9189999818801879,0.9022799968719483,0.5317539343530452,-0.01671998500823968
LR,none,2,0.4042132898784872,0.4759036474775453,0.045156095298682974,0.4585069880911539,0,0.0,0.0,-0.038339093876305325,-0.02850912822014015,0.9613794695082093,-1.63775406380703,0.9742436333965941,5,6,-2.2665410364525185e-09,1.2103049513341136e-07,8.472411416069395,-4.682956246404998,2.7082827562003544,0.9225600123405456,0.8968400001525879,0.7436046431384133,-0.02572001218795772
SNA,none,0,0.3742873075409487,0.3723229089769504,0.03429103327534627,0.3827071315591527,0,0.14759765625,0.15126953125,-0.0051017188891678495,-0.0002718560912305347,0.5735684253713624,-0.35228782598902586,0.5989701782308119,0,6,0.0390326836474931,1.0209088462599611,6.165710397344139,-1.1268737273692553,1.6762065202913514,0.923580002784729,0.9161599993705749,0.053287156179410274,-0.007420003414154053
SNA,none,1,0.3663534004733938,0.378831731306188,0.04425740503420461,0.3822284721487381,0,0.1549609375,0.14951171875,-0.007838991124377187,-0.003917102245951767,0.8860382935031652,-0.6854033059678224,0.8918343946881271,3,6,0.005960262737826101,0.3084394107084236,6.146427058793751,-1.4168130536080148,1.85665806112588,0.9235599994659424,0.9151800036430359,0.49969469078369233,-0.008379995822906494
SNA,none,2,0.3715238187840891,0.3859684567802169,0.03174995546117082,0.3835395151100377,0,0.151875,0.149453125,-0.010204614100898853,-0.0036659970619503535,0.8207349443960282,-0.5376059508214603,0.8477315451734352,2,6,0.00695913526250735,0.3267646326696294,6.184266982570166,-1.492407819104946,1.899820622976579,0.9248799920082093,0.9120799899101257,0.35924896578180665,-0.012800002098083518
ELU1,none,0,0.4297307650868984,0.43738255152619115,0.0517004951194992,0.4595866114624428,1,0.30888671875,0.58677734375,-0.07425040270250337,-0.020307996537867336,0.973382219503702,-1.450832692379307,0.995702684554393,6,6,-0.027110079055369052,0.7338203123371542,8.270829511699906,-6.966443546664489,4.728204541195139,0.9220400094985962,0.9011599898338318,0.27350688748766405,-0.020880019664764382
ELU1,none,1,0.43260040379471526,0.43040946649469136,0.04977520753884612,0.4581056496272109,0,0.33966796875,0.6028515625,-0.05846878982433029,-0.03319505165320394,0.9943042164845,-1.6383996957236153,0.9957017788695915,2,6,0.00846407052069885,0.42924293743416014,8.38825390389899,-6.40538680355623,3.936122831594965,0.9182799935340882,0.9049999952316284,0.5677396736436413,-0.013279998302459739
ELU1,none,2,0.4258406904682837,0.4192871113942073,0.0481494674158191,0.44616746550633496,0,0.3404296875,0.58978515625,-0.07330128435458878,-0.01701889752106363,0.9661587403318359,-1.4962981941958302,0.9961220907785376,3,6,-0.013837365858048149,0.9426075642473439,8.202761411481509,-6.919548606078888,4.481588830564934,0.9212799906730652,0.9003600120544434,0.23217734410677102,-0.020919978618621826
ELU03,none,0,0.40279558648205604,0.44277496336866806,0.0497367978634225,0.4457867003698004,0,0.5075,0.627734375,-0.0366304753773501,-0.014038276851431343,0.9774532080988078,-1.161043715083669,0.9901559418079992,4,6,-0.01196783778138185,0.5008573381884114,8.200023019826357,-4.075386095979622,3.234408527982152,0.9273000001907349,0.8988199949264526,0.3832403676669645,-0.028480005264282293
ELU03,none,1,0.4048560160473483,0.4362313868359345,0.0412295687005913,0.43555098723516467,0,0.56890625,0.68447265625,-0.037857034713488495,-0.019598628702494122,0.9822879991304826,-1.454842479903523,0.9941704498755609,4,6,-0.01307497086500985,0.9757041081627946,8.051768422497839,-5.38029301031852,3.5472268481046005,0.9215999960899353,0.9036999940872192,0.5177011049814505,-0.01790000200271602
ELU03,none,2,0.4063061294706414,0.4501117128216461,0.04337019530234354,0.4378042330058408,0,0.528515625,0.66267578125,-0.03895321612018244,-0.02244671005957152,0.9836436800896017,-1.3248390808888937,0.9869292554884553,5,6,-0.0066589561399240495,0.8444930679242804,8.11104907944181,-4.859857447530439,3.4040484640194006,0.9235200047492981,0.9025199770927429,0.5762479275219956,-0.021000027656555176
ELU1,l2,0,-0.0008012645821395755,-0.004637681258949285,0.1020211046044215,-0.0016734893713368777,90,0.00244140625,0.00099609375,0.0015683772334784294,0.0016984463679369283,0.4466496937380343,1.0281044202105292,0.013537686071786625,2,6,0.005160813634257451,0.1050822248928735,1.020478379322885,0.1389097427956255,0.32359956824907,0.9151800036430359,0.9342399954795837,1.0829323020521184,0.01905999183654783
ELU1,l2,1,0.003496901291570455,-0.0007061606303202703,0.08578531126335256,-0.011959808557291871,91,0.001875,0.000390625,0.00036518075753431983,0.003632558838379118,0.42352965534628706,-1.473890346526839,0.025723309709169917,3,6,-0.00030519958234745,0.03173377370655033,1.0203558470107503,0.2602497902585347,0.3135576909611751,0.911899995803833,0.9352599859237671,9.947289837794175,0.02335999011993417
ELU1,l2,2,0.00687235747992993,0.0069511002298131555,0.08855842342797635,-0.013245450596187258,92,0.001875,0.0005078125,0.0012266578040210344,-0.0007387245898946605,0.34636935519972467,2.652971833150739,0.12796484529451835,3,6,0.0016142018093722003,0.11007920000899468,1.0209018796949427,0.1393192558183147,0.3144559232772572,0.9155399799346924,0.9324599862098694,-0.6022254841350955,0.01692000627517698
