task,phase,zbar_cur,sigma_cur,between_cur,pos_frac,zbar_inv,sigma_inv,between_inv,cnorm,cnorm2,rowmean,bias,w2col,sat,gate_mean,dead_units,arm,iv,alpha,seed,acc,r_W1b1,r_W2,E,E_pred,E_pred_wrong,r_scale,ce_loss,wd_radial
1,start,0.017754172577613234,0.1470639537174322,0.01492543444079601,0.53455078125,0.010852423356776825,0.14785244782347204,0.006670811442605916,0.5767626825802897,0.3327448627869192,0.00011044525494720699,3.2118180533871055e-05,0.57041784362722,0.0,0.9402949281525799,0,ELU1,l2,1.0,1,,,,,,,,,
1,end,0.31744378249346455,0.820227247214026,0.1585720426177403,0.61927734375,0.1162667947576893,0.21367218315343003,0.09714432026454203,0.7541890489985376,0.5729506849669845,0.001051905146911711,0.0026538205606630072,0.6739789627262536,5.859375e-05,0.8507309920105763,0,ELU1,l2,1.0,1,0.9034000039100647,,,,,,,,
2,start,0.11740479031418824,0.22894016848455043,0.13068657912347753,0.60466796875,0.1162667947576893,0.21367218315343003,0.09714432026454203,0.7541890489985376,0.5729506849669845,0.001051905146911711,0.0026538205606630072,0.6739789627262536,0.0,0.9076841237870394,0,ELU1,l2,1.0,1,,,,,,,,,
2,end,0.037293984452930105,0.8868418685256384,0.23466957001444905,0.5097265625,0.030645307854600855,0.26901563210206086,0.18587033385806287,0.8958479355349536,0.8085068662193956,0.00032999656159243016,-0.0005643901554867625,0.6487236202287945,0.00287109375,0.7702083667182705,0,ELU1,l2,1.0,1,0.9034000039100647,,,,,,,,
3,start,0.015553398239149863,0.28925807650525687,0.1861740796622776,0.50517578125,0.030645307854600855,0.26901563210206086,0.18587033385806287,0.8958479355349536,0.8085068662193956,0.00032999656159243016,-0.0005643901554867625,0.6487236202287945,0.0,0.8525856614694931,0,ELU1,l2,1.0,1,,,,,,,,,
3,end,0.030034976110546653,0.9109445287058624,0.2519445733141181,0.49919921875,-0.016163261548782174,0.2828812506306746,0.19866178067796256,0.9639803309863165,0.9396068917351773,-9.558060503058453e-05,-0.0030119866793393156,0.6280013786590063,0.003359375,0.7635491622181871,0,ELU1,l2,1.0,1,0.907800018787384,,,,,,,,
4,start,-0.008544352038048781,0.28404688506342907,0.21252258728157655,0.51017578125,-0.016163261548782174,0.2828812506306746,0.19866178067796256,0.9639803309863165,0.9396068917351773,-9.558060503058453e-05,-0.0030119866793393156,0.6280013786590063,3.90625e-05,0.8412783737565042,0,ELU1,l2,1.0,1,,,,,,,,,
4,end,-0.0009980385942718396,0.9503491980820602,0.24704583705444969,0.483515625,-0.04875000072975166,0.2972891158639736,0.22352380936630575,0.9922368487585119,1.0018230705292783,-0.00042793222352356317,-0.0037252896022982895,0.6196868117523793,0.00431640625,0.7509557105165641,0,ELU1,l2,1.0,1,0.9157999753952026,,,,,,,,
5,start,-0.0431892441042846,0.2931591192422492,0.22780432774018503,0.48095703125,-0.04875000072975166,0.2972891158639736,0.22352380936630575,0.9922368487585119,1.0018230705292783,-0.00042793222352356317,-0.0037252896022982895,0.6196868117523793,1.953125e-05,0.8261465808227513,0,ELU1,l2,1.0,1,,,,,,,,,
5,end,-0.010998188637296713,0.9396407978250505,0.2374888617408867,0.47873046875,-0.065435617760755,0.3046434201897858,0.23262481977723268,1.0082289681146799,1.0382944724710348,-0.000539406806966683,-0.0037338010314852,0.6178532261586793,0.00322265625,0.7488738312284977,0,ELU1,l2,1.0,1,0.9144999980926514,,,,,,,,
6,start,-0.06665044154764921,0.3082058152044495,0.1979772783794471,0.46228515625,-0.065435617760755,0.3046434201897858,0.23262481977723268,1.0082289681146799,1.0382944724710348,-0.000539406806966683,-0.0037338010314852,0.6178532261586793,0.0,0.8249526891893766,0,ELU1,l2,1.0,1,,,,,,,,,
6,end,-0.0038458854936602883,0.947423661284357,0.23686244261234773,0.47919921875,-0.06102383356061064,0.30513391805336637,0.23672071887387985,1.0199442726774306,1.0610251820593148,-0.00046562365526713447,-0.004354006353823933,0.6146792393339436,0.0030078125,0.7484843682497921,0,ELU1,l2,1.0,1,0.9179999828338623,,,,,,,,
7,start,-0.03023227823418091,0.31060151924925966,0.22554983674247966,0.46162109375,-0.06102383356061064,0.30513391805336637,0.23672071887387985,1.0199442726774306,1.0610251820593148,-0.00046562365526713447,-0.004354006353823933,0.6146792393339436,0.0,0.8301318204206473,0,ELU1,l2,1.0,1,,,,,,,,,
