task,phase,zbar_cur,sigma_cur,between_cur,pos_frac,zbar_inv,sigma_inv,between_inv,cnorm,cnorm2,rowmean,bias,w2col,sat,gate_mean,dead_units,arm,iv,alpha,seed,acc,r_W1b1,r_W2,E,E_pred,E_pred_wrong,r_scale,ce_loss,wd_radial
1,start,-0.02188783815697956,0.15153646121608383,0.014775860059294477,0.45609375,-0.009089337528083347,0.1489740139453167,0.006164610147101484,0.5757877160145358,0.33159565164815724,-0.00010879748362032107,0.002249065590440296,0.5773942759447376,0.0,0.9744937905133702,0,SNA,none,0.0,0,,,,,,,,,
1,end,0.18903331029976453,0.7900915766353622,0.26691035367105176,0.56322265625,0.024089484558670948,0.2878035638501557,0.16434318963915723,0.9858227693155629,0.9765879669129398,0.00016925983402701978,0.011125410197128077,0.7062299975133,0.08546875,1.0572390176530462,0,SNA,none,0.0,0,0.920799970626831,,,,,,,,
2,start,0.01967985090627899,0.2898456922838945,0.1836087837009751,0.50794921875,0.024089484558670948,0.2878035638501557,0.16434318963915723,0.9858227693155629,0.9765879669129398,0.00016925983402701978,0.011125410197128077,0.7062299975133,0.047734375,1.0109570128109773,0,SNA,none,0.0,0,,,,,,,,,
2,end,-0.20792107947747532,1.0266215210679077,0.6300842031333181,0.4058203125,-0.13916545213826206,0.40431416483383226,0.39027612622575025,1.335094490323368,1.792177712747339,-0.0013546028122900866,0.010348696228465997,0.7502684966004974,0.1233203125,0.8925285026128403,0,SNA,none,0.0,0,0.9319000244140625,,,,,,,,
3,start,-0.1376279404439713,0.3980201433494023,0.40219547651375764,0.4208984375,-0.13916545213826206,0.40431416483383226,0.39027612622575025,1.335094490323368,1.792177712747339,-0.0013546028122900866,0.010348696228465997,0.7502684966004974,0.08328125,0.8870108802977483,0,SNA,none,0.0,0,,,,,,,,,
3,end,-0.242234467315555,1.0702398444856231,0.7845198933757642,0.36966796875,-0.21285592016783517,0.47825433110308785,0.4934842708062922,1.5643107169136663,2.4659370973594723,-0.001986917078040811,0.010947872314136475,0.7871494310454846,0.1330078125,0.8453676085162443,0,SNA,none,0.0,0,0.9086999893188477,,,,,,,,
4,start,-0.1516471833203054,0.49730716261226166,0.5792493931894988,0.4101953125,-0.21285592016783517,0.47825433110308785,0.4934842708062922,1.5643107169136663,2.4659370973594723,-0.001986917078040811,0.010947872314136475,0.7871494310454846,0.10140625,0.8819597748701926,0,SNA,none,0.0,0,,,,,,,,,
4,end,-0.46896152270962965,1.0651724329200125,0.9245050571012672,0.33029296875,-0.35606598906734094,0.531082611200013,0.5720034001304731,1.722159943145437,2.9927301272020452,-0.0033816327937873686,0.009312657862319612,0.813120217065078,0.14005859375,0.8084453781391494,0,SNA,none,0.0,0,0.9228000044822693,,,,,,,,
5,start,-0.34978001757297394,0.5081435656091624,0.590450588477427,0.3247265625,-0.35606598906734094,0.531082611200013,0.5720034001304731,1.722159943145437,2.9927301272020452,-0.0033816327937873686,0.009312657862319612,0.813120217065078,0.13205078125,0.7643886033515446,0,SNA,none,0.0,0,,,,,,,,,
5,end,-0.4319808564523636,1.0596313769470571,0.6414077819485045,0.317265625,-0.41356166816553286,0.575126380653421,0.6051896644976005,1.8625894752157977,3.503207273795224,-0.003993876074254899,0.009980975950602442,0.8424314001724525,0.14478515625,0.7942753188859206,0,SNA,none,0.0,0,0.9282000064849854,,,,,,,,
6,start,-0.3217479995391569,0.5530148497374863,0.5483596185649331,0.32990234375,-0.41356166816553286,0.575126380653421,0.6051896644976005,1.8625894752157977,3.503207273795224,-0.003993876074254899,0.009980975950602442,0.8424314001724525,0.1030078125,0.797209187898552,0,SNA,none,0.0,0,,,,,,,,,
6,end,-0.4716355591150467,1.088826857853736,0.5801750694409695,0.3008984375,-0.46898153084633054,0.6086227004574687,0.599363058798288,1.994239989109647,4.014212889732946,-0.0045020581600824835,0.011764677909668534,0.8668095457333933,0.1533984375,0.7608583192632068,0,SNA,none,0.0,0,0.9262999892234802,,,,,,,,
7,start,-0.5195488013662706,0.6211011053968971,0.8024532598398558,0.28583984375,-0.46898153084633054,0.6086227004574687,0.599363058798288,1.994239989109647,4.014212889732946,-0.0045020581600824835,0.011764677909668534,0.8668095457333933,0.14865234375,0.7242021160933655,0,SNA,none,0.0,0,,,,,,,,,
7,end,-0.6728210293741351,1.1466915919368954,1.1347806046380957,0.29240234375,-0.5360292031161512,0.6426560130641982,0.659089783541105,2.1122358356305977,4.500203937610559,-0.005206618349253518,0.01211031241400633,0.8934092783129324,0.1447265625,0.7759082061238587,0,SNA,none,0.0,0,0.9190999865531921,,,,,,,,
8,start,-0.49229275064338923,0.6294412758824938,0.6477402241039897,0.28744140625,-0.5360292031161512,0.6426560130641982,0.659089783541105,2.1122358356305977,4.500203937610559,-0.005206618349253518,0.01211031241400633,0.8934092783129324,0.129296875,0.730187787457835,0,SNA,none,0.0,0,,,,,,,,,
