task,phase,zbar_cur,sigma_cur,between_cur,pos_frac,zbar_inv,sigma_inv,between_inv,cnorm,cnorm2,rowmean,bias,w2col,sat,gate_mean,dead_units,arm,iv,alpha,seed,acc,r_W1b1,r_W2,E,E_pred,E_pred_wrong,r_scale,ce_loss,wd_radial
1,start,0.017754172577613234,0.1470639537174322,0.01492543444079601,0.53455078125,0.010852423356776825,0.14785244782347204,0.006670811442605916,0.5767626825802897,0.3327448627869192,0.00011044525494720699,3.2118180533871055e-05,0.57041784362722,0.0,0.9402949281525799,0,ELU1,none,1.0,1,,,,,,,,,
1,end,0.27364673531090633,0.9234137725017105,0.21291111882359526,0.59431640625,0.084661132770139,0.3118975421604895,0.2666984783525952,1.0943684881015576,1.2024588737854018,0.0008000700106560463,0.001406992439806345,0.7845775605956546,0.001015625,0.8214037120863577,0,ELU1,none,1.0,1,0.90829998254776,,,,,,,,
2,start,0.08450853468510772,0.31679691729172854,0.28378132287460756,0.5458984375,0.084661132770139,0.3118975421604895,0.2666984783525952,1.0943684881015576,1.2024588737854018,0.0008000700106560463,0.001406992439806345,0.7845775605956546,0.0,0.8517357907844416,0,ELU1,none,1.0,1,,,,,,,,,
2,end,-0.16741523807059533,1.087805444025847,0.46704081420540766,0.449375,-0.10224093134382535,0.42845827674902937,0.5488599165000707,1.4499880421048994,2.1114361091186984,-0.0008458640684924803,-0.003900828709738562,0.845553561786409,0.01638671875,0.6911505066207235,0,ELU1,none,1.0,1,0.9107000231742859,,,,,,,,
3,start,-0.11467746158464093,0.4694405300902627,0.573256226144231,0.43556640625,-0.10224093134382535,0.42845827674902937,0.5488599165000707,1.4499880421048994,2.1114361091186984,-0.0008458640684924803,-0.003900828709738562,0.845553561786409,0.00099609375,0.7458348585244857,0,ELU1,none,1.0,1,,,,,,,,,
3,end,-0.3151217838603485,1.207427311949009,0.8313505431949961,0.41294921875,-0.29353876713155935,0.5081769021998972,0.748322159521156,1.7101078649331092,2.9421794462291655,-0.0025758582041789293,-0.008498204637435265,0.8988580554460915,0.0380078125,0.6370029412649109,0,ELU1,none,1.0,1,0.9151999950408936,,,,,,,,
4,start,-0.2593622459278825,0.5042111481161613,0.7752868815986773,0.41267578125,-0.29353876713155935,0.5081769021998972,0.748322159521156,1.7101078649331092,2.9421794462291655,-0.0025758582041789293,-0.008498204637435265,0.8988580554460915,0.00595703125,0.6966961659176764,0,ELU1,none,1.0,1,,,,,,,,,
4,end,-0.5803410899373656,1.3027396305532006,1.225016970514578,0.3688671875,-0.4919054585618294,0.5871310262238684,0.9603025368408964,1.9208670784157318,3.7165361856116785,-0.004371110571035196,-0.01133241347852163,0.957540107263709,0.07861328125,0.5722077769560534,0,ELU1,none,1.0,1,0.923799991607666,,,,,,,,
5,start,-0.5017993174123155,0.601077598281688,1.0629527077853171,0.35291015625,-0.4919054585618294,0.5871310262238684,0.9603025368408964,1.9208670784157318,3.7165361856116785,-0.004371110571035196,-0.01133241347852163,0.957540107263709,0.02595703125,0.6233097757140217,0,ELU1,none,1.0,1,,,,,,,,,
5,end,-0.5840736530968836,1.309305520699716,1.4625841603062788,0.36671875,-0.5962986071301131,0.651142045429118,1.1854453888435752,2.0921679848756645,4.41180157637578,-0.00533189472614181,-0.011396562758018263,1.0121436412608946,0.08607421875,0.5701492404716438,0,ELU1,none,1.0,1,0.9164999723434448,,,,,,,,
