arm,iv,p_late,p_early,V1,decelerates,unit_iqr,frozen,V2,sat20,sat120,V3,r_slope,sqrt_r2,V4,k,k_r2,E_neg,E_med,E_rel,V5,cnorm120,zbar120,acc_drop_pt,V6
LR,none,0.465;0.471;0.476,0.407;0.404;0.404,EXPONENT_HALF,0,0.050;0.039;0.045,0;0;0,UNIT_UNIMODAL,0.000;0.000;0.000,0.000;0.000;0.000,SATURATION_FLAT,+0.71;+0.53;+0.74,0.974;0.981;0.961,SINK_SQRT_LIKE,-1.53;-1.62;-1.64,0.99;0.99;0.97,13/18,-0.0000;-0.0000;-0.0000,0.000;0.000;0.000,DEFECT_MIXED,8.40;8.39;8.47,-4.26;-4.06;-4.68,-2.05;-1.67;-2.57,
SNA,none,0.372;0.379;0.386,0.374;0.366;0.372,EXPONENT_SUB,0,0.034;0.044;0.032,0;0;0,UNIT_UNIMODAL,0.148;0.155;0.152,0.151;0.150;0.149,SATURATION_FLAT,+0.05;+0.50;+0.36,0.574;0.886;0.821,SINK_PARTIAL,-0.35;-0.69;-0.54,0.60;0.89;0.85,5/18,+0.0390;+0.0060;+0.0070,1.021;0.308;0.327,DEFECT_MIXED,6.17;6.15;6.18,-1.13;-1.42;-1.49,-0.74;-0.84;-1.28,
ELU1,none,0.437;0.430;0.419,0.430;0.433;0.426,EXPONENT_MIXED,0,0.052;0.050;0.048,1;0;0,UNIT_UNIMODAL,0.309;0.340;0.340,0.587;0.603;0.590,SATURATION_PARTIAL,+0.27;+0.57;+0.23,0.973;0.994;0.966,SINK_PARTIAL,-1.45;-1.64;-1.50,1.00;1.00;1.00,11/18,-0.0271;+0.0085;-0.0138,0.734;0.429;0.943,DEFECT_MIXED,8.27;8.39;8.20,-6.97;-6.41;-6.92,-2.09;-1.33;-2.09,
ELU03,none,0.443;0.436;0.450,0.403;0.405;0.406,EXPONENT_MIXED,0,0.050;0.041;0.043,0;0;0,UNIT_UNIMODAL,0.507;0.569;0.529,0.628;0.684;0.663,SATURATION_PARTIAL,+0.38;+0.52;+0.58,0.977;0.982;0.984,SINK_PARTIAL,-1.16;-1.45;-1.32,0.99;0.99;0.99,13/18,-0.0120;-0.0131;-0.0067,0.501;0.976;0.844,DEFECT_MIXED,8.20;8.05;8.11,-4.08;-5.38;-4.86,-2.85;-1.79;-2.10,
ELU1,l2,-0.005;-0.001;0.007,-0.001;0.003;0.007,EXPONENT_SUB,0,0.102;0.086;0.089,90;91;92,UNIT_PARTIAL,0.002;0.002;0.002,0.001;0.000;0.001,SATURATION_FLAT,+1.08;+9.95;-0.60,0.447;0.424;0.346,SINK_PARTIAL,+1.03;-1.47;+2.65,0.01;0.03;0.13,8/18,+0.0052;-0.0003;+0.0016,0.105;0.032;0.110,DEFECT_MIXED,1.02;1.02;1.02,+0.14;+0.26;+0.14,+1.91;+2.34;+1.69,WD_PINS_ELU
