arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,steps,stop_step,tc,hit99,hit999,correct_at_hit_plus_500,hit_plus_500_observed,min_correct_after_hit
LR,std,0,0,0.001,1,none,0.8047877358,1,1,0,0,-21.02623177,81.14824677,-51.29567719,0.4547501206,79.574456,0,0,-238.2193298,157.8045654,-395.7157898,0.1277499497,75.5658234,27.42512703,4.022659779,1.240289211,5300,4100,1445300,3400,3600,1199,1,1198
LR,std,1,1,0.001,1,none,0.7816391509,0.9991666675,0.9991666675,0,0,-29.22275543,84.56694031,-57.54780579,0.4247500896,77.99776737,0,0,-228.368866,154.5887146,-366.6459961,0.1262499541,75.50449078,27.07139969,4.093697071,1.18676126,5300,5200,1445300,3500,4700,1199,1,1198
LR,std,2,2,0.001,1,none,0.7571816038,1,1,0,0,-31.52802086,80.91590118,-51.55166245,0.4150000811,77.93933823,0,0,-221.2069397,153.8126068,-365.0308533,0.1254999638,73.85123397,27.17222786,4.115048409,1.212369323,5300,5300,1445300,4200,4800,1200,1,1198
LR,std,3,3,0.001,1,none,0.7933018868,1,1,0,0,-27.22111702,79.18899536,-48.07133484,0.4277501106,78.33263851,0,0,-204.915329,139.8583069,-335.0558167,0.1269999743,77.35627183,26.63737869,3.839855433,1.034352779,5300,4400,1445300,3800,3900,1200,1,1199
LR,std,4,4,0.001,1,none,0.8262735849,1,1,0,0,-21.55541039,78.32197571,-39.30070877,0.4487501085,79.54959392,0,0,-227.3166656,150.8750458,-340.7868958,0.1329999566,78.84888252,27.27621841,4.074512959,1.116723418,5300,3800,1445300,3000,3300,1200,1,1197
LR,std,5,5,0.001,1,none,0.803879717,0.9991666675,0.9991666675,0,0,-28.98470116,77.94734192,-51.5423851,0.4030000865,77.84087354,0,0,-161.9420624,122.4860687,-221.5491486,0.1427499354,81.40016562,25.92394066,3.584865332,0.8496590853,5300,5200,1445300,4200,4700,1199,1,1198
LR,std,6,6,0.001,1,none,0.8210259434,1,1,0,0,-21.34424591,78.54150391,-42.476017,0.4495001435,78.27269582,0,0,-221.8100586,147.545105,-299.0490723,0.1277499646,75.86602417,26.651371,3.880896091,0.957305789,5300,4500,1445300,2800,4000,1200,1,1200
LR,std,7,7,0.001,1,none,0.8060141509,1,1,0,0,-28.30209351,74.59775543,-46.30178452,0.4060001075,77.55224855,0,0,-167.0532837,124.0531921,-223.5088806,0.1397499442,79.85481723,26.17582703,3.669032812,0.9702141881,5300,5100,1445300,3400,4600,1200,1,1200
LR,std,8,8,0.001,1,none,0.8088561321,1,1,0,0,-24.54649544,79.73358154,-49.40220261,0.4352501035,79.28417171,0,0,-219.736145,150.5607605,-326.3348389,0.1292499602,76.87436885,26.80869865,3.990793705,1.146675587,5300,4600,1445300,3600,4100,1200,1,1198
LR,std,9,9,0.001,1,none,0.8154245283,1,1,0,0,-25.97583961,76.44089508,-50.42682266,0.4292500913,77.5235607,0,0,-178.1299133,132.3382568,-250.8566132,0.1352499723,78.09186925,25.97973442,3.657269478,0.791207552,5300,4200,1445300,3300,3700,1200,1,1200
