th,width,kappa,lr,seed,run_id,srank0,srank_end,srank_ratio,dead_end,eval0,eval_end,eval_ratio,wnorm0,wnorm_end,finite,cos_e1W_end
same,20,16,0.003,0,B_w20_K10000_c0.0_k16_lr0.003_s0,6.25866,5.83137,0.9317281974096692,0,2.04602,0.0988989,0.048337210779953274,1.43753,1.02731,True,0.0107812
same,20,16,0.003,1,B_w20_K10000_c0.0_k16_lr0.003_s1,6.07033,4.91586,0.8098175881706596,0,1.69751,0.0953364,0.05616249683359745,1.40905,1.0292,True,0.223732
same,20,16,0.01,0,B_w20_K10000_c0.0_k16_lr0.01_s0,6.20971,4.49992,0.7246586394533723,0,3.0073,0.0564081,0.01875705782595684,1.3795,1.12075,True,0.0665776
same,20,16,0.01,1,B_w20_K10000_c0.0_k16_lr0.01_s1,6.8987,5.19632,0.7532317683041733,0,4.65632,0.0770381,0.016544846574118616,1.42113,1.08323,True,0.108578
same,20,1,0.003,0,B_w20_K10000_c0.0_lr0.003_s0,6.24847,5.33042,0.8530760330128816,0,1.48343,0.142108,0.09579690312316726,1.42448,1.08405,True,
same,20,1,0.003,1,B_w20_K10000_c0.0_lr0.003_s1,6.09073,6.84859,1.124428434686811,0,1.68751,0.101605,0.060210013570289954,1.47431,1.10103,True,
same,20,1,0.01,0,B_w20_K10000_c0.0_lr0.01_s0,5.78089,5.13933,0.889020548739035,0,1.54826,0.0396903,0.02563542299097051,1.43539,1.05874,True,
same,20,1,0.01,1,B_w20_K10000_c0.0_lr0.01_s1,5.19264,5.00348,0.9635715166081222,0,1.38138,0.0686039,0.04966330770678596,1.38237,1.07657,True,
same,5,16,0.003,0,B_w5_K10000_c0.0_k16_lr0.003_s0,3.08997,3.04064,0.9840354437098093,0,2.93976,0.0721782,0.024552412441831983,1.32736,1.3259,True,0.0373447
same,5,16,0.003,1,B_w5_K10000_c0.0_k16_lr0.003_s1,2.42226,2.1871,0.9029171104670844,0,1.86974,0.0844685,0.04517660209440885,1.41793,1.33868,True,0.00416298
same,5,16,0.01,0,B_w5_K10000_c0.0_k16_lr0.01_s0,2.35103,2.47594,1.0531299047651455,0,1.33263,0.135541,0.10170940170940171,1.36777,1.46155,True,0.145058
same,5,16,0.01,1,B_w5_K10000_c0.0_k16_lr0.01_s1,2.72523,2.86199,1.0501829203406685,0,5.4921,0.0641102,0.011673166912474282,1.46926,1.61509,True,0.127147
same,5,1,0.003,0,B_w5_K10000_c0.0_lr0.003_s0,3.40042,3.00365,0.8833173549149811,0,2.40362,0.0312027,0.012981544503706909,1.28823,1.32519,True,
same,5,1,0.003,1,B_w5_K10000_c0.0_lr0.003_s1,2.44235,2.57017,1.0523348414436917,0,1.01772,0.0617271,0.060652340525881386,1.41198,1.23505,True,
same,5,1,0.01,0,B_w5_K10000_c0.0_lr0.01_s0,2.51689,2.47766,0.9844133037200673,0,1.38063,0.0761779,0.05517618768243483,1.44951,1.44598,True,
same,5,1,0.01,1,B_w5_K10000_c0.0_lr0.01_s1,3.14458,2.58987,0.8235980639703872,0,2.45545,0.0781207,0.031815227351401985,1.43589,1.53418,True,
100,20,16,0.003,0,B_w20_K10000_c0.0_k16_lr0.003_s0,6.25362,6.1608,0.9851573968357528,0,3.70496,0.111657,0.03013716747279323,1.43532,1.02224,True,0.0735177
100,20,16,0.003,1,B_w20_K10000_c0.0_k16_lr0.003_s1,6.06902,4.98913,0.8220651769148891,0,1.92718,0.109259,0.05669371828267209,1.409,1.00894,True,0.550085
100,20,16,0.01,0,B_w20_K10000_c0.0_k16_lr0.01_s0,6.20882,4.33929,0.6988912546989605,0,4.42852,0.122529,0.02766816001734214,1.3794,1.07227,True,0.312811
100,20,16,0.01,1,B_w20_K10000_c0.0_k16_lr0.01_s1,6.89459,5.79714,0.8408244725212086,0,1.66026,0.0850485,0.05122601279317697,1.42106,1.10539,True,0.00937596
100,20,1,0.003,0,B_w20_K10000_c0.0_lr0.003_s0,6.24356,5.56287,0.890977262971766,0,1.75835,0.114584,0.06516563824039583,1.42435,1.07384,True,
100,20,1,0.003,1,B_w20_K10000_c0.0_lr0.003_s1,6.08702,6.81973,1.1203725304007544,0,1.57037,0.140219,0.08929042200245803,1.47408,1.06551,True,
100,20,1,0.01,0,B_w20_K10000_c0.0_lr0.01_s0,5.78134,6.33721,1.096148989680593,0,1.47019,0.0563188,0.038307157578272195,1.4355,1.03366,True,
100,20,1,0.01,1,B_w20_K10000_c0.0_lr0.01_s1,5.18711,5.58313,1.0763469446377656,0,1.7143,0.0647447,0.037767426938108854,1.38228,1.05103,True,
100,5,16,0.003,0,B_w5_K10000_c0.0_k16_lr0.003_s0,3.09514,2.48594,0.8031753006326047,0,2.24915,0.146828,0.06528155080808304,1.32787,1.09849,True,0.467869
100,5,16,0.003,1,B_w5_K10000_c0.0_k16_lr0.003_s1,2.42406,3.29828,1.3606428883773505,0,0.94586,0.152689,0.16142875266952825,1.41836,1.04419,True,0.440397
100,5,16,0.01,0,B_w5_K10000_c0.0_k16_lr0.01_s0,2.34897,2.04504,0.8706113743470543,0,1.38161,0.155502,0.11255129884699734,1.36896,1.55419,True,0.0875444
100,5,16,0.01,1,B_w5_K10000_c0.0_k16_lr0.01_s1,2.71188,1.49807,0.5524101361417172,0,2.22604,0.152908,0.06869058956712368,1.47567,1.49573,True,0.0386518
100,5,1,0.003,0,B_w5_K10000_c0.0_lr0.003_s0,3.40072,2.94244,0.8652403020536826,0,1.30049,0.121606,0.09350783166344993,1.28818,0.93593,True,
100,5,1,0.003,1,B_w5_K10000_c0.0_lr0.003_s1,2.44244,2.6646,1.0909582221057632,0,1.6941,0.149192,0.08806563957263444,1.41197,1.01011,True,
100,5,1,0.01,0,B_w5_K10000_c0.0_lr0.01_s0,2.52043,2.11892,0.8406978174359138,0,1.27989,0.138045,0.10785692520450976,1.44657,1.31486,True,
100,5,1,0.01,1,B_w5_K10000_c0.0_lr0.01_s1,3.12382,2.38829,0.7645414908669514,0,4.36239,0.136734,0.03134382758075275,1.43552,1.30273,True,
