th,width,kappa,lr,srank_ratio,srank0,srank_end,dead_end,eval_ratio,eval_end,cos_e1W_end,wnorm_ratio,finite,n,c1_finite,c2_pathB,c3_notA,c4_lop
100,5,16,0.01,0.7115107552443858,2.530425,1.7715550000000002,0.0,0.09062094420706052,0.15420499999999998,0.06309809999999999,1.0721675578194705,True,2,True,True,True,False
same,20,16,0.01,0.7389452038787727,6.554205,4.84812,0.0,0.017650952200037727,0.06672310000000001,0.0875778,0.7869586485897815,True,2,True,True,True,False
100,20,16,0.01,0.7698578636100846,6.551705,5.068215,0.0,0.039447086405259554,0.10378875,0.16109348,0.7776079644058477,True,2,True,True,True,False
100,5,1,0.01,0.8026196541514325,2.8221249999999998,2.2536050000000003,0.0,0.06960037639263125,0.1373895,,0.9082263218705869,True,2,True,False,False,False
same,20,16,0.003,0.8707728927901643,6.1644950000000005,5.373615,0.0,0.05224985380677536,0.09711765,0.11725659999999999,0.7224493954148486,True,2,True,False,False,False
100,20,16,0.003,0.903611286875321,6.16132,5.574965000000001,0.0,0.04341544287773266,0.110458,0.31180135000000003,0.7141179614108117,True,2,True,False,False,False
same,5,1,0.01,0.9040056838452273,2.830735,2.533765,0.0,0.043495707516918405,0.0771493,,1.03284120052679,True,2,True,False,False,False
same,20,1,0.01,0.9262960326735786,5.486765,5.071405,0.0,0.037649365348878236,0.0541471,,0.757804071319062,True,2,True,False,False,False
same,5,16,0.003,0.9434762770884468,2.7561150000000003,2.61387,0.0,0.03486450726812042,0.07832335,0.020753840000000003,0.9706005558611295,True,2,True,False,False,False
same,5,1,0.003,0.9678260981793364,2.921385,2.7869099999999998,0.0,0.03681694251479415,0.0464649,,0.9481632910032923,True,2,True,False,False,False
100,5,1,0.003,0.9780992620797229,2.92158,2.80352,0.0,0.09078673561804218,0.135399,,0.7207155158046775,True,2,True,False,False,False
same,20,1,0.003,0.9887522338498462,6.1696,6.089505,0.0,0.0780034583467286,0.1218565,,0.7537903746045764,True,2,True,False,False,False
100,20,1,0.003,1.0056748966862603,6.165290000000001,6.1913,0.0,0.07722803012142693,0.1274015,,0.7381064921353974,True,2,True,False,False,False
same,5,16,0.01,1.0516564125529069,2.5381299999999998,2.668965,0.0,0.05669128431093799,0.0998256,0.13610250000000002,1.0844580423894001,True,2,True,False,False,False
100,5,16,0.003,1.0819090945049776,2.7596,2.8921099999999997,0.0,0.11335515173880564,0.1497585,0.454133,0.7802259825287757,True,2,True,False,False,False
100,20,1,0.01,1.0862479671591792,5.484225,5.96017,0.0,0.038037292258190525,0.06053175,,0.7398341957143567,True,2,True,False,False,False
