act,arm,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,reg_loss,wt_q10_l1,wt_med_l1,wt_q90_l1,wt_max_l1,wt_ratio0_med_l1,rowmean_abs_med_l1,b_med_l1,exceed_t1_frac_l1,exceed_2x0_frac_l1,bind_frac_l1,proj_rows_l1,proj_removed_l1,wt_q10_l2,wt_med_l2,wt_q90_l2,wt_max_l2,wt_ratio0_med_l2,rowmean_abs_med_l2,b_med_l2,exceed_t1_frac_l2,exceed_2x0_frac_l2,bind_frac_l2,proj_rows_l2,proj_removed_l2
LR,ref,0,0.001,8,11,0.83166875,1,1,0,0,-8.20416069,4.333402634,-13.00864887,0.1127500162,66.67363647,0,0,-9.836905479,4.654389381,-15.72298622,0.1127500162,50.71447504,21.17192078,5.530852318,12.10405827,0,19.65229687,21.15517076,22.60099826,24.22609162,36.70986662,0.05089460529,-0.3021951914,1,1,nan,nan,nan,4.884619474,5.378260997,5.768673572,6.231847561,9.336949162,0.125491406,-0.09927503392,1,1,nan,nan,nan
LR,ref,0,0.001,8,12,0.82998125,1,1,0,0,-8.508042336,4.35170269,-13.25260448,0.1120000184,66.89928844,0,0,-10.38241386,4.84925127,-17.01255226,0.1120000109,46.88154565,22.7581768,5.557344437,12.1872406,0,21.08480337,22.70883823,24.9648957,27.12517628,39.17205636,0.0601686157,-0.3181883842,1,1,nan,nan,nan,4.994753428,5.42856194,5.822465427,6.15056107,9.399524846,0.1295848569,-0.1187609583,1,1,nan,nan,nan
LR,ref,0,0.001,8,13,0.8074145833,1,1,0,0,-8.458577156,4.446989536,-14.15608692,0.1127500162,67.03105718,0,0,-10.14710617,4.887894154,-17.8928833,0.1120000109,50.22767193,23.85254478,5.578097343,12.16871548,0,22.34754392,23.7541047,25.68887134,27.35356369,40.96292683,0.06448082,-0.3827680945,1,1,nan,nan,nan,5.009364814,5.417295635,5.7580651,6.079266826,9.455605698,0.1192712443,-0.1787988842,1,1,nan,nan,nan
LR,ref,0,0.001,8,14,0.8274770833,1,1,0,0,-8.653996468,4.608406067,-13.61209297,0.1120000184,68.77159315,0,0,-11.09486198,4.969315052,-17.89093018,0.1097500101,47.03849211,24.9984684,5.432314396,11.97047234,0,23.01344261,24.89065287,26.83458005,28.58347831,42.81420108,0.06384301436,-0.4217316806,1,1,nan,nan,nan,4.975546778,5.27536005,5.713885248,6.097361393,9.229014701,0.1291676124,-0.1560523063,1,1,nan,nan,nan
LR,ref,0,0.001,8,15,0.8303833333,1,1,0,0,-9.228304863,4.806707382,-14.4457922,0.1120000109,67.56239788,0,0,-11.29892254,5.148369789,-18.56404305,0.1105000079,47.23125104,26.24085045,5.499005795,11.90814018,0,24.37623438,26.04185761,28.119103,29.8969707,44.99593306,0.07039143576,-0.4665773958,1,1,nan,nan,nan,4.977442642,5.344021892,5.728137031,6.208148274,9.304209468,0.1284093549,-0.1965772882,1,1,nan,nan,nan
LR,ref,0,0.001,8,16,0.81191875,1,1,0,0,-9.454810143,4.836324215,-15.19685745,0.1090000123,65.87158736,0,0,-11.68338394,5.10135746,-19.40822792,0.1067500189,42.26972231,27.94569016,5.561508179,12.03754902,0,26.0022344,27.69534098,29.86228434,31.1434087,47.78331353,0.09051701202,-0.4837357849,1,1,nan,nan,nan,4.970563583,5.405750479,5.846402375,6.388585149,9.424217123,0.126625633,-0.1831527501,1,1,nan,nan,nan
LR,ref,0,0.001,8,17,0.8246645833,1,1,0,0,-9.271303177,4.771564484,-14.33805943,0.1142500192,69.24522295,0,0,-11.31914997,5.23600769,-17.94412613,0.1105000153,49.10347702,28.33944511,5.549714565,11.913661,0,26.15599649,28.15999993,30.56195699,32.82050515,48.93228035,0.08575262635,-0.5554768443,1,1,nan,nan,nan,4.931243787,5.407984977,5.788149601,6.474648517,9.359505778,0.1237453646,-0.1045648344,1,1,nan,nan,nan
LR,ref,0,0.001,8,18,0.82895,1,1,0,0,-9.710772514,5.046762943,-17.94252014,0.1112500131,67.36624837,0,0,-11.98835659,5.381615162,-18.29104424,0.1090000123,47.58378719,29.83078957,5.648147106,12.05014992,0,27.60043089,29.73435003,31.63876425,33.77612168,51.41879448,0.08850867273,-0.550993979,1,1,nan,nan,nan,5.064887024,5.475893973,5.883857021,6.441086524,9.534461636,0.131272386,-0.1944590285,1,1,nan,nan,nan
LR,ref,0,0.001,8,19,0.8184,1,1,0,0,-9.903165817,5.109797478,-16.29790115,0.1120000184,67.49904832,0,0,-11.56130505,5.247009754,-17.63068771,0.1097500101,46.23049596,31.2845192,5.59295845,12.00445747,0,28.04295158,31.20167378,33.55915746,35.63014761,53.74914339,0.09026570437,-0.632807821,1,1,nan,nan,nan,5.034398611,5.424721682,5.884341193,6.361114541,9.451329178,0.1268965678,-0.1802284569,1,1,nan,nan,nan
LR,ref,0,0.001,8,20,0.8028625,1,1,0,0,-9.60351944,5.00407362,-14.67643833,0.1150000095,69.66883091,0,0,-11.78697681,5.413288116,-16.35130692,0.1097500101,48.85015298,32.43176651,5.503401279,11.70903015,0,29.54699286,32.35490421,34.69680964,36.67277854,55.79243983,0.09138967905,-0.6212412417,1,1,nan,nan,nan,4.998557237,5.329305756,5.916683664,6.315830268,9.380614564,0.1278104695,-0.2144830525,1,1,nan,nan,nan
LR,ref,0,0.001,8,21,0.81665,1,1,0,0,-9.942318916,5.196988106,-14.61056137,0.1127500162,68.80943522,0,0,-12.6235323,5.441983223,-19.08981133,0.1067500189,43.67033599,33.43480301,5.53239727,11.60978794,0,31.05328584,33.21438958,36.07147931,38.40592091,57.26969067,0.1044151359,-0.6641146839,1,1,nan,nan,nan,4.922663621,5.367859075,5.919651178,6.405824983,9.30335124,0.1268024579,-0.2344908565,1,1,nan,nan,nan
LR,ref,0,0.001,8,22,0.8124708333,1,1,0,0,-9.782428741,5.330808163,-16.32021904,0.1157500073,71.19094435,0,0,-12.24808502,5.492801189,-17.33969688,0.1120000109,50.70716807,34.89188004,5.549508572,11.62884903,0,31.66559148,34.66856588,37.35456334,40.59409816,59.31995873,0.1118733433,-0.7199200988,1,1,nan,nan,nan,4.901092676,5.441048135,6.068815451,6.448699493,9.403769874,0.1214619169,-0.2686336935,1,1,nan,nan,nan
LR,ref,0,0.001,8,23,0.83170625,1,1,0,0,-9.803904533,5.408176899,-17.85916328,0.1150000095,69.90833237,0,0,-12.53586292,5.743093014,-18.98210907,0.1090000123,49.19978692,35.73332596,5.5483284,11.41358089,0,33.00775163,35.55993215,37.97860186,43.69137696,61.0709098,0.1088167288,-0.7575852871,1,1,nan,nan,nan,4.897164965,5.44104209,6.017973009,6.618442526,9.412484251,0.1227567346,-0.2567745745,1,1,nan,nan,nan
LR,ref,0,0.001,8,24,0.8191208333,1,1,0,0,-10.36960125,5.56041193,-17.96654892,0.1105000079,68.15805082,0,0,-12.64689159,5.537865162,-22.57523155,0.1075000092,45.83334772,36.93044281,5.54866457,11.56056118,0,33.86664264,36.63616334,39.41146343,44.03908807,63.41465656,0.1163394458,-0.8409074545,1,1,nan,nan,nan,4.86081948,5.45244996,5.959814943,6.669886047,9.351013654,0.1212410293,-0.2408077642,1,1,nan,nan,nan
LR,ref,0,0.001,8,25,0.8214354167,1,1,0,0,-10.59443378,5.56893158,-17.56039238,0.1127500162,69.29556836,0,0,-12.13639069,5.82313633,-19.38993263,0.1112500131,50.42614767,37.69042587,5.533213139,11.48127079,0,34.84816687,37.61532818,40.12823708,42.87478498,64.70411142,0.1270636621,-0.8211902082,1,1,nan,nan,nan,4.827341065,5.384927165,5.908117615,6.683888732,9.351985742,0.1173434756,-0.2331417352,1,1,nan,nan,nan
LR,ref,0,0.001,8,26,0.8129895833,0.864166677,0.864166677,0,0,-10.58841896,5.751217842,-19.22341156,0.1112500131,67.75465964,0,0,-12.69001389,5.623478413,-22.99095726,0.1090000123,46.89629061,39.18058395,5.553716183,11.44155407,0,35.85277437,39.07650994,41.2388573,44.04489862,67.2575256,0.1221817549,-0.862203002,1,1,nan,nan,nan,4.887900822,5.414348382,6.002443745,6.60945035,9.398177868,0.1169622154,-0.2850787342,1,1,nan,nan,nan
LR,ref,0,0.001,8,27,0.8039479167,1,1,0,0,-11.50865746,5.724214554,-17.0401001,0.1075000092,66.34614634,0,0,-13.13889122,5.81592083,-22.24312592,0.1060000136,43.1471205,39.57653427,5.575809956,11.36232567,0,36.43813801,39.32906354,43.07035581,49.37320786,68.11122483,0.1195505541,-0.9743301868,1,1,nan,nan,nan,4.857706734,5.478653368,5.943419325,6.505462715,9.416350837,0.1232969763,-0.3120330572,1,1,nan,nan,nan
LR,ref,0,0.001,8,28,0.8052333333,1,1,0,0,-11.00026321,5.735449314,-16.55303955,0.1112500131,68.79015317,0,0,-12.08662796,5.692717075,-19.61159515,0.1090000123,49.29355075,40.75073624,5.575072765,11.34863472,0,37.24508919,40.58906027,43.41169046,49.10993982,69.49297187,0.1299263492,-0.9851695001,1,1,nan,nan,nan,4.863877954,5.456632421,6.006785436,6.793002535,9.373462164,0.1183369876,-0.3220679313,1,1,nan,nan,nan
LR,ref,0,0.001,8,29,0.820025,1,1,0,0,-10.49846554,5.872347832,-18.5483017,0.1150000095,69.89531005,0,0,-13.29091454,6.234872818,-23.7336235,0.1090000123,49.13746526,41.42020416,5.557305813,11.14653873,0,38.11784302,41.06983961,44.50160783,48.36462132,70.51205284,0.1376779044,-0.9979979098,1,1,nan,nan,nan,4.845143296,5.415574674,5.956674871,6.74730734,9.481132468,0.1260902782,-0.3225585967,1,1,nan,nan,nan
LR,ref,0,0.001,8,30,0.820025,1,1,0,0,-11.0485239,6.103336811,-20.51185417,0.1135000065,69.39069175,0,0,-13.36228085,6.419886112,-24.85322762,0.1112500131,49.91393947,42.44571686,5.677577496,11.19647312,0,39.16252817,42.20566418,45.74416376,48.66035242,72.6624099,0.1442101855,-0.9901694655,1,1,nan,nan,nan,5.023182885,5.53562449,6.149473554,6.683556807,9.675716932,0.1221476053,-0.3253677189,1,1,nan,nan,nan
LR,ref,0,0.001,8,31,0.8026333333,1,1,0,0,-11.49556446,5.948934555,-17.51586151,0.1142500043,68.00912714,0,0,-13.01676273,6.080969334,-22.03941727,0.1090000123,46.46395343,43.70217133,5.581221104,10.92261791,0,40.20066209,43.45028829,46.79723411,50.58286026,74.85881528,0.1430060709,-1.032114983,1,1,nan,nan,nan,4.91122374,5.470895672,5.981526874,6.445506326,9.523666993,0.1184356493,-0.2974691838,1,1,nan,nan,nan
