arm,iv,bin,window,seed,mean,star,star_W,bias
LR,l2,12-20,0-100,0,-0.15144165146620875,-0.04498502529051781,-0.045329308933571955,0.0003442836430541416
LR,l2,12-20,0-100,1,-0.17166729053263033,-0.056523681395072835,-0.056529528796375406,5.847401302566977e-06
LR,l2,12-20,0-100,2,-0.14877224434731373,-0.04169854964090991,-0.04247124143224704,0.0007726917913371124
LR,l2,12-20,0-20,0,-0.23481500311209538,-0.07998496976436226,-0.07858017771458059,-0.0014047920497816653
LR,l2,12-20,0-20,1,-0.2723596089661603,-0.09578402917761655,-0.09401034982079337,-0.0017736793568231708
LR,l2,12-20,0-20,2,-0.2672219124010107,-0.09458785145731197,-0.09299789150143746,-0.0015899599558744956
LR,l2,12-20,0-625,0,-0.08503006843227053,0.004191313472088361,0.003964466831055303,0.00022684664103306043
LR,l2,12-20,0-625,1,-0.10649856265593002,-0.01099259349242608,-0.011269081147765503,0.0002764876553394259
LR,l2,12-20,0-625,2,-0.09611398747832355,-0.0020056530915746637,-0.002945483707270798,0.0009398306156961351
LR,l2,12-20,100-625,0,0.0664115830339382,0.049176338762606166,0.04929377576462726,-0.00011743700202108116
LR,l2,12-20,100-625,1,0.06516872787670029,0.04553108790264676,0.0452604476486099,0.00027064025403685893
LR,l2,12-20,100-625,2,0.052658256868990186,0.03969289654933525,0.03952575772497623,0.00016713882435902272
LR,l2,12-20,20-100,0,0.08337335164588669,0.034999944473844455,0.03325086878100864,0.0017490756928358068
LR,l2,12-20,20-100,1,0.10069231843352999,0.039260347782543704,0.037480821024417965,0.0017795267581257378
LR,l2,12-20,20-100,2,0.11844966805369693,0.05288930181640205,0.050526650069190424,0.002362651747211608
LR,l2,2-6,0-100,0,-0.05798416720609338,-0.02427349404416551,-0.02495236801334928,0.0006788739691837679
LR,l2,2-6,0-100,1,-0.08696956084970159,-0.048892598803947786,-0.048602372972970945,-0.0002902258309768514
LR,l2,2-6,0-100,2,-0.01043679938399365,-0.011784069401131983,-0.012174684606412457,0.00039061520528048296
LR,l2,2-6,0-20,0,-0.35101475938685656,-0.1277449116016502,-0.12525824402563704,-0.0024866675760131336
LR,l2,2-6,0-20,1,-0.3109861215161613,-0.12391501488850679,-0.12144547334164724,-0.002469541546859546
LR,l2,2-6,0-20,2,-0.2472600712454626,-0.09643838858057377,-0.09472746619166088,-0.0017109223889128773
LR,l2,2-6,0-625,0,-0.05346680381247641,-0.04549392444037564,-0.047549878350251464,0.0020559539098758245
LR,l2,2-6,0-625,1,-0.05641347586831904,-0.06233730450620535,-0.06359664262940534,0.0012593381231999954
LR,l2,2-6,0-625,2,-0.03317935759199349,-0.047419178345060306,-0.04906407478439514,0.001644896439334843
LR,l2,2-6,100-625,0,0.004517363393616969,-0.021220430396210126,-0.02259751033690218,0.0013770799406920566
LR,l2,2-6,100-625,1,0.03055608498138255,-0.013444705702257564,-0.014994269656434406,0.0015495639541768468
LR,l2,2-6,100-625,2,-0.022742558207999832,-0.035635108943928316,-0.036889390177982685,0.00125428123405436
LR,l2,2-6,20-100,0,0.29303059218076316,0.10347141755748465,0.10030587601228776,0.0031655415451969015
LR,l2,2-6,20-100,1,0.2240165606664597,0.075022416084559,0.07284310036867629,0.0021793157158826945
LR,l2,2-6,20-100,2,0.23682327186146898,0.08465431917944179,0.08255278158524844,0.0021015375941933604
LR,l2,7-11,0-100,0,-0.14475515266342978,-0.05136694890845056,-0.051775895648964364,0.0004089467405137853
LR,l2,7-11,0-100,1,-0.11914849946764239,-0.04232764928424646,-0.04254431134196553,0.00021666205771907616
LR,l2,7-11,0-100,2,-0.12926866478682547,-0.03572953713419373,-0.036174804772443524,0.0004452676382497883
LR,l2,7-11,0-20,0,-0.28848854420326425,-0.10044555166229649,-0.09837344477018442,-0.0020721068921120606
LR,l2,7-11,0-20,1,-0.2258906648183827,-0.08014080051793859,-0.07863256301253418,-0.0015082375054043951
LR,l2,7-11,0-20,2,-0.356034822984308,-0.13159902014694452,-0.1290329807736031,-0.0025660393733414827
LR,l2,7-11,0-625,0,-0.09237975239119046,-0.01133294221090719,-0.012323528826773242,0.0009905866158660501
LR,l2,7-11,0-625,1,-0.04331575025069047,0.0019113127571235191,-9.171638404412708e-05,0.0020030291411676448
LR,l2,7-11,0-625,2,-0.08938647729209641,-0.012251864147019249,-0.013856556123002111,0.0016046919759828602
LR,l2,7-11,100-625,0,0.0523754002722393,0.04003400669754337,0.03945236682219112,0.0005816398753522647
LR,l2,7-11,100-625,1,0.07583274921695193,0.04423896204136998,0.042452594957921405,0.0017863670834485687
LR,l2,7-11,100-625,2,0.039882187494729035,0.023477672987174486,0.02231824864944141,0.001159424337733072
LR,l2,7-11,20-100,0,0.1437333915398345,0.04907860275384593,0.046597549121220064,0.002481053632625846
LR,l2,7-11,20-100,1,0.10674216535074033,0.03781315123369213,0.03608825167056866,0.0017248995631234713
LR,l2,7-11,20-100,2,0.22676615819748253,0.0958694830127508,0.09285817600115956,0.003011307011591271
LR,none,12-20,0-100,0,-0.10558573626962207,-0.005490424612251478,-0.006204217937292065,0.0007137933250406707
LR,none,12-20,0-100,1,-0.07822972774545794,0.007245201200883751,0.006517199596056875,0.0007280016048268106
LR,none,12-20,0-100,2,0.005275681084061611,0.008260011111407974,0.006465204901251884,0.0017948062101560125
LR,none,12-20,0-20,0,0.019963482169040744,0.022265256027352038,0.022102729731598894,0.00016252629575319588
LR,none,12-20,0-20,1,0.054320145350870645,0.0316388147112987,0.031207473817532576,0.00043134089376609195
LR,none,12-20,0-20,2,0.05161864128936723,0.016899161249278396,0.01645448855171187,0.0004446726975665013
