arm,iv,seed,task,bin,window,mean,star,star_W,bias
LR,l2,0,2,2-6,0-20,-0.005829138254173721,0.0026230733225872938,0.002103711695066318,0.0005193616275209929
LR,l2,0,2,2-6,20-100,0.18485132535890336,0.06323744476142742,0.061448737970887984,0.0017887067905394335
LR,l2,0,2,2-6,0-100,0.17902218710472964,0.06586051808401472,0.0635524496659543,0.0023080684180604265
LR,l2,0,2,2-6,100-625,-0.09078028185338546,-0.08650138416324787,-0.08771765834416306,0.0012162741809152097
LR,l2,0,2,2-6,0-625,0.08824190525134418,-0.020640866079233156,-0.02416520867820876,0.003524342598975636
LR,l2,0,3,2-6,0-20,-0.388289786817298,-0.14418875972305298,-0.14126008124994455,-0.0029286784731084488
LR,l2,0,3,2-6,20-100,0.49494969425739777,0.18643535868198852,0.18138496573919438,0.005050392942794132
LR,l2,0,3,2-6,0-100,0.10665990744009979,0.04224659895893554,0.040124884489249835,0.002121714469685683
LR,l2,0,3,2-6,100-625,-0.1268796312963184,-0.10511778499542512,-0.10507189944667286,-4.588554875226483e-05
LR,l2,0,3,2-6,0-625,-0.020219723856218605,-0.06287118603648958,-0.06494701495742303,0.002075828920933418
LR,l2,0,4,2-6,0-20,-0.6513252670894583,-0.2528279173862711,-0.2479483096964713,-0.004879607689799743
LR,l2,0,4,2-6,20-100,0.3795214885210903,0.13103636474517236,0.12732592594862044,0.0037104387965518973
LR,l2,0,4,2-6,0-100,-0.27180377856836796,-0.12179155264109873,-0.12062238374785088,-0.0011691688932478454
LR,l2,0,4,2-6,100-625,0.09745483961198956,0.0416145108347194,0.03994026683484146,0.0016742439998779467
LR,l2,0,4,2-6,0-625,-0.1743489389563784,-0.08017704180637934,-0.08068211691300942,0.0005050751066301012
LR,l2,0,5,2-6,0-20,-0.4103229138304544,-0.14367365988467223,-0.14073780716194173,-0.0029358527227304893
LR,l2,0,5,2-6,20-100,0.2523349334464839,0.08127701399543255,0.07873049329952735,0.0025465206959052016
LR,l2,0,5,2-6,0-100,-0.1579879803839705,-0.062396645889239676,-0.0620073138624144,-0.0003893320268252877
LR,l2,0,5,2-6,100-625,0.11011903416538132,0.026903210478025248,0.02504685697914636,0.0018563534988788877
LR,l2,0,5,2-6,0-625,-0.04786894621858916,-0.03549343541121443,-0.03696045688326803,0.0014670214720536
LR,l2,0,6,2-6,0-20,-0.2993066909428984,-0.10065729433684187,-0.0984487337148939,-0.002208560621947981
LR,l2,0,6,2-6,20-100,0.1534955193199405,0.055370905603402465,0.052639257103208645,0.0027316485001938444
LR,l2,0,6,2-6,0-100,-0.14581117162295792,-0.04528638873343941,-0.04580947661168525,0.0005230878782458634
LR,l2,0,6,2-6,100-625,0.03267285634041783,0.01699929586487773,0.014814882292337184,0.0021844135725405042
LR,l2,0,6,2-6,0-625,-0.11313831528254009,-0.02828709286856168,-0.03099459431934807,0.0027075014507863676
LR,l2,0,7,7-11,0-20,-0.33831445827538287,-0.1290716045834924,-0.12569457057242833,-0.003377034011064095
LR,l2,0,7,7-11,20-100,0.18065567656843895,0.06600590102927764,0.06332276393601444,0.0026831370932632118
LR,l2,0,7,7-11,0-100,-0.15765878170694392,-0.06306570355421476,-0.06237180663641388,-0.0006938969178008833
LR,l2,0,7,7-11,100-625,0.08747529219651767,0.04539889476028465,0.04433837299030703,0.001060521769977639
LR,l2,0,7,7-11,0-625,-0.07018348951042624,-0.017666808793930115,-0.01803343364610685,0.00036662485217675567
LR,l2,0,8,7-11,0-20,-0.22041517858695872,-0.07491272090618505,-0.07324595172573821,-0.0016667691804468608
LR,l2,0,8,7-11,20-100,0.06358876925067161,0.005590713201209546,0.003911683146262196,0.0016790300549473607
LR,l2,0,8,7-11,0-100,-0.1568264093362871,-0.0693220077049755,-0.06933426857947601,1.2260874500499841e-05
LR,l2,0,8,7-11,100-625,0.043729103006658776,0.03231098573294566,0.03330148303753799,-0.0009904973045922819
LR,l2,0,8,7-11,0-625,-0.11309730632962833,-0.03701102197202984,-0.03603278554193802,-0.000978236430091782
LR,l2,0,9,7-11,0-20,-0.285075420115412,-0.09529169533592494,-0.09368616654000794,-0.001605528795917053
LR,l2,0,9,7-11,20-100,0.14034033957647285,0.0544463204278908,0.051641474590363834,0.0028048458375269543
LR,l2,0,9,7-11,0-100,-0.14473508053893916,-0.04084537490803414,-0.04204469194964411,0.0011993170416099014
LR,l2,0,9,7-11,100-625,0.03885673739086115,0.040516629626492814,0.03937476433586423,0.0011418652906286311
LR,l2,0,9,7-11,0-625,-0.10587834314807801,-0.0003287452815413233,-0.0026699276137798766,0.0023411823322385325
LR,l2,0,10,7-11,0-20,-0.28973995990858487,-0.09607186609700001,-0.09421140581401269,-0.0018604602829873362
LR,l2,0,10,7-11,20-100,0.14742418325827628,0.046213178568203644,0.04349428724372825,0.002718891324475413
LR,l2,0,10,7-11,0-100,-0.1423157766503086,-0.04985868752879637,-0.050717118570284436,0.0008584310414880766
LR,l2,0,10,7-11,100-625,0.06791185285282847,0.04842566664152827,0.04699571742032699,0.0014299492212012377
LR,l2,0,10,7-11,0-625,-0.07440392379748012,-0.0014330208872680994,-0.0037214011499574484,0.0022883802626893143
LR,l2,0,11,7-11,0-20,-0.30889770412998296,-0.10687987138888004,-0.10502912919873497,-0.0018507421901449578
LR,l2,0,11,7-11,20-100,0.1866579890453129,0.07313690054264801,0.07061753668973161,0.00251936385291629
LR,l2,0,11,7-11,0-100,-0.12223971508467008,-0.033742970846232026,-0.03441159250900336,0.0006686216627713321
