arm,iv,seed,task,bin,step,mean,star,star_W,bias
LR,none,0,6,2-6,0,-0.7305909712646766,-0.7833049054493817,-0.8085877443728309,0.025282838923449163
LR,none,0,6,2-6,20,-1.0357839342144206,-0.8791007475729813,-0.9017309247155455,0.02263017714256421
LR,none,0,6,2-6,25,-1.0531904371547771,-0.8825398634314408,-0.9051156562239268,0.022575792792486025
LR,none,0,6,2-6,30,-1.0605262992587496,-0.8819361031160524,-0.9045768369523585,0.022640733836306028
LR,none,0,6,2-6,35,-1.0271595224181655,-0.8672383589431673,-0.8902694880665775,0.02303112912341021
LR,none,0,6,2-6,40,-0.9786982233093766,-0.8481261026476821,-0.8717467756250952,0.023620672977413052
LR,none,0,6,2-6,45,-0.9560968994172667,-0.8389740449930088,-0.8630531172391039,0.024079072246095165
LR,none,0,6,2-6,50,-0.9298487950612437,-0.8293739850248898,-0.8539230428228842,0.024549057797994465
LR,none,0,6,2-6,55,-0.933404304969379,-0.8324235853215497,-0.8571708773228157,0.024747292001266033
LR,none,0,6,2-6,60,-0.9214214389874583,-0.8283848914832562,-0.8533967517342173,0.025011860250961037
LR,none,0,6,2-6,65,-0.9296457661769755,-0.8315912472675906,-0.8566625565384517,0.025071309270861094
LR,none,0,6,2-6,70,-0.9320215131413095,-0.8321475167707277,-0.8572753438220562,0.025127827051328495
LR,none,0,6,2-6,75,-0.950492860486024,-0.8388805834902283,-0.8639599999005273,0.025079416410299017
LR,none,0,6,2-6,80,-0.9664786590315952,-0.8451697262683752,-0.8701983870320124,0.02502866076363716
LR,none,0,6,2-6,85,-0.9501012159140012,-0.8386117328412783,-0.8638907938485917,0.02527906100731343
LR,none,0,6,2-6,90,-0.9323310077562206,-0.8321644018966132,-0.857681631817565,0.02551722992095165
LR,none,0,6,2-6,95,-0.9554503001083569,-0.8419089014478734,-0.8673509900294951,0.02544208858162165
LR,none,0,6,2-6,100,-0.9799866352353527,-0.854022271265229,-0.8793879911640657,0.025365719898836687
LR,none,0,6,2-6,625,-1.0737053879197758,-0.9386653389614642,-0.9662490409730802,0.02758370201161597
LR,none,0,7,7-11,0,-0.9545867607023751,-0.9386653389614642,-0.9662490409730802,0.02758370201161597
LR,none,0,7,7-11,20,-1.304637351960891,-1.0541317222961923,-1.0782932052745717,0.024161482978379355
LR,none,0,7,7-11,25,-1.3323358749402927,-1.0605608543077094,-1.0845897889718024,0.02402893466409296
LR,none,0,7,7-11,30,-1.345710754876867,-1.063443764821223,-1.087462389016237,0.024018624195014125
LR,none,0,7,7-11,35,-1.3116872958922863,-1.047087960844992,-1.0714087984616796,0.02432083761668764
LR,none,0,7,7-11,40,-1.2508922279331562,-1.0216715547038986,-1.0464956294458172,0.024824074741918594
LR,none,0,7,7-11,45,-1.204323632619631,-1.0010326663462488,-1.0262254703162703,0.025192803970021486
LR,none,0,7,7-11,50,-1.2163510821148653,-1.0023202410976535,-1.027451942447109,0.025131701349455398
LR,none,0,7,7-11,55,-1.2045988215189063,-0.9963931122685298,-1.0216397726196427,0.025246660351112952
LR,none,0,7,7-11,60,-1.1630666651964552,-0.9791593465798453,-1.0048421163643162,0.02568276978447102
LR,none,0,7,7-11,65,-1.1577925562301552,-0.9769392244764128,-1.0027967824104815,0.02585755793406861
LR,none,0,7,7-11,70,-1.1839438713641346,-0.9862505515506476,-1.0120236408039913,0.02577308925334364
LR,none,0,7,7-11,75,-1.1499670168684368,-0.9733860459631107,-0.9995872975593231,0.026201251596212387
LR,none,0,7,7-11,80,-1.1075457688947545,-0.9602300455519378,-0.9869580900278322,0.02672804447589442
LR,none,0,7,7-11,85,-1.0724048165977083,-0.9482894901452633,-0.9755050488839438,0.027215558738680555
LR,none,0,7,7-11,90,-1.094675550465071,-0.9572669616749577,-0.9844291976205374,0.027162235945579597
LR,none,0,7,7-11,95,-1.1349094743554466,-0.9719639892197827,-0.99888471292388,0.026920723704097326
LR,none,0,7,7-11,100,-1.19171278579963,-0.9927775253159018,-1.019330100287185,0.02655257497128332
LR,none,0,7,7-11,625,-1.2191420158977397,-1.0410327952174963,-1.069906545295406,0.02887375007790979
LR,none,0,8,7-11,0,-0.9811607225665671,-1.0410327952174963,-1.069906545295406,0.02887375007790979
LR,none,0,8,7-11,20,-1.2017605580294262,-1.1096123965680238,-1.1369172028157266,0.0273048062477028
LR,none,0,8,7-11,25,-1.208815994187438,-1.10939219804716,-1.1368172571389252,0.027425059091765434
LR,none,0,8,7-11,30,-1.1920370041310497,-1.1017203218530915,-1.129374419881525,0.027654098028433508
LR,none,0,8,7-11,35,-1.1843689060438902,-1.0986990273802,-1.126553190539118,0.0278541631589178
LR,none,0,8,7-11,40,-1.1484186672034553,-1.0839857825952168,-1.1122556897777651,0.028269907182548196
LR,none,0,8,7-11,45,-1.1048344540610011,-1.0663872237416343,-1.095168380857807,0.028781157116172837
LR,none,0,8,7-11,50,-1.092794043591396,-1.0610924155976253,-1.0901925532322938,0.0291001376346685
LR,none,0,8,7-11,55,-1.1297963533738633,-1.072119377891193,-1.1011786687934164,0.029059290902223436
LR,none,0,8,7-11,60,-1.1392838874760984,-1.0727407972026486,-1.1019272720185909,0.029186474815942345
LR,none,0,8,7-11,65,-1.1065587676247193,-1.0582452387586563,-1.0878200238794415,0.029574785120785235
LR,none,0,8,7-11,70,-1.0640762070119734,-1.0398566743774516,-1.0698826522981926,0.030025977920740844
LR,none,0,8,7-11,75,-1.087682129860947,-1.0478500732472802,-1.0776580898995214,0.02980801665224135
LR,none,0,8,7-11,80,-1.0995745533055743,-1.0530401777199492,-1.0827927854101196,0.029752607690170407
LR,none,0,8,7-11,85,-1.066435864934642,-1.0423844672778613,-1.0725395175993433,0.03015505032148212
LR,none,0,8,7-11,90,-1.023644442491606,-1.026577270485737,-1.0572757302464888,0.030698459760751574
LR,none,0,8,7-11,95,-1.0670986281791832,-1.044366734792415,-1.074857577361103,0.030490842568688094
LR,none,0,8,7-11,100,-1.1424938073690685,-1.0738152349028667,-1.1037490658122977,0.02993383090943098
LR,none,0,8,7-11,625,-1.2454609655363424,-1.1518832898241014,-1.1818664166001611,0.02998312677606009
LR,none,0,9,7-11,0,-1.1122485510591316,-1.1518832898241014,-1.1818664166001611,0.02998312677606009
LR,none,0,9,7-11,20,-1.2939360669369295,-1.2023072928500707,-1.231589390643255,0.02928209779318422
LR,none,0,9,7-11,25,-1.3460706036040448,-1.220344915038012,-1.2493795600663078,0.029034645028295926
LR,none,0,9,7-11,30,-1.3788583080929353,-1.2298656290644578,-1.2587854966154703,0.028919867551012432
LR,none,0,9,7-11,35,-1.363455040666476,-1.2211356778888343,-1.2502651779042402,0.02912950001540594
LR,none,0,9,7-11,40,-1.3349255128642619,-1.2084581109396333,-1.2379420139341766,0.029483902994543315
LR,none,0,9,7-11,45,-1.312207677411613,-1.1967483961248548,-1.2265212011824373,0.029772805057582445
LR,none,0,9,7-11,50,-1.33076233667488,-1.2017108131766188,-1.2314817045997233,0.02977089142310433
LR,none,0,9,7-11,55,-1.3308131628978839,-1.2001662885378175,-1.2301195025878553,0.029953214050037785
LR,none,0,9,7-11,60,-1.325031761590462,-1.1984850322123954,-1.2286736944417342,0.03018866222933866
LR,none,0,9,7-11,65,-1.2815979427545812,-1.1848279916123194,-1.2155679012486416,0.030739909636322407
LR,none,0,9,7-11,70,-1.2362589606655572,-1.168110482070992,-1.199434208150855,0.031323726079863265
LR,none,0,9,7-11,75,-1.2167226268426563,-1.1603702691516302,-1.192061899863351,0.03169163071172079
LR,none,0,9,7-11,80,-1.208420254330052,-1.1579085825437034,-1.1898281163714892,0.03191953382778592
LR,none,0,9,7-11,85,-1.186331134739621,-1.1509160716349374,-1.1831483329957058,0.03223226136076846
LR,none,0,9,7-11,90,-1.171085739632734,-1.1464565999367027,-1.178944578328285,0.03248797839158215
LR,none,0,9,7-11,95,-1.183620667887252,-1.1528314294303537,-1.1852675939722221,0.03243616454186849
LR,none,0,9,7-11,100,-1.2363185410205528,-1.1754884365913156,-1.2074447820908087,0.03195634549949318
LR,none,0,9,7-11,625,-1.3431145357179193,-1.2503130785950771,-1.2827257749794945,0.03241269638441736
LR,none,0,10,7-11,0,-1.2165455548345423,-1.2503130785950771,-1.2827257749794945,0.03241269638441736
LR,none,0,10,7-11,20,-1.2460754045851923,-1.242314019453905,-1.2751683913454948,0.03285437189158984
LR,none,0,10,7-11,25,-1.268432305697951,-1.2500990430886485,-1.283101925275205,0.03300288218655623
LR,none,0,10,7-11,30,-1.2809893871036682,-1.2566702153332305,-1.2897998504878492,0.033129635154618885
LR,none,0,10,7-11,35,-1.2792530693296522,-1.2588544118775968,-1.2921161651424113,0.03326175326481461
LR,none,0,10,7-11,40,-1.2475040282781924,-1.247633149530344,-1.2813019221539854,0.033668772623641416
LR,none,0,10,7-11,45,-1.1865295797585724,-1.2259658171086922,-1.2603422474141117,0.03437643030541949
LR,none,0,10,7-11,50,-1.1638319055818747,-1.2178957276292706,-1.252639909328041,0.03474418169877026
LR,none,0,10,7-11,55,-1.2336038066170552,-1.243738786084293,-1.2780133209310656,0.03427453484677244
LR,none,0,10,7-11,60,-1.2768773465116856,-1.258152479850539,-1.29224007062832,0.03408759077778086
LR,none,0,10,7-11,65,-1.279003619531551,-1.257284791415331,-1.291483260712593,0.03419846929726191
LR,none,0,10,7-11,70,-1.2767069277193717,-1.2588200785888037,-1.293183681620765,0.034363603031961246
LR,none,0,10,7-11,75,-1.2294505046911635,-1.2415788429645196,-1.276489954641585,0.03491111167706549
LR,none,0,10,7-11,80,-1.2118427154414617,-1.236587602469622,-1.2717369491143793,0.035149346644757315
LR,none,0,10,7-11,85,-1.2168290189908402,-1.239363537484549,-1.2745916046361692,0.03522806715162005
LR,none,0,10,7-11,90,-1.2358919791636023,-1.2460994616994487,-1.2812549754639244,0.035155513764475475
LR,none,0,10,7-11,95,-1.2623535847960756,-1.2542306668663257,-1.2891643614598178,0.034933694593491965
LR,none,0,10,7-11,100,-1.29370357288674,-1.2683590408130698,-1.3029408458417897,0.034581805028719825
LR,none,0,10,7-11,625,-1.3120254882047127,-1.3071623345270986,-1.3437102481983372,0.03654791367123835
LR,none,0,11,7-11,0,-1.2283117773245142,-1.3071623345270986,-1.3437102481983372,0.03654791367123835
LR,none,0,11,7-11,20,-1.4474881102721655,-1.3702191915601651,-1.405388079907272,0.035168888347106984
LR,none,0,11,7-11,25,-1.4559779336005594,-1.3666304608069202,-1.4018191060506815,0.03518864524376113
LR,none,0,11,7-11,30,-1.434976983458646,-1.3560286177324594,-1.391561620876542,0.035533003144082614
LR,none,0,11,7-11,35,-1.4029216195307603,-1.3432392557786932,-1.37927281444668,0.03603355866798665
LR,none,0,11,7-11,40,-1.3699217304694928,-1.3316797294727578,-1.3682008113218174,0.036521081849059556
LR,none,0,11,7-11,45,-1.3767736221589804,-1.3348788093911272,-1.3715675367969808,0.03668872740585357
LR,none,0,11,7-11,50,-1.3584912873407446,-1.3256635171761701,-1.3626666730443213,0.03700315586815123
LR,none,0,11,7-11,55,-1.3702423280573557,-1.3289485056145756,-1.3659947242465975,0.03704621863202192
LR,none,0,11,7-11,60,-1.411971081399929,-1.3441147511391796,-1.3810058343623428,0.03689108322316315
LR,none,0,11,7-11,65,-1.400988328380119,-1.3380732783224085,-1.375189316137985,0.037116037815576416
LR,none,0,11,7-11,70,-1.358247247376258,-1.3201148931523172,-1.3576751662957802,0.03756027314346284
LR,none,0,11,7-11,75,-1.3286809329543094,-1.3084529957678535,-1.3462859608945803,0.03783296512672678
LR,none,0,11,7-11,80,-1.3326617664307339,-1.3127731398816087,-1.350606098386632,0.03783295850502327
LR,none,0,11,7-11,85,-1.3394889271473729,-1.3152345838183979,-1.3531548930292925,0.03792030921089463
LR,none,0,11,7-11,90,-1.3671492704877495,-1.3238148409951362,-1.3616677276251254,0.03785288662998937
LR,none,0,11,7-11,95,-1.3788287889263762,-1.3262772545718025,-1.364167757483562,0.03789050291175954
LR,none,0,11,7-11,100,-1.351040043282154,-1.3146871143635435,-1.3529122470072543,0.03822513264371082
LR,none,0,11,7-11,625,-1.4215132294173727,-1.3935603694305285,-1.430954697744641,0.0373943283141125
LR,none,0,12,12-20,0,-1.317351351323145,-1.3935603694305285,-1.430954697744641,0.0373943283141125
LR,none,0,12,12-20,20,-1.2740011275241443,-1.35526812525873,-1.3933443763037159,0.03807625104498584
LR,none,0,12,12-20,25,-1.355138939125447,-1.3859476439115608,-1.4236312368886794,0.03768359297711868
LR,none,0,12,12-20,30,-1.417252106638661,-1.4091316245413674,-1.4465539195649382,0.03742229502357077
LR,none,0,12,12-20,35,-1.4395013686647147,-1.4156321384774062,-1.453086699327571,0.03745456085016485
LR,none,0,12,12-20,40,-1.376630597514698,-1.389584449600897,-1.4276469250671828,0.038062475466285835
LR,none,0,12,12-20,45,-1.3416157664182402,-1.375471262398204,-1.4139788320365176,0.03850756963831373
LR,none,0,12,12-20,50,-1.3716064856481962,-1.3868717789992682,-1.4253754990285252,0.03850372002925724
LR,none,0,12,12-20,55,-1.411712970313876,-1.3992105304674294,-1.437591358720423,0.03838082825299352
LR,none,0,12,12-20,60,-1.4203821895609912,-1.3994300141571836,-1.4379127779383958,0.03848276378121227
LR,none,0,12,12-20,65,-1.4635711698168916,-1.4155448974637628,-1.4537663894685764,0.038221492004813624
LR,none,0,12,12-20,70,-1.4636165125216365,-1.4183427667097488,-1.4567555030625146,0.03841273635276593
LR,none,0,12,12-20,75,-1.429207261526044,-1.405792474386912,-1.4446614801999424,0.03886900581303052
LR,none,0,12,12-20,80,-1.3518598246272062,-1.374575342931277,-1.414187728631734,0.0396123857004568
LR,none,0,12,12-20,85,-1.3264467314079083,-1.367312751648858,-1.4072059948976652,0.03989324324880727
LR,none,0,12,12-20,90,-1.3576227014371924,-1.382087954049714,-1.421782647538714,0.039694693489000205
LR,none,0,12,12-20,95,-1.4250625162121144,-1.409868825004466,-1.4490556684413758,0.03918684343690984
LR,none,0,12,12-20,100,-1.472373988387608,-1.4283459207481775,-1.4672176420289162,0.03887172128073871
LR,none,0,12,12-20,625,-1.4289477169961935,-1.4542286745606756,-1.4933987968516371,0.039170122290961444
LR,none,0,13,12-20,0,-1.4455600316766368,-1.4542286745606756,-1.4933987968516371,0.039170122290961444
LR,none,0,13,12-20,20,-1.2723070623201482,-1.3753265101212904,-1.4156287969503913,0.04030228682910092
LR,none,0,13,12-20,25,-1.2809704780277358,-1.372713910274121,-1.4131019655391872,0.04038805526506621
LR,none,0,13,12-20,30,-1.3626507413368458,-1.3983678016783745,-1.4383068401926504,0.039939038514276035
LR,none,0,13,12-20,35,-1.4211054101846565,-1.4158549072646098,-1.4555145235947828,0.03965961633017287
LR,none,0,13,12-20,40,-1.3782010949151402,-1.3966965001517642,-1.436832418860748,0.04013591870898381
LR,none,0,13,12-20,45,-1.3405122676934242,-1.3810043418229156,-1.421530495591794,0.04052615376887843
LR,none,0,13,12-20,50,-1.366666346895898,-1.3889167832067,-1.429364871808397,0.040448088601697234
LR,none,0,13,12-20,55,-1.3845122642120118,-1.3959831688320523,-1.4363741913205272,0.04039102248847484
LR,none,0,13,12-20,60,-1.377072418978297,-1.3952034128994533,-1.4356496799482814,0.040446267048828304
LR,none,0,13,12-20,65,-1.3541547546846189,-1.3867026215041673,-1.4273186213378477,0.04061599983368069
LR,none,0,13,12-20,70,-1.3468485995124935,-1.3839784207708106,-1.4246327394969667,0.04065431872615591
LR,none,0,13,12-20,75,-1.3842602926412433,-1.398530460717938,-1.4388673096367524,0.040336848918814214
LR,none,0,13,12-20,80,-1.445203972740851,-1.4217979974760206,-1.4616356450675054,0.03983764759148471
LR,none,0,13,12-20,85,-1.440000306873663,-1.4202639226209215,-1.4601939798846217,0.03993005726370029
LR,none,0,13,12-20,90,-1.399980299562521,-1.405327064101108,-1.445667246803165,0.04034018270205706
LR,none,0,13,12-20,95,-1.3521413712905825,-1.3853117481523334,-1.4261185292640841,0.040806781111750755
LR,none,0,13,12-20,100,-1.3592500501212157,-1.3864540879457772,-1.4272966867889325,0.04084259884315543
LR,none,0,13,12-20,625,-1.454440489115565,-1.440648221084409,-1.4832810797153773,0.04263285863096826
LR,none,0,14,12-20,0,-1.2897486089312382,-1.440648221084409,-1.4832810797153773,0.04263285863096826
LR,none,0,14,12-20,20,-1.403238353992719,-1.4402183681654592,-1.481947277806265,0.0417289096408058
LR,none,0,14,12-20,25,-1.424507643367616,-1.4425615753254228,-1.4843506982198291,0.04178912289440632
LR,none,0,14,12-20,30,-1.3979885319177274,-1.4275045209989548,-1.4698236486729366,0.04231912767398171
LR,none,0,14,12-20,35,-1.387739156874843,-1.4218281864538076,-1.4644599800708458,0.042631793617038054
LR,none,0,14,12-20,40,-1.3810617164261356,-1.4175550289577843,-1.460514271921773,0.0429592429639888
LR,none,0,14,12-20,45,-1.3636038961173065,-1.4074862797318826,-1.4508679119125634,0.04338163218068075
LR,none,0,14,12-20,50,-1.3687387788745957,-1.4062470376889036,-1.4497749305267866,0.04352789283788297
LR,none,0,14,12-20,55,-1.3790083895014595,-1.4099762541271528,-1.4534059043322238,0.043429650205071085
LR,none,0,14,12-20,60,-1.3712561106848191,-1.4079772984914019,-1.451464174433728,0.04348687594232615
LR,none,0,14,12-20,65,-1.4103377479453525,-1.4243449298282378,-1.4675355924556954,0.04319066262745764
LR,none,0,14,12-20,70,-1.4405034808585129,-1.435881674144704,-1.4788235075753724,0.04294183343066834
LR,none,0,14,12-20,75,-1.455788396014556,-1.4402313296443114,-1.4829988687466626,0.042767539102351294
LR,none,0,14,12-20,80,-1.4432992217056289,-1.4338303082713184,-1.476709788156187,0.04287947988486849
LR,none,0,14,12-20,85,-1.4442759100498552,-1.4328256218366646,-1.4757240581848514,0.042898436348186804
LR,none,0,14,12-20,90,-1.4522404427325697,-1.4370118345700065,-1.4799684999622729,0.042956665392266585
LR,none,0,14,12-20,95,-1.4653071414686778,-1.443216241210566,-1.4861729302945148,0.04295668908394873
LR,none,0,14,12-20,100,-1.4451167137273655,-1.4373872737311015,-1.480464500304179,0.0430772265730775
LR,none,0,14,12-20,625,-1.5237386976180785,-1.5090989563314585,-1.552567968888056,0.04346901255659759
LR,none,0,15,12-20,0,-1.4707314759316734,-1.5090989563314585,-1.552567968888056,0.04346901255659759
LR,none,0,15,12-20,20,-1.4752725013700396,-1.4918873037064777,-1.5353753115217996,0.04348800781532191
LR,none,0,15,12-20,25,-1.5379490440333317,-1.5124316712427193,-1.5554886137704838,0.04305694252776448
LR,none,0,15,12-20,30,-1.5445248975316916,-1.513021017284493,-1.5560899077274482,0.04306889044295531
LR,none,0,15,12-20,35,-1.5326079538938029,-1.5053312306481315,-1.5486198499711248,0.04328861932299333
LR,none,0,15,12-20,40,-1.5175086382045897,-1.4950396445353005,-1.5385842237324874,0.043544579197186975
LR,none,0,15,12-20,45,-1.474519831961303,-1.4734423651569797,-1.5174312193552304,0.043988854198250917
LR,none,0,15,12-20,50,-1.4961731918778012,-1.4792415395927032,-1.5231906131370574,0.04394907354435418
LR,none,0,15,12-20,55,-1.5175818373468715,-1.4856945512910504,-1.529659000853532,0.043964449562481606
LR,none,0,15,12-20,60,-1.553739529188563,-1.498434319963161,-1.5422269941548064,0.04379267419164535
LR,none,0,15,12-20,65,-1.5646741873903511,-1.5039136995796776,-1.5477041993313083,0.043790499751630706
LR,none,0,15,12-20,70,-1.545709575496888,-1.4978980952261365,-1.541922121477127,0.044024026250990576
LR,none,0,15,12-20,75,-1.5219604928959105,-1.490396771220306,-1.5347031909853586,0.044306419765052854
LR,none,0,15,12-20,80,-1.5097490309966717,-1.4859414032957077,-1.5304177073716503,0.04447630407594261
