arm,iv,seed,task,bin,step,mean,star,star_W,bias
LR,none,0,2,2-6,0,0.12159841165473204,0.13912541182239163,0.11780531029442878,0.021320101527962834
LR,none,0,2,2-6,20,-0.24170024537733795,-0.01488366303883649,-0.03439712748715519,0.0195134644483187
LR,none,0,2,2-6,25,-0.14369074836220896,0.022595851749800954,0.0021097179810829645,0.020486133768717992
LR,none,0,2,2-6,30,-0.056476543662031566,0.05608286613151159,0.03470991401573138,0.02137295211578021
LR,none,0,2,2-6,35,0.014736573370270374,0.0836449261245788,0.061549855366792056,0.022095070757786744
LR,none,0,2,2-6,40,0.06483114591956307,0.1019727846722211,0.0793483564570173,0.022624428215203808
LR,none,0,2,2-6,45,0.1126185637683362,0.11986497954107993,0.09678494386352188,0.023080035677558043
LR,none,0,2,2-6,50,0.13070677286254248,0.1262849224468802,0.10304088502097798,0.023244037425902208
LR,none,0,2,2-6,55,0.14492805445903031,0.13194183369130955,0.10854160759198024,0.0234002260993293
LR,none,0,2,2-6,60,0.15328501498480165,0.13549711006696907,0.11199631084123847,0.02350079922573059
LR,none,0,2,2-6,65,0.15271356443171166,0.13528152738136878,0.1117899909378978,0.023491536443470976
LR,none,0,2,2-6,70,0.150362755764224,0.13286051192287546,0.10939952370466331,0.023460988218212152
LR,none,0,2,2-6,75,0.15401127070697881,0.13345308478341134,0.10998220380688245,0.02347088097652886
LR,none,0,2,2-6,80,0.14969749759300005,0.1308229653826686,0.1073955458878311,0.023427419494837523
LR,none,0,2,2-6,85,0.1513610999327123,0.13094241452487773,0.10747823937967771,0.023464175145199988
LR,none,0,2,2-6,90,0.1575481806242948,0.13267578137120264,0.10914567328624226,0.023530108084960377
LR,none,0,2,2-6,95,0.1553567940874129,0.1287736258902943,0.10526676828374107,0.02350685760655324
LR,none,0,2,2-6,100,0.1499338096106716,0.12387429597077908,0.10044704718533222,0.023427248785446865
LR,none,0,2,2-6,625,-0.1529411520524447,-0.07484143940638834,-0.09876239552768029,0.023920956121291966
LR,none,0,3,2-6,0,-0.11650302542281724,-0.07484143940638834,-0.09876239552768029,0.023920956121291966
LR,none,0,3,2-6,20,-0.7525440404303498,-0.3135153049232122,-0.33223687191822143,0.0187215669950092
LR,none,0,3,2-6,25,-0.7208923738394047,-0.3012861967372011,-0.3201642590509438,0.018878062313742703
LR,none,0,3,2-6,30,-0.6444701893889772,-0.2723792143561415,-0.2918702628917064,0.019491048535564916
LR,none,0,3,2-6,35,-0.5682744101978466,-0.24426070404642103,-0.26446074624570626,0.020200042199285236
LR,none,0,3,2-6,40,-0.492945562034331,-0.2155442707126075,-0.2365211921908939,0.020976921478286385
LR,none,0,3,2-6,45,-0.4392461122603979,-0.19415647816245962,-0.21575307348144757,0.021596595318987964
LR,none,0,3,2-6,50,-0.41075062313673144,-0.18349289064750562,-0.20547284105781952,0.021979950410313906
LR,none,0,3,2-6,55,-0.390036764591197,-0.17586872428223843,-0.19814390116172262,0.022275176879484205
LR,none,0,3,2-6,60,-0.3666056141293218,-0.16643432531722133,-0.1889969581515273,0.022562632834305988
LR,none,0,3,2-6,65,-0.34197226684239596,-0.15543196611394902,-0.17829752941671553,0.022865563302766533
LR,none,0,3,2-6,70,-0.32410440955113273,-0.14781705285357788,-0.17098910226189076,0.023172049408312887
LR,none,0,3,2-6,75,-0.3077494614769454,-0.1408312352519406,-0.16425151916625147,0.023420283914310856
LR,none,0,3,2-6,80,-0.30074233848202203,-0.1380131513655429,-0.16156560573328857,0.023552454367745668
LR,none,0,3,2-6,85,-0.29488771772732747,-0.1354682053281861,-0.1591028013961907,0.023634596068004613
LR,none,0,3,2-6,90,-0.2829976845647163,-0.13062642037590153,-0.1544708836504829,0.023844463274581357
LR,none,0,3,2-6,95,-0.2740467973245502,-0.1269552270989194,-0.15091717815125286,0.023961951052333463
LR,none,0,3,2-6,100,-0.27467476766106363,-0.1274519291631168,-0.1514588269399701,0.024006897776853293
LR,none,0,3,2-6,625,-0.4951215905822318,-0.29590889699355005,-0.3210707311734394,0.02516183417988941
LR,none,0,4,2-6,0,-0.2496108706312101,-0.29590889699355005,-0.3210707311734394,0.02516183417988941
LR,none,0,4,2-6,20,-1.2282299583925897,-0.6832811954509249,-0.7001884111095003,0.016907215658575295
LR,none,0,4,2-6,25,-1.2255590714918696,-0.6834160199327656,-0.7004470144325663,0.017030994499800726
LR,none,0,4,2-6,30,-1.1441471121766877,-0.6531268398604019,-0.6709534379002301,0.01782659803982824
LR,none,0,4,2-6,35,-1.0857836921355857,-0.6315509811087626,-0.6500225745767471,0.018471593467984347
LR,none,0,4,2-6,40,-1.0753695188958945,-0.6288205555867791,-0.6475763416669252,0.01875578608014621
LR,none,0,4,2-6,45,-1.0661474713831265,-0.6286989962044987,-0.6476584448773298,0.01895944867283106
LR,none,0,4,2-6,50,-1.0047081064779695,-0.607010254259193,-0.6265294546168014,0.0195192003576085
LR,none,0,4,2-6,55,-0.933206245583788,-0.5808745427380764,-0.6010065512822458,0.020132008544169366
LR,none,0,4,2-6,60,-0.877400503407961,-0.5612665514520565,-0.5819034990075239,0.020636947555467487
LR,none,0,4,2-6,65,-0.8449669433088538,-0.5502642288937019,-0.571266418585346,0.021002189691644163
LR,none,0,4,2-6,70,-0.8421823011776145,-0.5503715449177766,-0.571453022645052,0.021081477727275342
LR,none,0,4,2-6,75,-0.8247301665936939,-0.5445287669733475,-0.5658456826144206,0.021316915641073138
LR,none,0,4,2-6,80,-0.7976503511196532,-0.5343996343641808,-0.5560096922443514,0.021610057880170643
LR,none,0,4,2-6,85,-0.7795674331117799,-0.5261904915271493,-0.5479915023840198,0.021801010856870563
LR,none,0,4,2-6,90,-0.7776968224331706,-0.5238119097509102,-0.5456412335486298,0.021829323797719555
LR,none,0,4,2-6,95,-0.8011373011039944,-0.5310788083968984,-0.5526475641837643,0.02156875578686595
LR,none,0,4,2-6,100,-0.803943782298056,-0.5314875847662109,-0.5530238983811354,0.02153631361492444
LR,none,0,4,2-6,625,-0.8404073883032744,-0.5867524214239146,-0.6106811884382094,0.023928767014294864
LR,none,0,5,2-6,0,-0.5706302738974576,-0.5867524214239146,-0.6106811884382094,0.023928767014294864
LR,none,0,5,2-6,20,-1.1696868903766664,-0.8131486051196929,-0.8326189399110966,0.01947033479140373
LR,none,0,5,2-6,25,-1.1822568868246435,-0.8175194708729054,-0.8370268137013431,0.019507342828437687
LR,none,0,5,2-6,30,-1.1942766400084814,-0.822110550607879,-0.8416642019123288,0.019553651304449887
LR,none,0,5,2-6,35,-1.1703164138579094,-0.8125866378818617,-0.8324821160778382,0.019895478195976465
LR,none,0,5,2-6,40,-1.1307088278158393,-0.7963881298249896,-0.8168119102858316,0.020423780460841954
LR,none,0,5,2-6,45,-1.0925306909424024,-0.7802388394270041,-0.8011064629112319,0.020867623484227805
LR,none,0,5,2-6,50,-1.0762993879180751,-0.7743864326685541,-0.7955060007626996,0.021119568094145506
LR,none,0,5,2-6,55,-1.0554480190337532,-0.7655409070911309,-0.7869118447800473,0.021370937688916455
LR,none,0,5,2-6,60,-1.0163932281717016,-0.7496058780737255,-0.7713648656129405,0.021758987539215013
LR,none,0,5,2-6,65,-0.9877975467154292,-0.7393033151240159,-0.7613410072126495,0.022037692088633775
LR,none,0,5,2-6,70,-0.9872883264996019,-0.7409941543160046,-0.7631166765034239,0.022122522187419235
LR,none,0,5,2-6,75,-0.991475287395642,-0.7436920344463885,-0.765807099815678,0.02211506536928937
LR,none,0,5,2-6,80,-0.9854640732483049,-0.7411382025570975,-0.763343875157928,0.02220567260083044
LR,none,0,5,2-6,85,-0.9992108432324984,-0.7460926717955242,-0.7682232734117512,0.02213060161622707
LR,none,0,5,2-6,90,-1.0052261037522177,-0.7477448299583016,-0.7698570536016455,0.022112223643343896
LR,none,0,5,2-6,95,-1.0052096431240571,-0.7467787990411705,-0.7689645033907105,0.022185704349540175
LR,none,0,5,2-6,100,-1.0129020647301126,-0.7486986658475692,-0.7709650202023662,0.02226635435479693
LR,none,0,5,2-6,625,-0.995594415542948,-0.7833049054493817,-0.8085877443728309,0.025282838923449163
