zbar_cur,sigma_cur,between_cur,pos_frac,zbar_inv,sigma_inv,between_inv,pos_frac_inv,var_off,var_wid,var_cross,rowmean,rowmean_sd,cnorm,bias,bias_sd,star,star_sd,eps_max,w2col,gate_mean,ce_probe,alpha_med,acc,gbar,gvar_mean,gbar_var,pooled_var,g3_ident,cov,cov_abs,cov10,cov50,q10_med,hard_dead,gmin,gmax,gcorr,gcorr_degenerate,task,step,clamp,correct_seq,acc_seq,ce0,ce20,correct_fresh,acc_fresh,param_sha,fresh_param_sha,secs,vmrss_kb,maxrss_kb,cpu,arm,seed
-0.25541247828573754,1.278982186895972,8.210851192849859,0.4740234375,-0.1532516612688675,0.5163774820943455,1.9766548798893588,0.45500488281249996,0.18396938214201788,0.08648428678330486,-0.003807964911226687,-0.0014244381602238445,0.012925654525259678,1.167613928517168,-0.005909516052342951,0.08539426673219817,-0.15182584430345206,1.4014720585298095,0.18207736265704855,0.7104286439092928,1.0844026802270674,0.34849798679351807,0.5692571401596069,0.8840000033378601,1.084402680671774,0.41847278994580106,0.06683725785298156,0.485310047798789,6.38378239159465e-15,0.18546875,0.18546875,0.111484375,0.28244140625,0.10971184372901917,0,0.0,2.0,0.0218459530301996,0,1,625,ref,8840,0.884,2.3012001514434814,2.252352714538574,8840,0.884,3b8790d1fd086c62f2cc78cb83c8d36fd8c22165ba17a7cee3ebed74ebac8acc,3b8790d1fd086c62f2cc78cb83c8d36fd8c22165ba17a7cee3ebed74ebac8acc,1.0929240710102022,1025308,1069928,0,SNAV,5
-0.3420323393015231,1.5608826160233034,11.259469308906796,0.44515625,-0.26981800369512965,0.782433963696336,4.78599365283444,0.4201416015625,0.45023760088849213,0.17600738529138774,-0.014042078634320814,-0.002501055993364852,0.02018899617296315,1.6530207214563049,-0.009159818461484974,0.12539947997421816,-0.26536252173986374,2.1809966410040436,0.19889246915228176,0.7553076374848683,0.882082093990175,0.30326661467552185,0.4831754267215729,0.9108999967575073,0.882082093473291,0.41409447724662696,0.07594839150402172,0.49004286875064823,4.440892098500626e-16,0.27859375,0.27859375,0.17705078125,0.400234375,0.031891703605651855,0,0.0,2.0,0.14424018467858782,0,2,625,ref,9109,0.9109,2.4169678688049316,2.050330638885498,,,b3b1e9d1bbb9c66cff84a802b129b1742d2db2f799f1ce77a64ad417af425859,,1.5821802309947088,962332,1069928,0,SNAV,5
-0.496995262575922,1.5973011594436761,12.738687895804935,0.4373046875,-0.3695088250383351,0.931921030311813,6.772499375801337,0.40917236328125,0.63421921625802,0.24992232131829417,-0.01566473083888326,-0.003408730313050816,0.023902807758982444,1.9459492865050556,-0.014684817662928253,0.15722359249885218,-0.3638676921237375,2.587503900843182,0.2740312110557823,0.7930133933768714,0.8561525799101218,0.3019866645336151,0.5124080181121826,0.901199996471405,0.8561525773222093,0.4031612597271899,0.09271912648289912,0.49588038621008734,1.6653345369377348e-15,0.30212890625,0.30212890625,0.1919140625,0.42248046875,0.023042702674865724,0,0.0,2.0,0.18521814440853224,0,3,625,ref,9012,0.9012,3.0450820922851562,1.9969497919082642,,,ef837479588fd94e6334b6c052fd6fb36b7a4f3b09ad86728a8d056db4324085,,2.0546010739635676,1054084,1069928,1,SNAV,5
-0.3578632891400491,1.6185831227086749,13.196390840541671,0.46232421875,-0.40338628123367015,1.0262547959942014,8.107082455783324,0.42126953125000005,0.7564300886311773,0.3041021505498863,-0.007333332879963867,-0.003617332912806597,0.026119202645595908,2.145955935370178,-0.01493230911437422,0.17664583038915876,-0.38548397744070023,2.8305408271981043,0.2785471629756646,0.829820551095981,0.8617239272803999,0.3584837317466736,0.5350000262260437,0.8942000269889832,0.861723926779814,0.40734074690893707,0.07966721992073403,0.4870079668296672,3.885780586188048e-15,0.2933203125,0.2933203125,0.18453125,0.41365234375,0.024449759721755983,0,0.0,2.0,0.20884595509912288,0,4,625,ref,8942,0.8942,3.678194999694824,2.097700595855713,,,ac3305a3a6cfa3b7f96b3ef01f5bf06434405500a20bdc0fed759f04dbf591e5,,2.528594243922271,1084720,1083656,1,SNAV,5
-0.4333954684835797,1.7062690912024654,14.7224000665691,0.45228515625,-0.4246068751409942,1.1149609792351292,9.599118667238551,0.429033203125,0.9050621449986642,0.35079127892853834,-0.012715438710244944,-0.0038381489506240083,0.02858647493097081,2.3140985592727428,-0.0183607911519357,0.20099964734697298,-0.4115323712139957,3.102291126132872,0.4022937700463203,0.8670860946597415,0.8092141475284006,0.283303827047348,0.5231916308403015,0.9064000248908997,0.8092141454538796,0.390743506019727,0.08633085471475306,0.4770743607344794,6.661338147750939e-16,0.3201953125,0.3201953125,0.20505859375,0.44599609375,0.01981579065322876,0,0.0,2.0,0.32168285461368984,0,5,625,ref,9064,0.9064,3.700822591781616,1.7673996686935425,,,d9c0b927cb92a422096cca0b82d801ea8b458f8df3f19260e99792f49ccf1d08,,2.99080058792606,1027408,1083656,1,SNAV,5
-0.44920639198931234,1.7065529587109256,16.032711626773267,0.4541796875,-0.45451136340196313,1.1937487150652097,11.208743774290166,0.42891357421875004,1.0506880902127793,0.3917196259636613,-0.017371721456601784,-0.004215333816577126,0.030789703186862877,2.4558777059940735,-0.021372161499457434,0.22160622243864822,-0.4531817338932565,3.345649074608817,0.4130397904508385,0.8907818206458178,0.8145283212617506,0.3050011098384857,0.5267216563224792,0.9006999731063843,0.8145283241732977,0.39424403599943914,0.08597063068736413,0.48021466668680296,2.7755575615628914e-16,0.31744140625,0.31744140625,0.20482421875,0.44392578125,0.017548656463623045,0,0.0,2.0,0.3251012568213142,0,6,625,ref,9007,0.9007,3.9672441482543945,1.723469853401184,,,d507dc4a422123d2a95c20ddcfa23413299b560982ac02bd6065f0d078e51c7c,,3.4948230260051787,962380,1083656,1,SNAV,5
-0.6214447499023356,1.8238872306454217,17.77228710104268,0.40607421875,-0.4810831983348731,1.2770877522714257,13.033943673649471,0.42923583984375,1.214050260016975,0.4343211223801193,-0.017418255395412353,-0.0044880299635895095,0.03310275235931215,2.5825974249364507,-0.026796731047797947,0.24492902030746513,-0.4865407000418812,3.6027163656310717,0.4811943327777062,0.9208088201612261,0.8281292140332517,0.4152616858482361,0.5319926738739014,0.8648999929428101,0.8281292146851774,0.4007199695878252,0.08003256597010866,0.4807525355579345,6.661338147750939e-16,0.30720703125,0.30720703125,0.1940625,0.43376953125,0.024339562654495238,0,0.0,2.0,0.29590588523421574,0,7,625,ref,8649,0.8649,3.3432037830352783,1.8922840356826782,,,b1900f9e02b79da2dc472bffd9f371d0a9bc578dcaed2330d0ab24c32006fe31,,3.957325791940093,1054132,1083656,1,SNAV,5
-0.35144265261345936,1.7900499559577125,18.794326934821797,0.45546875,-0.4440526601064079,1.3466478621886457,14.521434479399584,0.43033691406249996,1.3477097325976621,0.4864147167760135,-0.020663984636425978,-0.004084318610672369,0.03495869723737718,2.707736844184229,-0.02804363986768294,0.2624062404534313,-0.44643230124932487,3.8050457977260894,0.47371739561118886,0.9541535700815419,0.8322092302108649,0.2428693026304245,0.5308055877685547,0.9103999733924866,0.8322092297277414,0.3979165378646708,0.08321635166841038,0.4811328895330789,2.275957200481571e-15,0.30609375,0.30609375,0.19544921875,0.431796875,0.02194982171058655,0,0.0,2.0,0.28567837489016223,0,8,625,ref,9104,0.9104,4.174010753631592,1.8060017824172974,,,b91972f6023590d6528d0f779b9c13d82e2900bb172427a8c211d9988ce917e9,,4.437367036007345,1084764,1083796,1,SNAV,5
-0.5592491816707098,1.9447421454592195,21.946320305404157,0.4335546875,-0.49272244188303255,1.4267809416420218,16.386110711457565,0.41409912109375,1.522776798234379,0.5358173307152253,-0.022890273516710438,-0.004507329217738394,0.03714020548412123,2.8356948770774215,-0.03287931578233838,0.28109780131273304,-0.49460025814179936,4.041847306734074,0.46872155996706866,0.9900584401272715,0.8348802042123862,0.2872340977191925,0.43434545397758484,0.8995000123977661,0.8348802027746569,0.39570246731298164,0.09139866172694687,0.487101129039929,4.996003610813204e-16,0.30873046875,0.30873046875,0.19564453125,0.43134765625,0.019835561513900757,0,0.0,2.0,0.3088016293137551,0,9,625,ref,8995,0.8995,3.330125570297241,1.6224778890609741,,,fadd504d0907f98f2f772b0a574519c3d224ac0c8e459b3d6eb0505d5f46a657,,4.894189709913917,1027428,1083796,0,SNAV,5
-0.6153366313985924,1.9465034440533078,23.198213188310298,0.42251953125,-0.5418538945374408,1.501787807280106,18.188224360895266,0.39946044921874996,1.6829514730569386,0.5870287586196186,-0.014613613581368723,-0.004831566562420677,0.03903327705854186,2.948567833496496,-0.03889331918908283,0.29711346768828184,-0.5338284256583381,4.250097791379501,0.5841303463010892,1.0270429831536552,0.8665857680665795,0.44823622703552246,0.481077641248703,0.8733000159263611,0.8665857685927767,0.39301081680235983,0.09661806237245861,0.48962887917481374,4.718447854656915e-15,0.2923046875,0.2923046875,0.183359375,0.4111328125,0.02246118187904358,0,0.0,2.0,0.31053055365348514,0,10,625,ref,8733,0.8733,3.9310741424560547,2.0874290466308594,,,c39cda951ed88ae97430e9cceac3fe80f5bd32b3865af196f058363580629f3e,,5.4235674549127,962400,1083796,1,SNAV,5
