task,perm_task,cnorm2,dnorm2,align,cos,zbar_cur,sigma_cur,between_cur,zbar_inv,sigma_inv,between_inv,rowmean,cnorm,bias,star,var_off,var_wid,pos_frac,acc,alpha_med,arm,iv,seed,cond
21,21,10.1110299428073,0.597350728856968,-0.25360819166433174,-0.05745998583357604,-0.6939001294971373,1.2575479539850885,0.7415628511234131,-0.6973536340005384,0.898154943138349,0.6385806272631844,-0.00679289340757887,3.1760208910627123,0.028750529278768228,-0.6670986075341007,0.133644037748126,0.6771573753500644,0.2880859375,0.9283999800682068,0.5416422486305237,SNA,none,0,FRESH
22,22,10.47432493917143,0.6587358793560564,-0.2954408829919284,-0.060905327554990965,-0.7206592297696823,1.2612593566229036,0.6397042131287561,-0.7061079645650947,0.9073728763430748,0.5796469556996119,-0.006932986212714265,3.2324637114165595,0.027568898800527677,-0.68263103842655,0.13023170588092703,0.6997714481751338,0.2845703125,0.91839998960495,0.525462806224823,SNA,none,0,FRESH
23,23,10.84581182503551,0.6781659961996376,-0.3066791103355548,-0.06057392337531797,-0.813883924756379,1.3192021898438993,0.7178197766041167,-0.7434122860466169,0.9205499152291867,0.5960982437487716,-0.007290406258924131,3.2892709433412057,0.026179611064726487,-0.7206336536079525,0.1387035190487389,0.7178141621602289,0.27443359375,0.9228000044822693,0.5254722237586975,SNA,none,0,FRESH
24,24,11.20380081439359,0.6058475747033661,-0.2478585853452867,-0.05108277005790674,-0.8382196517081626,1.306641753081182,0.9692190304636383,-0.7850958254645828,0.9359212178507563,0.5992572467394344,-0.007740945652055406,3.343569183980793,0.025505284564133035,-0.767460249693817,0.15015208800463792,0.7379393623656219,0.2869921875,0.9089999794960022,0.5108332633972168,SNA,none,0,FRESH
25,25,11.592142293630708,0.666018180714882,-0.2776767014777621,-0.054172118055590454,-0.8172845795180455,1.3648867932283968,1.047621365507541,-0.848024547690417,0.9582658693265867,0.663740516627941,-0.008334548699852753,3.4011973936462585,0.025023980165715328,-0.828748951416977,0.1690618055611783,0.7612489402592888,0.284609375,0.9194999933242798,0.5172016024589539,SNA,none,0,FRESH
26,26,11.945436446785584,0.6169064004839789,-0.2636122473291046,-0.05145820011175672,-0.7874485911472722,1.329523530194874,0.6711034459935432,-0.8704140584985953,0.9648664811308233,0.5401346356924198,-0.008593842557038643,3.4524752645966306,0.025600100469309838,-0.8547343264700409,0.157275279460445,0.7823333644949534,0.277890625,0.9111999869346619,0.48823028802871704,SNA,none,0,FRESH
27,27,12.296086004879523,0.6154741773516366,-0.2648246192576959,-0.05096664325869833,-0.8241757138238093,1.307642905800791,0.7957064828303689,-0.8414942702320118,0.9802446910154164,0.5598761270340173,-0.008400220682751784,3.5030988825801774,0.027781367535935714,-0.8327188582748828,0.1558097838478246,0.8098115881891769,0.27140625,0.9258999824523926,0.5011448264122009,SNA,none,0,FRESH
28,28,12.626190655446681,0.6277150336061682,-0.2976103830390127,-0.05837959951003251,-0.7745086067518682,1.337209546504001,1.0736948233771193,-0.8120548313164505,0.9919644114113745,0.6274580871014674,-0.008220105990300658,3.5501805358649388,0.027211906511802227,-0.8148377643220166,0.16312782550831212,0.8316315442037248,0.29068359375,0.9185000061988831,0.5015336871147156,SNA,none,0,FRESH
29,29,12.955205032596863,0.6408117986027588,-0.3117974214525738,-0.057497058291569786,-0.84938448002733,1.366003508274429,0.884473800389033,-0.842166713630926,1.0065447278298796,0.6270262582046661,-0.008381985299829723,3.596614201784514,0.026300062453665306,-0.8323321706323432,0.16383436336644866,0.8570614599672601,0.27703125,0.9247000217437744,0.4835664629936218,SNA,none,0,FRESH
30,30,13.26853809682749,0.6250919084376992,-0.31175884420707217,-0.058950390952348414,-0.7985737236652338,1.3829248051013878,0.9856456941111597,-0.8019813475598838,1.009078234802011,0.5598292836078782,-0.008187456701695288,3.6398468939652187,0.02942316310014576,-0.8092819860504308,0.15059851069963226,0.8782791333451536,0.285859375,0.9229999780654907,0.47594496607780457,SNA,none,0,FRESH
