arm,iv,g_FRESH_seeds,CYCLE1_g_ratio_seeds,CYCLE2_g_ratio_seeds,CYCLE5_g_ratio_seeds,growth,a_same_seeds,a_diff_seeds,FRESH_a_diff_seeds,alignment,dz_ratio_seeds,depth,wd
LR,none,+0.584;+0.564;+0.578,+0.52;+0.53;+0.54,+0.66;+0.66;+0.68,+0.76;+0.77;+0.80,GROWTH_PERSISTS_UNDER_CYCLING,+0.273;+0.267;+0.277,-0.026;-0.023;-0.026,-0.013;-0.012;-0.013,PARTIAL,+0.45;+0.63;+0.73,PARTIAL,
SNA,none,+0.346;+0.336;+0.327,+0.59;+0.59;+0.61,+0.77;+0.72;+0.78,+0.82;+0.81;+0.84,GROWTH_PERSISTS_UNDER_CYCLING,+0.244;+0.240;+0.235,-0.030;-0.029;-0.030,-0.011;-0.011;-0.011,PARTIAL,+0.62;+1.22;+0.76,PARTIAL,
LR,l2,+0.001;-0.001;-0.000,-18.79;+27.03;+54.66,-14.35;+20.66;+43.70,-10.40;+12.81;+26.80,GROWTH_PERSISTS_UNDER_CYCLING,+0.467;+0.502;+0.471,-0.120;-0.128;-0.119,-0.030;-0.031;-0.030,PARTIAL,+0.51;-0.07;+1.15,PARTIAL,WD_PINS_REGARDLESS
