task,perm_task,cnorm2,dnorm2,align,cos,zbar_cur,sigma_cur,between_cur,zbar_inv,sigma_inv,between_inv,rowmean,cnorm,bias,star,var_off,var_wid,pos_frac,acc,arm,iv,seed,cond
21,21,14.491891055028354,0.923638525620843,-0.39078149972948173,-0.057287147917818845,-1.744196972488547,1.68419069458589,2.865353355077959,-1.8583170251486703,1.2116162488163627,1.8354658431498043,-0.017757513894416755,3.798686967622402,0.0029858354566385968,-1.816055031810048,0.5433112348528494,0.951514513006824,0.208203125,0.9082000255584717,LR,none,2,FRESH
22,22,15.142975691594508,1.0451399391567693,-0.39405530259061444,-0.05391844458884753,-1.946577921837175,1.7163477090141164,2.4854551487392955,-1.9339361437333187,1.2411253549591108,1.8955419867789547,-0.018549368521540262,3.8844233630752916,0.0024468273494858295,-1.8977098952242193,0.5805292453751317,0.9910252021281516,0.17654296875,0.9175000190734863,LR,none,2,FRESH
23,23,15.781340405845931,1.004086203171051,-0.36572148891962897,-0.04963055327316997,-1.888582169314845,1.7576840586153988,2.9054931464973754,-1.9712111653195574,1.2644288150823808,1.8820525090161764,-0.018946543182579895,3.9658338076582114,0.004677770878188312,-1.936164654895279,0.5975869619397816,1.0317021928056063,0.200859375,0.9156000018119812,LR,none,2,FRESH
24,24,16.423063277438857,1.0004875543792808,-0.35876468278635265,-0.04781190833714337,-2.0473980350112737,1.7621873401670467,2.698505972807486,-2.0100041760191187,1.2886947984671557,1.9003500676696072,-0.0192455423923674,4.046804880531027,0.004410294105764478,-1.9670609564636627,0.6138629359409086,1.0753440775773244,0.18376953125,0.9186999797821045,LR,none,2,FRESH
25,25,17.013627132475563,0.9673248157895881,-0.3767609607528857,-0.050027900851304666,-2.1171612455288282,1.7464762454860467,2.497845555380172,-2.0590979627837225,1.3023318046302619,1.6854043077344831,-0.019852178743603153,4.119194366330809,0.002587383260834031,-2.0310263677187623,0.6208245596300007,1.1105009677579896,0.1629296875,0.9169999957084656,LR,none,2,FRESH
26,26,17.585674632721325,0.9718344503795209,-0.3997869501337544,-0.05242841121552383,-2.2794013678710274,1.8124395649978016,2.867828371648674,-2.2041353704508766,1.3414348403822327,1.7138534575201043,-0.021133290354041816,4.188445490836156,-0.0006753295473754406,-2.1655233506378617,0.6829013185929443,1.1465286935869432,0.15400390625,0.9182999730110168,LR,none,2,FRESH
27,27,18.123142029721986,0.9800378785694671,-0.44257048156880896,-0.056790548872457,-2.1943432873610167,1.7936157303561024,2.97928765882693,-2.299607008496879,1.3806795324619139,1.9314496746557084,-0.022062529074788277,4.2523593056715585,-0.004420580503065139,-2.264457782834507,0.7534173927758192,1.1888882791331625,0.16365234375,0.9186000227928162,LR,none,2,FRESH
28,28,18.763323958920523,1.01127312361795,-0.37109119441941263,-0.045301873293084736,-2.2951044048833817,1.8609547582395225,3.0922895490576217,-2.309929822499231,1.4058478483614352,2.1146315642613684,-0.022268233659965792,4.32705393463213,-0.0030154902336653323,-2.2841246201585133,0.7815229741437016,1.2303121336549807,0.16017578125,0.9193999767303467,LR,none,2,FRESH
29,29,19.36661911978575,0.9704103809295006,-0.36711522006427527,-0.04560151879399512,-2.229734842490869,1.8788874564787943,3.2919195599317113,-2.3368608076691926,1.434141758680807,2.297235948680823,-0.02231558560831576,4.396054997781261,-0.00041765592293813825,-2.2863774158236616,0.7981719002917135,1.2811142522944983,0.1727734375,0.9168000221252441,LR,none,2,FRESH
30,30,19.965806419342425,1.0374940207706147,-0.4383067212139366,-0.05226836850267784,-2.295166130931647,1.9068381645659238,2.7582196677697466,-2.3330088420386583,1.4369053385349146,2.0834756688946303,-0.022430252453702046,4.464226409232969,-0.0015067643369548022,-2.2992127449709643,0.7861109759729723,1.3158138385865583,0.15763671875,0.9243999719619751,LR,none,2,FRESH
