task,unit,pos0,e_0_0,eS_0_0,n_0_0,e_0_1,eS_0_1,n_0_1,e_0_2,eS_0_2,n_0_2,e_1_0,eS_1_0,n_1_0,e_1_1,eS_1_1,n_1_1,e_1_2,eS_1_2,n_1_2
21,0,0.01171875,0.25410676731189596,22.661645201492277,316.0,-0.28851917338337785,-20.1665966803891,961.0,0.19923623469163054,25.304015533303737,2617.0,-0.0016817181603983045,-0.008815323602185829,4.0,-0.2130156817237321,-17.345797401888646,319.0,-0.10117520884531572,0.2321278260194788,5783.0
21,1,0.00390625,0.5803651284113585,80.70916731753871,320.0,-0.3747732257061642,-21.38614091197534,1278.0,-0.05100436685061793,-22.753104778102955,8398.0,0.0,0.0,0.0,0.012594543397426605,0.8503345183542087,2.0,0.01831891608890146,0.8511000649473468,2.0
21,2,0.0,0.16110097299247172,20.974306039160425,320.0,0.06426960798224002,13.186511862804787,1280.0,0.23924576043153883,11.674796756661765,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,3,0.00390625,0.9801802505680826,119.80859422605546,317.0,-0.4780837173125363,-22.025145707351626,1274.0,0.3853634611582205,29.132021138513757,8351.0,0.0022197519429028034,0.2789032332819176,3.0,0.014406200250959955,1.1499346220232458,6.0,0.026927382103053787,1.0943139503230506,49.0
21,4,0.15234375,-0.9986609849129309,-93.2330640359829,260.0,0.927153935565002,110.27527856262081,845.0,0.4059212505026082,29.64561974963901,4395.0,-0.017797940876334906,1.506595911537531,60.0,-0.05914885357105959,-16.332398942677656,435.0,0.24253308661808803,14.49068774959944,4005.0
21,5,0.00390625,0.9463698930485407,68.04072512323687,320.0,-0.37298533740606565,-42.94307455626185,1280.0,-0.16671672378029023,11.717401385644868,8396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02630400433554314,1.9598383897797,4.0
21,6,0.1328125,-0.037926623059320264,16.05714998251975,264.0,0.421084021166962,37.36602670560394,809.0,0.7097331467050596,45.32409737691807,3514.0,0.04431040212512016,-0.947433953846556,56.0,-0.2864182013441905,-9.679703495970166,471.0,0.22144971588620876,-7.0953417949808095,4886.0
21,7,0.0,0.5869911339141254,40.95840308785843,320.0,-0.1964583775106803,-30.11802131508776,1279.0,0.14742176444495136,11.649377942118893,8400.0,0.0,0.0,0.0,0.013701421208679676,1.1516716347491822,1.0,0.0,0.0,0.0
21,8,0.0,0.003270106341005885,2.2771025531644318,320.0,0.06357625388355004,11.03100596041934,1280.0,0.20861477734867928,-5.766474492994872,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,9,0.01171875,-0.09832278551766649,-38.786066437027756,319.0,0.340338317126907,31.99750249124746,1117.0,-0.04852412495089453,22.02692515145713,6314.0,-0.047002218663692474,-4.455626047516629,1.0,-0.042960683420773194,-11.437634282521067,163.0,0.22282236870322691,18.06424811710078,2086.0
21,10,0.357421875,0.5365832202915044,80.80235725213541,253.0,-0.3801978015945906,-29.643172001696744,1083.0,-0.460118352243009,-61.722331181644286,6957.0,0.41940880683250725,43.14338234735199,67.0,-0.5827281944555125,-44.79369972881935,197.0,0.3647186254391954,45.709534150523005,1443.0
21,11,0.029296875,-0.5646319850202417,-49.1275422978015,309.0,0.808153974101856,72.50551107869362,1223.0,-0.20216570419982638,-5.472422138578278,7619.0,-0.002079070545732975,-0.6742935435382915,11.0,-0.13892112332632678,-10.935749688818825,57.0,0.2070189567477314,7.614336513612066,781.0
21,12,0.03515625,-0.861407048010733,-52.95162703088372,303.0,0.13091086492524084,58.897330700699264,1207.0,0.7395488251659863,27.82942163861346,8187.0,-0.06330139515921474,-2.1989755692743245,17.0,0.03971333959088952,8.096339053631436,73.0,-0.013754231809439688,4.333943334835504,213.0
21,13,0.0,-0.30911805967934924,-26.304081914333825,320.0,0.1352194347414013,19.952540486682526,1280.0,0.1841264852077635,7.356795334838804,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,14,0.0,-0.1916606896029407,-18.130430350316313,320.0,-0.023386003792836618,7.628670327627766,1279.0,-0.10186588173624411,-6.455231142129728,8400.0,0.0,0.0,0.0,0.004164684098213911,0.181482236442719,1.0,0.0,0.0,0.0
21,15,0.0,0.04928756584025251,6.255994486586064,320.0,0.030488485746094085,8.092635237210681,1280.0,-0.04940140235758128,4.759052346584586,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,16,0.87109375,-0.41244407882913947,-38.67126669767464,67.0,-0.02591645162090117,3.3276336097769597,306.0,-0.09926938317575207,-3.744393078095449,991.0,0.38151591272617225,50.82143527190701,253.0,-0.00019738982064154698,9.43713650400068,974.0,0.36500022150608924,-11.130217331758042,7409.0
21,17,0.001953125,-0.47229286495712586,-27.013136162228935,320.0,0.42224373831047046,50.27636012653759,1279.0,0.8456000477267751,52.00399973075756,8371.0,0.0,0.0,0.0,0.010322686284780502,0.5741032905538026,1.0,-0.005191797994484659,-0.4494001304907466,29.0
21,18,0.0,-0.04308164040492102,-10.175500754001465,320.0,0.06146297993991823,-1.7218906852467897,1280.0,-0.07409984325433017,-6.886236753897386,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,19,0.17578125,-0.3772433267636188,-42.20902699667775,240.0,0.4077243106280548,8.218579828246067,967.0,-0.32373770481355824,-23.975135288710376,6914.0,0.0805612761341763,2.9069937276213955,80.0,-0.13696232717080647,2.681244416152238,313.0,0.061830030654633106,21.230556161585508,1486.0
21,20,0.697265625,-0.05802836178918369,1.753293852888381,71.0,0.2697057870113895,26.934297776528087,548.0,0.17207046399431558,7.367130908625713,2820.0,0.20479404599245754,39.90440631509317,249.0,-0.2796665509912373,-19.163990855572884,732.0,-0.2101931740298092,-19.88651601081012,5580.0
21,21,0.0,0.009575878449140873,0.6805909692079378,320.0,-0.002401795935426776,7.524257855064836,1280.0,-0.1461686548021507,-8.818382185497944,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,22,0.451171875,-0.7590332372637931,-77.38866296114463,145.0,0.7298846233509266,55.65365048789363,264.0,-0.07572830248071227,-3.080096886137519,1463.0,-0.18954211394884624,-10.614256133846787,175.0,-0.3152439539704801,-27.470222849364482,1016.0,0.029807094621302488,-5.57057709483227,6937.0
21,23,0.0,0.1483539618547809,19.84391540013201,320.0,-0.02671728016016317,6.294635938770588,1280.0,-0.004875239687741062,9.760999101976173,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,24,0.04296875,0.751686226518359,81.14378037953182,314.0,-0.8159861917486069,-66.38023058476477,1272.0,-0.3910480648701764,-22.271856278784764,8378.0,0.057003387017175555,5.14148628313097,6.0,0.02246391674998449,1.1667400992825365,8.0,0.04367286008528026,2.1294234489383075,22.0
21,25,0.96875,0.02056160260690376,0.06534285304780796,85.0,0.5299460268061011,26.970957827051407,268.0,-0.13043883062697148,-19.502901495345018,1788.0,0.6040231280567241,32.640417199358765,235.0,-0.5094526708148805,-78.52614117417909,1012.0,-0.2223204334788167,0.4402427454427089,6612.0
21,26,0.00390625,0.7683841046653015,74.33312087128438,320.0,-0.31952832190245317,-20.13289082328018,1274.0,-0.11107079005102005,12.358543667079577,7801.0,0.0,0.0,0.0,-0.007053413060930325,-0.5020379712375996,6.0,-0.06585265412805086,5.449995096323189,599.0
21,27,0.234375,0.47636295534903184,36.35552040062916,297.0,-0.10274317750278783,-16.300537518774284,1228.0,-0.18969542545934326,9.048367883615411,7863.0,0.11759309709304944,10.063989795137344,23.0,-0.03446636096759903,-3.045949181366699,52.0,-0.008051386257307058,0.5105375924673068,537.0
21,28,0.0,0.19514008487931278,17.823584007528922,320.0,0.021156221356633864,11.024757602715628,1280.0,0.17656671982360503,25.6741962616399,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,29,0.0,-0.3342357017422728,-36.512421014329,320.0,0.11283385907209009,21.141467200746607,1280.0,-0.1503084471539584,-0.7244303213582046,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,30,0.408203125,-0.48800168849993497,-48.22528875831875,155.0,0.5220326509313935,53.17054525198399,850.0,0.09994051154165895,8.485453752244787,3324.0,-0.15473178605316207,-15.068767533808508,165.0,0.2248651744614456,19.651149388212946,430.0,-0.3315675257319546,-24.12380255673795,5076.0
21,31,0.365234375,-0.897884408266691,-101.476037708786,261.0,0.522647966419072,38.83193980023994,1253.0,0.010731883765986439,5.940760689377436,7975.0,0.31278825749177486,28.502309885813805,59.0,0.028038843476679176,2.730459212871197,27.0,-0.16696243454020987,-4.952632422130133,425.0
21,32,0.01171875,0.299355709223164,35.275550367856155,317.0,0.1569922571371194,5.402525775656743,523.0,0.5129054589873233,28.137026499601703,2915.0,-0.004724879865534604,-0.23812846626987588,3.0,-0.26447966373473264,3.288840086704948,757.0,0.09679155219570035,9.754678483212778,5485.0
21,33,0.0,0.5020415782637428,21.343631188356575,320.0,0.07355240863205381,-8.975805204554351,1280.0,-0.05678158734079086,11.480126175113185,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,34,0.08984375,0.4556545785308117,31.699799668427353,279.0,0.10820948529521957,-0.42329716358109515,719.0,0.46800470955067297,49.781202230158485,4829.0,-0.4679883174248971,-26.398127196509897,41.0,-0.18021285044369506,-4.46141386093188,561.0,-0.2672215824447335,-1.8140002670708584,3571.0
21,35,0.0,-0.15880949218535534,-11.517383945206529,320.0,-0.1808672526457542,-1.0890778368893665,1280.0,0.008264240737613865,14.694499265636257,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,36,0.0,0.9597816811028679,90.99906529385015,320.0,-0.3287648909545595,-18.821004853408745,1280.0,-0.11948347211293814,19.857646352318923,8397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013798229396343231,0.90720287819649,3.0
21,37,0.046875,-0.02976247157494072,37.23761488813788,304.0,-0.2071758442965823,2.0193300406767047,1277.0,0.0012610489906403066,-17.81816121388448,8393.0,0.15414232574403286,15.21564893279025,16.0,0.03206019289791584,1.8939006619310228,3.0,0.04808608809253201,3.3235517075166197,7.0
21,38,0.0,0.31649851848123944,27.17851522820463,320.0,-0.12811673611645347,-4.821656448284269,1280.0,-0.04235699684965988,18.130089370499817,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,39,0.005859375,0.47410262000062176,57.16148317538424,319.0,-0.19898001275998922,1.0866365118327386,1280.0,-0.11645758294511843,-8.49065033866925,8399.0,0.014959899708628654,0.7784427921588001,1.0,0.0,0.0,0.0,0.004268412012606859,0.2564060241705348,1.0
21,40,0.990234375,0.008964278735220432,0.4168916954084721,1.0,0.15731457881702227,11.025519201050331,98.0,0.34378681930638777,25.485470878924318,976.0,0.36569403261091793,48.31666703903304,319.0,-0.45058565386358396,-53.04452987210526,1182.0,-0.3387985365838686,-25.889502174448957,7424.0
21,41,0.021484375,-0.8599790439620847,-82.60778770215191,303.0,0.36767325128457173,43.0698464326213,1243.0,0.1642834382320708,7.003344070332229,8304.0,0.004161654956988059,2.970518387856102,17.0,0.08317331259604543,6.3909974235150955,37.0,0.07624520286339731,8.571107739832,96.0
21,42,0.931640625,-0.38994101877324283,-44.20496909428539,144.0,-0.1694877133148971,-23.83869037175607,1149.0,-0.05446341425931256,4.590757314724748,7808.0,0.6543271664340864,57.84889908261105,176.0,0.13098864772109664,4.6123041955891075,131.0,0.031162454017086283,-6.978490671940391,592.0
21,43,0.0,0.060435549645262654,11.617861517806613,320.0,0.0768868957365072,35.62530660016841,1280.0,0.40591435831583267,37.39023118958522,8038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07288812612051743,7.672921872435526,362.0
21,44,0.0,-0.3774215246521635,-36.47795414404412,320.0,0.37397375651426046,34.26829182204228,1280.0,0.26884156030679307,9.769973243372174,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,45,0.0,-0.13825900180381723,8.32161235955753,320.0,-0.003972559457736224,4.842644373344675,1280.0,0.3088404076369997,16.677899490583663,8399.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002185283665312454,-0.017041784883376886,1.0
21,46,0.177734375,0.4879223541643114,24.89716126947273,304.0,-0.1295738382685272,-48.81628699654101,1278.0,-0.6231952724901977,-10.15788012542902,8388.0,0.38636840030085295,33.535434233062446,16.0,0.0021549243247136474,0.1104141826273145,2.0,0.04122019509668462,2.4492194383281456,12.0
21,47,0.115234375,0.002621602478029672,0.8378947879953422,274.0,0.3950686585640142,45.86705133834979,483.0,0.6747541994557444,62.50124404402155,3596.0,-0.20463861353346147,-16.635358757768735,46.0,-0.30096313326146173,-22.529422767767286,797.0,-0.18589375767593097,-7.445434543253934,4804.0
21,48,0.017578125,-0.5641744144541008,-44.094171035134615,319.0,0.11339588607313544,33.44223346683973,1276.0,0.5553546839190764,31.435829412337256,8267.0,0.00803665816783905,0.5400634359757968,1.0,0.020135860075242817,1.644110469156935,4.0,-0.018291239436166506,2.5496727872804588,133.0
21,49,0.0,-0.0695707562044845,20.410353421560323,320.0,0.029166764398169676,31.126051660788477,1280.0,0.2512115456738921,2.2621314573780955,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,50,0.0,0.34967886552226446,25.69767937167218,320.0,-0.15534145096825114,-19.493833246526666,1280.0,-0.09909498986186849,-3.3224097125785024,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,51,0.0,0.5036964051701034,45.159916033684055,320.0,-0.24501039256298895,-19.030737346279416,1280.0,-0.1617739527306007,-41.599201275525026,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,52,0.9609375,0.023757063783705235,2.682088209910484,5.0,0.05690427595982328,5.245637785541536,94.0,0.33509344427653787,32.01223761132255,610.0,-0.3505697071668692,-17.911273019015653,315.0,0.05012589267252565,3.9256613793686146,1186.0,-0.026280852238260932,-5.058420116265646,7790.0
21,53,0.0,-0.09151423552975757,-11.925826182748747,320.0,-0.16707305259162109,-12.551430314320552,1280.0,-0.09463682605870449,-3.8481257524669346,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,54,0.87109375,-0.00016699556726962328,-1.470857436370009,12.0,0.2484688842378091,23.57978718871164,66.0,0.10929482788856859,4.926773258888542,765.0,-0.10511213941208553,-22.204133061063377,308.0,0.2958476786979247,25.222692927090673,1214.0,0.15176747897080212,9.830939483681542,7635.0
21,55,0.98828125,0.08516201423481107,5.595470230130241,24.0,0.027567408777031233,0.7856054810277205,219.0,-0.1689782409825895,-9.18845163172436,1855.0,0.4745729367605236,43.17016508002881,296.0,-0.30245779315669097,-32.565633783222644,1061.0,-0.16056513053397836,10.106495105445587,6545.0
