== SW1_s0  repro mismatched cells 0  rows 50
 t |  u1   g1   neg1  off1  Emu1 rk1u rk1c |  u2   g2   neg2  off2  Emu2 rk2u rk2c |  c2   rho  m2/sd  b2/sd wneg | down1 down2 | aW1  aW2 | loss
 7 | -1.02  0.17  0.40  0.88 0.44  71.2  80.5 | -3.66 -0.06  0.99  1.60 0.74  48.5  67.9 |  6.01 0.37  -3.64  -0.02 1.00 | 0.53 0.32 |  1.0  1.0 | 0.000
 8 | -1.21  0.13  0.47  1.18 0.52  69.6  81.4 | -4.05 -0.05  0.99  1.44 0.73  46.0  64.4 |  9.19 0.19  -4.03  -0.02 1.00 | 0.55 0.47 |  1.0  1.0 | 0.000
 9 | -1.53  0.05  0.53  2.03 0.91  10.8  36.6 | -3.91 -0.05  1.00  1.55 0.71   3.0   5.1 |  3.41 1.32  -3.91  -0.00 1.00 | 0.54 0.50 |  1.0  1.0 | 0.023
10 | -1.56  0.05  0.55  2.22 0.91   5.4  20.0 | -3.54 -0.06  1.00  1.67 0.74   1.8   2.7 |  3.24 1.19  -3.54  -0.00 1.00 | 0.48 0.51 |  1.0  1.0 | 0.081
12 | -1.62  0.04  0.58  2.24 0.91   3.4  11.2 | -3.36 -0.07  0.99  1.78 0.76   1.5   2.0 |  3.13 1.15  -3.36  -0.00 1.00 | 0.44 0.50 |  1.0  1.0 | 1.947
14 | -1.78  0.01  0.61  2.27 0.90   2.9   8.5 | -3.29 -0.07  0.99  1.81 0.77   1.4   1.8 |  3.09 1.14  -3.29  -0.00 1.00 | 0.52 0.46 |  1.0  1.0 | 1.204
20 | -1.90 -0.00  0.64  2.38 0.90   2.1   5.0 | -3.17 -0.07  0.99  1.87 0.78   1.2   1.4 |  3.01 1.10  -3.17  -0.00 1.00 | 0.48 0.44 |  1.0  1.0 | 17.200
30 | -1.86 -0.00  0.63  2.28 0.90   1.7   3.5 | -3.06 -0.07  0.98  1.95 0.79   1.1   1.2 |  2.96 1.07  -3.06  -0.00 1.00 | 0.43 0.51 |  1.0  1.0 | 40.168
50 | -1.94 -0.01  0.65  2.33 0.90   1.4   2.3 | -2.99 -0.07  0.98  2.00 0.80   1.1   1.1 |  2.92 1.05  -2.99  -0.00 1.00 | 0.44 0.55 |  1.0  1.0 | 243.126
== SWA3_s0  repro mismatched cells 0  rows 50
 t |  u1   g1   neg1  off1  Emu1 rk1u rk1c |  u2   g2   neg2  off2  Emu2 rk2u rk2c |  c2   rho  m2/sd  b2/sd wneg | down1 down2 | aW1  aW2 | loss
 1 | -0.53  0.29  0.54  0.35 0.31  76.9  82.9 |  1.23  0.93  0.05  1.32 0.65  37.4  50.7 |  4.13 0.08   1.17   0.06 0.00 | 0.15 0.27 |  3.1  3.1 | 0.000
 2 | -1.73 -0.00  0.92  0.27 0.05  80.3  81.0 |  0.67  0.88  0.10  1.04 0.53  45.0  55.5 |  1.59 0.04   0.30   0.38 0.03 | 0.40 0.10 |  3.1  3.1 | 0.000
 3 | -1.96 -0.02  0.95  0.56 0.18  75.7  79.0 |  1.41  1.00  0.02  1.51 0.70  29.0  41.8 |  1.53 0.27   0.80   0.58 0.01 | 0.51 0.08 |  3.1  3.1 | 0.000
 5 | -2.28 -0.02  0.98  0.55 0.25  75.5  80.2 |  0.75  0.87  0.10  0.97 0.52  46.2  55.8 |  1.26 0.10   0.31   0.50 0.21 | 0.30 0.46 |  3.1  3.1 | 0.000
 7 | -2.01 -0.02  0.96  0.61 0.29  79.9  85.3 | -0.60  0.24  0.52  0.22 0.17  72.2  75.2 |  1.39 0.26  -0.68   0.09 0.93 | 0.53 0.25 |  3.1  3.1 | 0.000
 8 | -1.99 -0.02  0.95  0.58 0.25  82.3  87.1 | -1.00  0.08  0.73  0.07 0.02  70.2  70.3 |  1.52 0.35  -0.89  -0.12 1.00 | 0.41 0.17 |  3.1  3.1 | 0.001
 9 | -2.04 -0.02  0.96  0.58 0.28  81.3  86.6 | -1.23  0.04  0.80  0.03 0.01  68.7  68.7 |  1.49 0.40  -0.95  -0.26 1.00 | 0.48 0.23 |  3.1  3.1 | 0.001
10 | -2.09 -0.02  0.97  0.56 0.25  83.1  87.8 | -1.41  0.00  0.87  0.02 0.00  54.3  54.2 |  1.55 0.47  -1.07  -0.37 1.00 | 0.41 0.11 |  3.1  3.1 | 0.009
12 | -2.08 -0.01  0.97  0.55 0.24  83.9  88.3 | -1.57 -0.01  0.91  0.04 0.00  42.0  41.8 |  1.55 0.48  -1.08  -0.49 1.00 | 0.54 0.23 |  3.1  3.1 | 0.003
14 | -2.11 -0.01  0.97  0.52 0.22  83.0  87.2 | -1.75 -0.02  0.93  0.03 0.00  25.7  25.5 |  1.51 0.55  -1.12  -0.67 1.00 | 0.52 0.13 |  3.1  3.1 | 0.018
20 | -2.18 -0.01  0.97  0.49 0.18  83.3  86.7 | -1.71 -0.03  0.93  0.04 0.00  14.9  14.7 |  1.36 0.62  -1.07  -0.66 1.00 | 0.46 0.62 |  3.1  3.1 | 0.688
30 | -2.05 -0.01  0.96  0.46 0.12  78.3  80.8 | -1.12 -0.02  0.81  0.03 0.00   5.8   5.7 |  1.06 0.69  -0.87  -0.23 1.00 | 0.50 0.52 |  3.1  3.0 | 0.073
50 | -2.38 -0.01  0.98  0.42 0.13  73.1  75.5 | -1.06  0.04  0.64  0.48 0.05  12.7  12.8 |  0.97 0.85  -0.89  -0.17 1.00 | 0.55 0.50 |  3.1  3.1 | 0.012
== SWA3_s2  repro mismatched cells 0  rows 50
 t |  u1   g1   neg1  off1  Emu1 rk1u rk1c |  u2   g2   neg2  off2  Emu2 rk2u rk2c |  c2   rho  m2/sd  b2/sd wneg | down1 down2 | aW1  aW2 | loss
 1 | -0.35  0.36  0.49  0.44 0.25  79.3  84.2 |  0.84  0.82  0.12  1.01 0.53  49.9  61.0 |  4.11 0.04   0.79   0.03 0.05 | 0.29 0.19 |  3.1  3.1 | 0.000
 2 | -1.57  0.01  0.85  0.23 0.37  55.3  61.8 |  0.33  0.67  0.26  0.75 0.46  56.9  66.2 |  1.33 0.16   0.27   0.07 0.37 | 0.23 0.45 |  3.1  3.1 | 0.000
 3 | -1.99 -0.01  0.94  0.42 0.63  39.1  54.7 |  0.75  0.90  0.26  1.18 0.65  45.0  59.3 |  1.56 0.40   0.79   0.10 0.35 | 0.54 0.48 |  3.1  3.1 | 0.125
 5 | -2.29 -0.02  0.98  0.53 0.37  46.1  53.7 |  0.24  0.64  0.23  0.66 0.46  54.0  63.0 |  0.89 0.37   0.06   0.18 0.49 | 0.42 0.44 |  3.1  3.1 | 0.002
 7 | -2.20 -0.02  0.97  0.55 0.49  38.0  48.9 | -0.62  0.28  0.48  0.31 0.32  61.7  67.6 |  1.07 0.47  -0.70   0.06 0.79 | 0.23 0.24 |  3.1  3.1 | 0.000
 8 | -2.04 -0.02  0.96  0.59 0.74  26.0  46.9 | -1.44  0.04  0.75  0.17 0.25  59.4  63.6 |  1.83 0.58  -1.39   0.02 0.93 | 0.44 0.38 |  3.1  3.1 | 0.000
 9 | -1.96 -0.02  0.94  0.61 0.82  30.6  59.4 | -1.72  0.00  0.89  0.06 0.07  62.1  63.0 |  2.41 0.53  -1.76   0.01 1.00 | 0.50 0.42 |  3.1  3.1 | 0.001
10 | -1.92 -0.01  0.94  0.58 0.85  33.8  66.8 | -2.01 -0.01  0.95  0.03 0.01  53.0  53.0 |  2.85 0.49  -2.00  -0.04 1.00 | 0.33 0.54 |  3.1  3.1 | 0.014
12 | -2.01 -0.01  0.95  0.60 0.88  20.7  53.6 | -2.33 -0.01  0.98  0.13 0.02  38.6  38.5 |  2.94 0.60  -2.27  -0.08 1.00 | 0.25 0.31 |  3.1  3.1 | 0.059
14 | -2.02 -0.01  0.95  0.61 0.88  11.6  36.4 | -2.42 -0.01  0.99  0.33 0.05  49.4  50.0 |  2.83 0.77  -2.48  -0.09 1.00 | 0.32 0.28 |  3.1  3.1 | 0.038
20 | -2.15 -0.01  0.96  0.54 0.86   3.2   8.3 | -2.63 -0.01  1.00  0.45 0.08  49.0  50.5 |  2.47 1.05  -2.53  -0.10 1.00 | 0.35 0.34 |  3.1  3.1 | 0.239
30 | -2.10 -0.01  0.96  0.46 0.93   1.5   3.1 | -3.52 -0.00  1.00  0.40 0.07  23.9  24.4 |  3.53 0.98  -3.49  -0.01 1.00 | 0.35 0.33 |  3.1  3.1 | 0.622
50 | -2.26 -0.01  0.95  0.32 0.94   1.5   3.2 | -3.89 -0.00  1.00  0.26 0.07   8.1   8.3 |  3.83 1.03  -3.89  -0.00 1.00 | 0.31 0.40 |  3.1  3.1 | 1.229
