arm,mode,seed,task,step,global_step,window_start,window_steps,loss,acc,advantage,confidence,online_acc_window,initial_positive_count,observed,down,up,net,conf,hist,label,correction,roundoff,conf_common,correction_common,zmean_l1,zsd_l1,outputsd_l1,gain_l1,ppos_l1,dead_l1,output_sd_ratio_l1,output_sd_ratio_n_l1,eff_rank_l1,zmean_l2,zsd_l2,outputsd_l2,gain_l2,ppos_l2,dead_l2,output_sd_ratio_l2,output_sd_ratio_n_l2,eff_rank_l2
GELU,late,1004,1,10,10,1,9,2.321269274,0.1075000018,0.001778731821,2.323047638,0.08333333582,2895,True,28.24748611,5.195722103,-23.05176353,-12.96416664,0,-10.08759785,0,-1.25169754e-06,-2.07096839,0,-3.572921753,1.036625624,0.02169908024,0.001004892401,0.1900666803,0,0.3782482743,100,,-0.1517172009,0.1793748736,0.0397855863,0.1517403871,0.4025833309,0,2.096803665,100,
GELU,late,1005,1,10,10,1,9,2.353029013,0.1075000018,0.01085836254,2.363887072,0.125,3581,True,30.98567581,7.787687302,-23.19799042,-31.09897232,0,7.900981903,0,-7.078051567e-07,-3.68385911,0,-2.943075895,1.036821127,0.02854868211,0.002362689935,0.2003166527,0,0.3707570434,100,,-0.3721967936,0.1814825982,0.03652203828,0.05808218196,0.356674999,0,1.587037563,100,
GELU,late,1001,1,30,30,10,20,2.328101873,0.08416666836,-0.0004296936677,2.327672243,0.08437500149,3285,True,20.62316132,2.624512911,-17.9986515,-12.73368931,0,-5.264960289,0,-2.395361662e-06,-1.948270917,0,-5.972754955,1.632054806,0.004006419796,6.359114923e-05,0.1332749873,0,0.0590721406,100,,-0.4387041926,0.2065533251,0.03617218509,0.03950462863,0.3624750078,0,1.711043,100,
GELU,late,1002,1,30,30,10,20,2.313775301,0.1125000045,0.00687134359,2.320646524,0.08437500149,2812,True,21.79946518,1.994741321,-19.80472755,-18.52173805,0,-1.282985806,0,-2.162298188e-06,-2.263281345,0,-5.878162861,1.623020768,0.007517362479,0.0001342230389,0.107099995,0,0.1520890146,100,,0.01892874204,0.1478476673,0.04251175001,0.266259402,0.4989083409,0,2.217510939,100,
GELU,late,1003,1,30,30,10,20,2.3084867,0.1041666716,0.004673229065,2.313159943,0.1000000015,3529,True,20.72532845,4.252882957,-16.47244644,-8.015957832,0,-8.456486702,0,-2.488493919e-06,-1.041910052,0,-5.294594765,1.456186771,0.008909203112,0.0001738083229,0.1351500154,0,0.1196561679,100,,-0.499533385,0.2095214725,0.03450160474,0.02868049778,0.2879500091,0,1.610261202,100,
GELU,late,1004,1,30,30,10,20,2.320107222,0.09833333641,0.01066660415,2.330774069,0.08124999702,2895,True,21.73075867,2.710871696,-19.01988792,-9.365621567,0,-9.654263496,0,-3.218650818e-06,-1.619167328,0,-6.849839211,1.88096869,0.006532988977,5.770834832e-05,0.1016749963,0,0.1277931929,100,,-0.1228521094,0.1834187657,0.04251363128,0.1634000838,0.4338083267,0,2.097718,100,
GELU,late,1005,1,30,30,10,20,2.306399107,0.1066666692,0.006685175467,2.313084364,0.09062500298,3581,True,27.86063957,2.53476119,-25.32588005,-24.31455994,0,-1.011316657,0,-2.37300992e-06,-3.053100348,0,-6.433640957,1.814547658,0.007497986313,0.0001029988998,0.1045000032,0,0.1089095622,100,,-0.2131610662,0.1474491656,0.03326077014,0.1136215255,0.3488749862,0,1.430622697,100,
GELU,late,1001,1,75,75,30,45,2.30509901,0.1066666692,0.01026878133,2.31536746,0.09027777612,3285,True,10.13151264,2.49899292,-7.632518291,-6.948419571,0,-0.6840971708,0,-1.022501237e-06,-0.9410566092,0,-6.658004761,1.749208093,0.002621736145,2.90083517e-05,0.06226666644,0,0.03641567379,100,,-0.2552455068,0.1585687101,0.03162710369,0.1012385264,0.3181166649,0,1.364634752,100,
GELU,late,1002,1,75,75,30,45,2.303912163,0.09666667134,0.001684836927,2.305597067,0.1041666642,2812,True,10.45547581,2.107117653,-8.348355293,-5.118963718,0,-3.229390383,0,-1.150649041e-06,-0.6990637183,0,-6.693053722,1.7686764,0.006631023251,9.792463243e-05,0.01920833252,0,0.1279401779,100,,-0.02090797387,0.03837031499,0.01746216416,0.2344272882,0.4148499966,0,0.8784495592,100,
GELU,late,1003,1,75,75,30,45,2.306040525,0.113333337,0.0003983286151,2.306438923,0.08333333582,3529,True,12.89551544,2.605796337,-10.28971767,-7.974418163,0,-2.315299273,0,-1.057516783e-06,-0.6669840813,0,-6.167687416,1.650137544,0.005911824759,0.0001017132963,0.05382499471,0,0.08026120067,100,,-0.3317670822,0.1382907629,0.0248463545,0.0675509274,0.2765000165,0,1.115906835,100,
