task,step,mean,star,star_W,bias,within,between,pre_switch_mean,arm,iv,seed
21,0,-0.18084056460781298,-0.1792775773491252,-0.20834957521073588,0.029071997861610726,0.12182192773572545,0.5271969154198399,-0.3129516541957855,SNA,l2,1
21,20,-0.40934795758528497,-0.2518235260903628,-0.2802979531317276,0.028474427041364835,0.25866105799572475,0.6872358854764462,-0.3129516541957855,SNA,l2,1
21,300,-0.2903020598966215,-0.1826951290438732,-0.21251641537748164,0.029821286333608442,0.6835307054482881,0.7221504851453137,-0.3129516541957855,SNA,l2,1
21,625,-0.24834472011803232,-0.1419663457008108,-0.1716697764167009,0.029703430715890135,0.7872616716030284,0.6967995368905332,-0.3129516541957855,SNA,l2,1
22,0,-0.16914800004065575,-0.1419663457008108,-0.1716697764167009,0.029703430715890135,0.12199983679790405,0.5199134750215009,-0.24834468960762024,SNA,l2,1
22,20,-0.2409377395186025,-0.15458185834146365,-0.18425713863374923,0.029675280292285607,0.2689124115463105,0.6051657729741681,-0.24834468960762024,SNA,l2,1
22,300,-0.22034221760202605,-0.14190139061616436,-0.17311300059189028,0.031211609975725876,0.6771504708824532,0.8687638975175687,-0.24834468960762024,SNA,l2,1
22,625,-0.23554919247515926,-0.1371491759091833,-0.16856496942684593,0.03141579351766268,0.8100251711819585,0.7951606271752086,-0.24834468960762024,SNA,l2,1
23,0,-0.14225615168429084,-0.1371491759091833,-0.16856496942684593,0.03141579351766268,0.13199514323506037,0.6402049767830278,-0.2355491667985916,SNA,l2,1
23,20,-0.3591636812465987,-0.22063418896518552,-0.25043096589505576,0.029796776929870247,0.24398637830418482,0.6446014020873586,-0.2355491667985916,SNA,l2,1
23,300,-0.32271851522170253,-0.18921893133761214,-0.22014740012449063,0.03092846878687851,0.7068506912210799,0.8388495870923208,-0.2355491667985916,SNA,l2,1
23,625,-0.23490249227471152,-0.1341503846789225,-0.16633178439382268,0.03218139971490018,0.7989753253776739,0.9123909695454852,-0.2355491667985916,SNA,l2,1
24,0,-0.18233597613564897,-0.1341503846789225,-0.16633178439382268,0.03218139971490018,0.12261574983282596,0.560986014995892,-0.2349025011062622,SNA,l2,1
24,20,-0.3398845355036272,-0.18811551955275352,-0.2194849039145774,0.031369384361823904,0.2698355571999604,0.774016751900158,-0.2349025011062622,SNA,l2,1
24,300,-0.3042400564774923,-0.16494864163269046,-0.19645566509385348,0.03150702346116305,0.6843244403714034,0.78628895333171,-0.2349025011062622,SNA,l2,1
24,625,-0.30305548254866926,-0.14379211496112063,-0.17546458632948586,0.03167247136836522,0.789251461240672,0.9455099446869747,-0.2349025011062622,SNA,l2,1
25,0,-0.14139768446417902,-0.14379211496112063,-0.17546458632948586,0.03167247136836522,0.11866962000165468,0.617651049653867,-0.30305546522140503,SNA,l2,1
25,20,-0.4032841202943138,-0.24503619328412218,-0.27529985862385703,0.03026366533973487,0.2482486970135283,0.7045523108188592,-0.30305546522140503,SNA,l2,1
25,300,-0.279816893988837,-0.17718785996553657,-0.20943309855739523,0.032245238591858655,0.688294383782234,0.8827997836839009,-0.30305546522140503,SNA,l2,1
25,625,-0.2619536327427259,-0.15707956967296946,-0.1886173294810945,0.031537759808124975,0.7602950046840704,0.8076504985421146,-0.30305546522140503,SNA,l2,1
