task,step,mean,star,star_W,bias,within,between,pre_switch_mean,arm,iv,seed
21,0,-0.11220988235163204,-0.0875768298161131,-0.126034667205837,0.038457837389723866,0.12222092938591246,0.2877192680392961,-0.20844539999961853,LR,l2,2
21,20,-0.40495580584833846,-0.19323268080899758,-0.22984827815662462,0.036615597347627045,0.23909672341054075,0.38335702047766956,-0.20844539999961853,LR,l2,2
21,300,-0.27594863798356767,-0.12321641801268904,-0.16196184031979988,0.03874542230711086,0.7460104019228688,0.669663389653929,-0.20844539999961853,LR,l2,2
21,625,-0.20420545210939361,-0.08593228535077099,-0.12353783185308015,0.037605546502309156,0.836598845875764,0.5788178829220764,-0.20844539999961853,LR,l2,2
22,0,-0.07738641910707188,-0.08593228535077099,-0.12353783185308015,0.037605546502309156,0.09758004224636962,0.276624408352587,-0.2042054384946823,LR,l2,2
22,20,-0.4501859829886034,-0.22190318723640268,-0.25710930181166947,0.03520611457526684,0.2614448815768888,0.42211316357748124,-0.2042054384946823,LR,l2,2
22,300,-0.27045442172713846,-0.15410347699066856,-0.1923771347163268,0.038273657725658265,0.8206606008396764,0.717265205310753,-0.2042054384946823,LR,l2,2
22,625,-0.24386310978009448,-0.11317044462838644,-0.15100204387655217,0.03783159924816573,0.8896953143031878,0.5992222445263446,-0.2042054384946823,LR,l2,2
23,0,-0.11002542397392152,-0.11317044462838644,-0.15100204387655217,0.03783159924816573,0.11287481074902778,0.3319001979064033,-0.24386310577392578,LR,l2,2
23,20,-0.375714186957766,-0.2149472744448482,-0.25087146962540796,0.03592419518055976,0.25537438823335945,0.41730977208536546,-0.24386310577392578,LR,l2,2
23,300,-0.2547578792563182,-0.1421361209140039,-0.1805483765230773,0.038412255609073326,0.7754423951946281,0.6780808941662058,-0.24386310577392578,LR,l2,2
23,625,-0.16966016719171026,-0.10384332750383334,-0.141635238228897,0.037791910725063646,0.8571272291735608,0.5580702850833269,-0.24386310577392578,LR,l2,2
24,0,-0.10637526783593802,-0.10384332750383334,-0.141635238228897,0.037791910725063646,0.11351558611722405,0.26681181866546727,-0.16966016590595245,LR,l2,2
24,20,-0.3606407800853147,-0.21232850679392556,-0.24821757494493482,0.03588906815100927,0.2700033912737608,0.37801288259444943,-0.16966016590595245,LR,l2,2
24,300,-0.22576908343176746,-0.13944179783669125,-0.177999872012508,0.03855807417581673,0.7520027877251444,0.582688550413923,-0.16966016590595245,LR,l2,2
24,625,-0.17652909802649053,-0.09256896000526105,-0.13069691191161475,0.0381279519063537,0.8377691964041507,0.5787134897563452,-0.16966016590595245,LR,l2,2
25,0,-0.1182153239740944,-0.09256896000526105,-0.13069691191161475,0.0381279519063537,0.1168139471921732,0.37364849285657387,-0.17652907967567444,LR,l2,2
