task,step,mean,star,star_W,bias,within,between,pre_switch_mean,arm,iv,seed
21,0,-0.7354152926931619,-0.6904980263534627,-0.7171216744465447,0.02662364809308201,0.7795160377930773,0.7123913181704944,-0.6065847873687744,SNA,none,0
21,20,-0.8921937762636111,-0.7468799978643095,-0.7723741973325399,0.025494199468230363,0.9139178420440613,0.9476158926954148,-0.6065847873687744,SNA,none,0
21,300,-0.7192165377899493,-0.6686633055127982,-0.6965608468061487,0.027897541293350515,1.4562616574816971,1.0081896730520057,-0.6065847873687744,SNA,none,0
21,625,-0.6939001294971373,-0.6670986075341006,-0.695849136812869,0.028750529278768228,1.5814268565720824,0.7415628511234131,-0.6065847873687744,SNA,none,0
22,0,-0.7833271790940819,-0.6670986075341006,-0.695849136812869,0.028750529278768228,0.7942986995924334,0.8077428488651502,-0.6939001679420471,SNA,none,0
22,20,-0.7864101731111564,-0.6841354166904869,-0.7118352941868301,0.027699877496343107,0.8877613042973241,0.946631200424106,-0.6939001679420471,SNA,none,0
22,300,-0.7705209134162757,-0.6762938008803532,-0.7036766038034468,0.02738280292309355,1.3853081795593059,0.6212441330512076,-0.6939001679420471,SNA,none,0
22,625,-0.7206592297696823,-0.6826310384265498,-0.7101999372270775,0.027568898800527677,1.5907751646688209,0.6397042131287557,-0.6939001679420471,SNA,none,0
23,0,-0.7312644204177795,-0.6826310384265498,-0.7101999372270775,0.027568898800527677,0.8005688669824622,0.7576119022320431,-0.7206591963768005,SNA,none,0
23,20,-1.007506818849056,-0.7827997584915722,-0.8086695971188312,0.025869838627259015,0.9816173188751821,0.9203591090397009,-0.7206591963768005,SNA,none,0
23,300,-0.8431699413346903,-0.7156839076997826,-0.7430135081402082,0.027329600440425567,1.5419076028272596,0.7825229749360594,-0.7206591963768005,SNA,none,0
23,625,-0.8138839247563788,-0.7206336536079523,-0.7468132646726788,0.026179611064726487,1.7402944176889392,0.7178197766041162,-0.7206591963768005,SNA,none,0
24,0,-0.6818623765140113,-0.7206336536079523,-0.7468132646726788,0.026179611064726487,0.8606403163322152,0.9102346304452519,-0.813883900642395,SNA,none,0
24,20,-0.9950923424266601,-0.8323960444868138,-0.8560392763164422,0.02364323182962835,0.9907863854931638,0.8380871025646287,-0.813883900642395,SNA,none,0
24,300,-0.7852706522360555,-0.7355382037057668,-0.7614682466967159,0.025930042990949004,1.4813974508537842,0.866884565343968,-0.813883900642395,SNA,none,0
24,625,-0.8382196517081626,-0.7674602496938171,-0.7929655342579501,0.025505284564133035,1.7073126708950648,0.9692190304636382,-0.813883900642395,SNA,none,0
25,0,-0.6871994938413494,-0.7674602496938171,-0.7929655342579501,0.025505284564133035,0.8709726043321231,0.8901472825318608,-0.8382195234298706,SNA,none,0
25,20,-0.7836124012292578,-0.7989218026913223,-0.824789883848418,0.02586808115709573,1.0135541606941976,0.9622131451846987,-0.8382195234298706,SNA,none,0
