task,step,mean,star,star_W,bias,within,between,pre_switch_mean,arm,iv,seed
21,0,-1.8668174403942726,-1.8271182297486472,-1.8473140628451608,0.020195833096513526,1.3843757180963123,1.4778528829174828,-2.007383346557617,LR,none,1
21,20,-1.762456816372183,-1.796319975645613,-1.8179549476200305,0.021634971974417567,1.4285583444892638,1.3771550263171375,-2.007383346557617,LR,none,1
21,300,-1.980207303085127,-1.888330933817171,-1.9079781437321544,0.01964720991498325,2.476597148614252,2.182787669676701,-2.007383346557617,LR,none,1
21,625,-1.9639735569640606,-1.8898975871786978,-1.9070153889762742,0.01711780179757625,2.7910555666702686,2.2430200610488282,-2.007383346557617,LR,none,1
22,0,-1.8848708425596812,-1.8898975871786978,-1.9070153889762742,0.01711780179757625,1.3707821002261122,1.300100038344115,-1.9639736413955688,LR,none,1
22,20,-1.5915504764907356,-1.7519187968457128,-1.771957732725424,0.02003893587971106,1.466847608611094,1.589263184986001,-1.9639736413955688,LR,none,1
22,300,-1.9812002015809087,-1.9071616566688285,-1.925525651821587,0.018363995152758435,2.4991999251590404,2.010508987001047,-1.9639736413955688,LR,none,1
22,625,-1.8956626848758595,-1.8790075840068952,-1.8974028486538648,0.018395264646969736,2.791424200500421,2.0231858351399827,-1.9639736413955688,LR,none,1
23,0,-1.9673393733404163,-1.8790075840068952,-1.8974028486538648,0.018395264646969736,1.4377010937511279,1.4632230093858303,-1.895662784576416,LR,none,1
23,20,-1.785155042677279,-1.7973837139466604,-1.8178522462965747,0.020468532349914314,1.4929801343972366,1.247074140642213,-1.895662784576416,LR,none,1
23,300,-2.006837455763973,-1.8805869356974434,-1.9021207512077816,0.021533815510338172,2.4323785520598586,1.7494780241990626,-1.895662784576416,LR,none,1
23,625,-1.9582365601474692,-1.8866825614704947,-1.9067743653872247,0.020091803916729985,2.7214032653356686,1.783571226957897,-1.895662784576416,LR,none,1
24,0,-2.016809210561099,-1.8866825614704947,-1.9067743653872247,0.020091803916729985,1.5157096648228208,1.658597474774234,-1.9582366943359375,LR,none,1
24,20,-1.9183312105295247,-1.871798436878259,-1.892881612979351,0.021083176101092248,1.5873363303475976,1.5510422520895923,-1.9582366943359375,LR,none,1
24,300,-2.008510104582703,-1.9400769661408472,-1.96162091427898,0.021543948138132693,2.764432998796307,2.4981850119298095,-1.9582366943359375,LR,none,1
24,625,-2.1088042270039025,-1.9863747151838929,-2.005235172399671,0.018860457215778295,3.085592199263548,2.565844291489311,-1.9582366943359375,LR,none,1
25,0,-2.0846949857157266,-1.9863747151838929,-2.005235172399671,0.018860457215778295,1.5713437428075554,1.9940425478133883,-2.108804225921631,LR,none,1
25,20,-2.001696948276268,-1.9648736980827601,-1.9843304305194254,0.019456732436665333,1.5940273266879725,1.6547154802350243,-2.108804225921631,LR,none,1
25,300,-2.077699982341518,-1.9946559399537853,-2.016369174270925,0.021713234317139722,2.644051082118853,2.2914728829513957,-2.108804225921631,LR,none,1
25,625,-2.0918644240056175,-2.0011226207946775,-2.0215220566929664,0.020399435898289086,2.9047138599542377,2.2098533375958747,-2.108804225921631,LR,none,1
26,0,-1.9305891409316047,-2.0011226207946775,-2.0215220566929664,0.020399435898289086,1.5925033169275356,2.3732753564719182,-2.091864585876465,LR,none,1
26,20,-1.9504032072561148,-2.007979703734474,-2.02741529342051,0.01943558968603611,1.6626063480301505,2.0086043302393124,-2.091864585876465,LR,none,1
26,300,-2.100077471980411,-2.0760488404813215,-2.0958873120103956,0.019838471529074014,2.7803303238750927,3.085023343559367,-2.091864585876465,LR,none,1
26,625,-2.161047970058547,-2.106796617311989,-2.1243190742396796,0.017522456927690656,3.0798982234366803,2.842084206389738,-2.091864585876465,LR,none,1
27,0,-2.3161188012672445,-2.106796617311989,-2.1243190742396796,0.017522456927690656,1.826317547592999,2.615023760645704,-2.1610476970672607,LR,none,1
27,20,-1.9563139930074072,-1.9796019844364727,-2.0002479912716318,0.020646006835158916,1.848217033073635,2.309580283171954,-2.1610476970672607,LR,none,1
27,300,-2.129185085187365,-2.0614398294138567,-2.082685523163954,0.021245693750097418,2.7576065582166422,2.959970825864435,-2.1610476970672607,LR,none,1
27,625,-2.171360610062807,-2.0828177907427237,-2.1017982198928293,0.01898042915010592,3.0767662489814973,2.9307004846093365,-2.1610476970672607,LR,none,1
28,0,-2.052449537702478,-2.0828177907427237,-2.1017982198928293,0.01898042915010592,1.732288794951976,2.4306244838264246,-2.171360731124878,LR,none,1
28,20,-1.8985490828961173,-2.0292713935967366,-2.0499974490262867,0.02072605542954989,1.7983715152435105,2.06115699889566,-2.171360731124878,LR,none,1
28,300,-1.9815394473642942,-2.0793527531978118,-2.1001361093116366,0.020783356113824994,2.861817570103859,2.995927178287737,-2.171360731124878,LR,none,1
28,625,-2.0308176814453107,-2.1093552381142384,-2.1274877157072645,0.018132477593026122,3.1652805796877543,3.2249126659895238,-2.171360731124878,LR,none,1
29,0,-2.129797829592452,-2.1093552381142384,-2.1274877157072645,0.018132477593026122,1.7279593016494843,2.862855467164099,-2.030817747116089,LR,none,1
29,20,-2.077578641707535,-2.0988771303658744,-2.117916402332123,0.019039271966248633,1.89755023971597,2.440826926444572,-2.030817747116089,LR,none,1
29,300,-2.186627088105384,-2.120449861594935,-2.1395894068358405,0.019139545240905137,2.933045517853159,3.29639868506942,-2.030817747116089,LR,none,1
29,625,-2.201843210470163,-2.1236568752465335,-2.1416308277983718,0.01797395255183801,3.2141039515940646,3.388985033871216,-2.030817747116089,LR,none,1
30,0,-2.1591076228847026,-2.1236568752465335,-2.1416308277983718,0.01797395255183801,1.8678911773940556,2.7584613888263725,-2.20184326171875,LR,none,1
30,20,-2.049250095770665,-2.0934149117209344,-2.112411990520228,0.018997078799293375,1.8813047252633417,1.9126459798422473,-2.20184326171875,LR,none,1
30,300,-2.2483814244800002,-2.184309983710106,-2.2000154437558255,0.01570546004571952,2.9566790039017805,2.813786465579177,-2.20184326171875,LR,none,1
30,625,-2.2869195443471444,-2.2131797961573874,-2.22827505054684,0.015095254389452748,3.2973370350003672,2.6872598281822984,-2.20184326171875,LR,none,1
31,0,-2.232034404455549,-2.2131797961573874,-2.22827505054684,0.015095254389452748,1.83347130763891,2.3285518264371463,-2.286919355392456,LR,none,1
31,20,-1.9575286491181645,-2.112985128216329,-2.129927865102305,0.016942736885976046,1.8742185047719584,2.319630583252724,-2.286919355392456,LR,none,1
