arm,iv,seed,task,step,jump,mean,star,since20_mean,since20_star,within,between
LR,none,0,21,20,-0.05477792708066609,0.0970054343717015,0.03998459643311114,0.0,0.0,0.9868032524828321,0.7456524047681264
LR,none,0,21,300,-0.05477792708066609,-0.047003124548048,-0.03619370491295659,-0.1440085589197495,-0.07617830134606773,1.6608516080196325,1.1921562548964808
LR,none,0,21,625,-0.05477792708066609,-0.06968733448095854,-0.05145626515521373,-0.16669276885266004,-0.09144086158832487,1.8268968827910534,1.1123181069884627
LR,none,0,22,20,-0.0999182563645904,0.2755561294044657,0.08519657568635441,0.0,0.0,0.9847976311953008,0.8871166632983479
LR,none,0,22,300,-0.0999182563645904,0.06344736284450403,0.016992302713958685,-0.2121087665599617,-0.06820427297239573,1.6936048565733413,1.2582448596886888
LR,none,0,22,625,-0.0999182563645904,0.02927380651315814,-0.025400360145039214,-0.24628232289130758,-0.11059693583139363,1.905329217763378,1.3678259526671823
LR,none,0,23,20,-0.03970181140199114,0.1637680394294323,0.04221917908341055,0.0,0.0,1.03944857456761,0.9782495029228043
LR,none,0,23,300,-0.03970181140199114,0.1055452842819884,0.041845747446795034,-0.058222755147443905,-0.0003734316366155177,1.6007061942959047,1.1333090178357417
LR,none,0,23,625,-0.03970181140199114,0.03857308436753204,-0.0036350282415116286,-0.12519495506190026,-0.04585420732492218,1.7766895987728177,1.2043136931313052
LR,none,0,24,20,0.12917126456950268,0.053714585090451905,0.02515589631979953,0.0,0.0,0.9587481468614113,0.6261815280598236
LR,none,0,24,300,0.12917126456950268,-0.06232336153826212,0.006902929539269298,-0.11603794662871403,-0.018252966780530233,1.6485111080846109,0.9222301361000512
LR,none,0,24,625,0.12917126456950268,-0.13372658504746227,-0.029065516619399157,-0.18744117013791417,-0.05422141293919869,1.8370932178602375,0.924200057218826
LR,none,0,25,20,0.09343402380891352,0.06268569797522128,0.028388015222381657,0.0,0.0,1.0131723660108625,0.9034994449249591
LR,none,0,25,300,0.09343402380891352,-0.14759618898767712,-0.027989324113695924,-0.2102818869628984,-0.05637733933607758,1.6646039255508962,1.3444866331811858
LR,none,0,25,625,0.09343402380891352,-0.17507589186905959,-0.04939942907922812,-0.23776158984428086,-0.07778744430160978,1.851642371093289,1.4323132267705379
LR,none,0,26,20,0.24896582732024575,-0.11473338389797916,-0.0391347938899016,0.0,0.0,1.0838447725911438,1.0520542781986586
LR,none,0,26,300,0.24896582732024575,-0.0978381001967048,-0.009999627235210307,0.016895283701274355,0.02913516665469129,1.705635937611785,1.4292426092830606
LR,none,0,26,625,0.24896582732024575,-0.26431317658107645,-0.08052574932046563,-0.1495797926830973,-0.041390955430564036,1.885769832238347,1.433134773693939
LR,none,0,27,20,-0.08804501195549808,0.17774218446807044,0.06005400033936659,0.0,0.0,1.019653038528626,1.0802380597746595
LR,none,0,27,300,-0.08804501195549808,0.05340753463691561,0.0061771096354434896,-0.12433464983115483,-0.0538768907039231,1.6493643627598005,1.7293071615163575
LR,none,0,27,625,-0.08804501195549808,0.10010690113460585,0.027867269439781683,-0.07763528333346459,-0.0321867308995849,1.817552098732147,1.7172904784663816
LR,none,0,28,20,-0.09946578396751482,0.1688892599740619,0.04779999114215894,0.0,0.0,0.9818450669746588,0.7993814529110249
LR,none,0,28,300,-0.09946578396751482,-0.06115701549222541,-0.057735657279986974,-0.2300462754662873,-0.10553564842214591,1.6489727500152296,1.1362066069759116
LR,none,0,28,625,-0.09946578396751482,-0.10769878636601904,-0.08780384711170086,-0.27658804634008094,-0.1356038382538598,1.8467047488884702,1.2075723894271075
LR,none,0,29,20,0.08758573715556262,0.205336511723627,0.06329400928270434,0.0,0.0,1.0280399147856198,0.8445604575754442
LR,none,0,29,300,0.08758573715556262,0.02861307353101905,-0.002331245665256887,-0.17672343819260794,-0.06562525494796123,1.5873532190104749,1.2303102628076534
LR,none,0,29,625,0.08758573715556262,-0.005108149143982832,-0.03938136996782848,-0.21044466086760982,-0.10267537925053283,1.7422247412069682,1.409782412815038
LR,none,0,30,20,0.12860997346784409,-0.13547397102353997,-0.06518277580500165,0.0,0.0,1.056472832078388,0.853298478675602
LR,none,0,30,300,0.12860997346784409,-0.42616856001450953,-0.17245428707278654,-0.29069458899096956,-0.10727151126778489,1.7145605082040867,1.3542771174874764
LR,none,0,30,625,0.12860997346784409,-0.3183313884653427,-0.15825114819262165,-0.18285741744180273,-0.09306837238762,1.86046715855411,1.3652880620258867
LR,none,0,31,20,-0.02280247352945608,0.24465523783101606,0.09023458740787316,0.0,0.0,0.9420583139957232,0.6976338176410187
LR,none,0,31,300,-0.02280247352945608,0.24761009236991027,0.10138047677534878,0.002954854538894214,0.011145889367475625,1.3324406469643606,0.8043717846192999
LR,none,0,31,625,-0.02280247352945608,0.15923556430124242,0.06036064772149663,-0.08541967352977364,-0.029873939686376527,1.5086188151280018,0.8449610010854903
LR,none,0,32,20,0.14324974491919917,-0.1351042254028938,-0.05556550893147749,0.0,0.0,1.0463992859514195,0.7681042317776398
LR,none,0,32,300,0.14324974491919917,-0.31114846087766557,-0.10463031297928138,-0.17604423547477177,-0.04906480404780389,1.6018777046373525,1.2833486235739138
LR,none,0,32,625,0.14324974491919917,-0.41818964886615007,-0.15357173165716054,-0.28308542346325627,-0.09800622272568305,1.7570584129971911,1.4062304735373066
LR,none,0,33,20,0.29016558615471943,0.12504548571228158,0.034420811281401065,0.0,0.0,1.0191646845450846,0.7490886834771446
LR,none,0,33,300,0.29016558615471943,-0.07679399135215803,-0.02700108609980134,-0.2018394770644396,-0.061421897381202406,1.5678401023411657,1.5092833817984568
LR,none,0,33,625,0.29016558615471943,-0.12318745619643012,-0.05426238091827873,-0.2482329419087117,-0.0886831921996798,1.7220427538904013,1.6950388015885358
LR,none,0,34,20,-0.13790970383110546,0.0587907456885981,0.023785503525972196,0.0,0.0,1.0108704536468156,0.8650732815544158
LR,none,0,34,300,-0.13790970383110546,0.05725793575836802,0.03130588190943717,-0.0015328099302300835,0.007520378383464976,1.4889789505780278,1.2968676587779635
