task,step,mean,star,star_W,bias,within,between,pre_switch_mean,arm,iv,seed
21,0,-0.7772028822070581,-0.8075525176473061,-0.8222428450416522,0.014690327394346241,0.763998931961333,0.9998611284040011,-0.8347309827804565,SNA,none,1
21,20,-0.9214533705554432,-0.8604562241341234,-0.875210884845747,0.014754660711623728,0.8694661844649173,0.9757863750339473,-0.8347309827804565,SNA,none,1
21,300,-0.8216472432098338,-0.8249471312316327,-0.8400744258318754,0.015127294600242749,1.365160528858073,0.8027429606577704,-0.8347309827804565,SNA,none,1
21,625,-0.762138896769452,-0.817731427544845,-0.8312860690561362,0.013554641511291265,1.554933306993074,0.9240699995353525,-0.8347309827804565,SNA,none,1
22,0,-0.7669741901193433,-0.817731427544845,-0.8312860690561362,0.013554641511291265,0.760552161288653,0.9657105794933629,-0.7621389627456665,SNA,none,1
22,20,-0.7552364616390657,-0.8140737315488278,-0.8284495125303273,0.014375780981499702,0.8958677122268797,1.1729174815010175,-0.7621389627456665,SNA,none,1
22,300,-0.7274264695443574,-0.8136647447865637,-0.828399040788989,0.014734296002425254,1.3408971064353858,1.0516306574461225,-0.7621389627456665,SNA,none,1
22,625,-0.7122139081349288,-0.8225387544978249,-0.8368007508504043,0.014261996352579444,1.523348405083898,1.0028339795322807,-0.7621389627456665,SNA,none,1
23,0,-0.8089430693167372,-0.8225387544978249,-0.8368007508504043,0.014261996352579444,0.7845701482919875,1.068685512523434,-0.7122139930725098,SNA,none,1
23,20,-0.7912436673116656,-0.8111897901170217,-0.8259996638427751,0.014809873725753278,0.8790165170384359,1.169382866981696,-0.7122139930725098,SNA,none,1
23,300,-0.744834678297917,-0.7950315177753644,-0.8108743933493814,0.015842875574016944,1.3962533671114599,1.3165207702826505,-0.7122139930725098,SNA,none,1
23,625,-0.7607700295410055,-0.8020453755292257,-0.8180651956345102,0.016019820105284452,1.5977699600821194,1.3787257750530977,-0.7122139930725098,SNA,none,1
24,0,-0.9183348451913241,-0.8020453755292257,-0.8180651956345102,0.016019820105284452,0.8545029022128994,1.23238171478188,-0.7607699632644653,SNA,none,1
24,20,-1.0862616926631241,-0.8710479566631228,-0.8867221965700709,0.01567423990694806,0.9946170571191933,1.2471298847540875,-0.7607699632644653,SNA,none,1
24,300,-0.8261145575142075,-0.7669941191398156,-0.7849575842858375,0.017963465146021918,1.5203260066372364,1.397336295737986,-0.7607699632644653,SNA,none,1
24,625,-0.9118860578977057,-0.8000374176179562,-0.8167589366570851,0.016721519039128906,1.72635632393572,1.4805605472217105,-0.7607699632644653,SNA,none,1
25,0,-0.8228587452335767,-0.8000374176179562,-0.8167589366570851,0.016721519039128906,0.9000227223104115,1.5321170191453843,-0.9118859767913818,SNA,none,1
25,20,-0.9943854254026678,-0.8614313685440506,-0.8774151223444427,0.01598375380039215,1.003888738800994,1.549802973763896,-0.9118859767913818,SNA,none,1
25,300,-0.8037430584401877,-0.7947935558599302,-0.813253234989813,0.018459679129882715,1.5278968752411664,1.3091240353751459,-0.9118859767913818,SNA,none,1
25,625,-0.7743301210122325,-0.7960844823873475,-0.814711010839498,0.018626528452150525,1.7022246826572314,1.4232896787289437,-0.9118859767913818,SNA,none,1
26,0,-0.7633111465728649,-0.7960844823873475,-0.814711010839498,0.018626528452150525,0.8782509353422845,1.1891213483966856,-0.7743300795555115,SNA,none,1
26,20,-0.9103042989970376,-0.8569185692655161,-0.8748188964045844,0.017900327139068396,1.033167722056467,1.361331552472711,-0.7743300795555115,SNA,none,1
26,300,-0.9160710494476223,-0.8569167998227314,-0.8751611787166005,0.018244378893868998,1.5708147452985306,1.1647793565695863,-0.7743300795555115,SNA,none,1
26,625,-0.9324439126918872,-0.880490380745234,-0.8977940903926194,0.017303709647385403,1.7711068735958484,1.182377958394036,-0.7743300795555115,SNA,none,1
27,0,-1.055812346887682,-0.880490380745234,-0.8977940903926194,0.017303709647385403,0.9603871607508441,1.4211351100269605,-0.9324439167976379,SNA,none,1
27,20,-0.9869596991219598,-0.8626532686128595,-0.880629305293198,0.01797603668033844,1.0429756810941913,1.385141297813724,-0.9324439167976379,SNA,none,1
