task,step,mean,star,star_W,bias,within,between,pre_switch_mean,arm,iv,seed
21,0,-0.13923309799965003,-0.15171483399963337,-0.1877529958270884,0.03603816182745504,0.10515081564985286,0.22158571413617278,-0.28489479422569275,LR,l2,1
21,20,-0.3686430617063887,-0.2225476996910175,-0.2575177720021339,0.03497007231111638,0.24374318913450024,0.4430885580885835,-0.28489479422569275,LR,l2,1
21,300,-0.24888227721036274,-0.17415838457339228,-0.21160063706150062,0.037442252488108355,0.716518641195723,0.6085914109825629,-0.28489479422569275,LR,l2,1
21,625,-0.20847597626089204,-0.14102796828762837,-0.1774107009350995,0.03638273264747113,0.810447543638828,0.47042505617244645,-0.28489479422569275,LR,l2,1
22,0,-0.17049189952807972,-0.14102796828762837,-0.1774107009350995,0.03638273264747113,0.10157249519778132,0.2468210255364655,-0.2084759771823883,LR,l2,1
22,20,-0.24887628075878396,-0.15638323015512373,-0.19249290817570813,0.036109678020584395,0.2583807267829323,0.40805792269306773,-0.2084759771823883,LR,l2,1
22,300,-0.21114765902297378,-0.15084798589646478,-0.18877755988701486,0.03792957399055012,0.6921340179942908,0.5863789809938945,-0.2084759771823883,LR,l2,1
22,625,-0.18303231912919493,-0.1296272318709861,-0.16688359988664614,0.03725636801565997,0.821424549547521,0.48237687053529127,-0.2084759771823883,LR,l2,1
23,0,-0.14292154252792313,-0.1296272318709861,-0.16688359988664614,0.03725636801565997,0.10874471768732284,0.33012079782401166,-0.1830323189496994,LR,l2,1
23,20,-0.3444720759738767,-0.20430130417885892,-0.23981123956463932,0.03550993538578041,0.2251794424137137,0.3504982065319554,-0.1830323189496994,LR,l2,1
23,300,-0.2657859152360517,-0.15431537675529808,-0.192553010583983,0.03823763382868492,0.7188486967610452,0.5410798393066827,-0.1830323189496994,LR,l2,1
23,625,-0.175750644304945,-0.09247936005183657,-0.1311815935583196,0.038702233506483025,0.8058297181170255,0.469255632053849,-0.1830323189496994,LR,l2,1
24,0,-0.13347064582477194,-0.09247936005183657,-0.1311815935583196,0.038702233506483025,0.10452595236741068,0.2181322957361499,-0.17575064301490784,LR,l2,1
24,20,-0.35726689280171187,-0.1540124474800761,-0.19145090814070875,0.0374384606606327,0.2603148500850853,0.42442055637958065,-0.17575064301490784,LR,l2,1
24,300,-0.29655742906608784,-0.13039833192503497,-0.16981922806845468,0.03942089614341967,0.7601924643203704,0.5664687813782995,-0.17575064301490784,LR,l2,1
24,625,-0.26206657519884535,-0.09461836423484188,-0.13385956615783784,0.03924120192299597,0.8690682601778468,0.5394442406938147,-0.17575064301490784,LR,l2,1
25,0,-0.06532166282699187,-0.09461836423484188,-0.13385956615783784,0.03924120192299597,0.10484706965909052,0.3377399311963063,-0.2620666027069092,LR,l2,1
25,20,-0.34342726943261637,-0.19435541370524922,-0.2323502306538798,0.03799481694863061,0.24531139715817615,0.41898819193224873,-0.2620666027069092,LR,l2,1
25,300,-0.2375372377857964,-0.1670037435647142,-0.2083905659211492,0.041386822356435,0.7359184154631484,0.6269578404366746,-0.2620666027069092,LR,l2,1
25,625,-0.17452462639539426,-0.11786394244964167,-0.1583401140637782,0.040476171614136545,0.8130469190242828,0.48225868327859567,-0.2620666027069092,LR,l2,1
26,0,-0.11364310829754207,-0.11786394244964167,-0.1583401140637782,0.040476171614136545,0.11182189191042229,0.30198662729368764,-0.17452463507652283,LR,l2,1
