arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_c1,zeroout_c1,zbar_c1,zsd_c1,zbar_min_c1,mob_c1,mob_pool_c1,eff_rank_c1,dead_frac_c2,zeroout_c2,zbar_c2,zsd_c2,zbar_min_c2,mob_c2,mob_pool_c2,eff_rank_c2,dead_frac_f1,zeroout_f1,zbar_f1,zsd_f1,zbar_min_f1,mob_f1,eff_rank_f1,dead_frac_f2,zeroout_f2,zbar_f2,zsd_f2,zbar_min_f2,mob_f2,eff_rank_f2,w_norm_c1,w_norm_c2,w_norm_f1,w_norm_f2,w_norm_f3
SW3,4,0.001,26,none,0.11885625,0.1191666722,0.1191666722,0,0,-6.728351593,4.012641907,-29.17637444,0.02478769049,0.04724060744,3.579101205,0.375,0,-98.65413666,39.27254868,-185.2160187,-1.802565562e-11,-1.133853887e-22,1.008153589,0.6100000143,0,-31.88303185,11.98566055,-72.65934753,-4.200290388e-18,1.20295575,1,0.6299999952,-130.116806,48.49490738,-251.0288544,0,1.002051797,5.391521454,7.170125008,8.899517059,7.096138477,79.00411224
SW3,4,0.001,27,none,0.1080770833,0.1083333343,0.1083333343,0,0,-6.728357315,4.012641907,-29.17637444,0.02478745207,0.04724039137,3.578962778,0.375,0,-98.65331268,39.27237701,-185.2366333,-1.805611563e-11,-1.137069915e-22,1.008166669,0.6100000143,0,-31.86152077,11.98052502,-72.61044312,-4.476249835e-18,1.202526726,1,0.6299999952,-129.7052002,48.35292053,-251.0028687,0,1.002286124,5.391555309,7.170125008,8.899517059,7.096138477,79.00411224
SW3,4,0.001,28,none,0.1132125,0.1150000021,0.1150000021,0,0,-6.727694511,4.012615681,-29.17637444,0.02480654605,0.04727275297,3.580150455,0.375,0,-98.68247986,39.27847672,-184.9741821,-1.768048728e-11,-1.08278909e-22,1.008045514,0.6100000143,0,-32.1664772,12.04725361,-73.3037796,-1.256694146e-18,1.206738502,1,0.6699999571,-131.5043793,48.74692535,-253.5042725,0,1.00195811,5.390953541,7.170125008,8.899517059,7.096138477,79.00411224
SW3,4,0.001,29,none,0.11303125,0.1141666695,0.1141666695,0,0,-7.446089268,4.244845867,-29.16722488,0.01569354534,0.03056718595,3.612979872,0.3125,0,-94.62942505,38.28220749,-186.2302399,-8.711059651e-11,-9.030831175e-22,1.036180638,0,0,-30.16039085,11.86404037,-66.19568634,-7.859202924e-06,1.181384677,0.3199999928,0,-120.1845322,48.3861618,-228.9890747,-1.084409806e-08,1.000687107,5.461472511,7.170125008,8.888641357,7.096138477,79.0619278
SW3,4,0.001,30,none,0.1117520833,0.1116666719,0.1116666719,0,0,-8.284153938,4.58085537,-30.61107826,0.03504815325,0.06273818016,3.46035068,0.5,0,-122.3862305,49.41839981,-220.4879761,-5.913477173e-12,-2.167859345e-23,1.000482821,0.6800000072,0.05999999866,-51.21541977,17.108675,-114.0434265,-4.359876574e-31,1.350506531,1,0.8299999833,-197.2522888,66.73600006,-387.6236572,0,1.014019749,5.438138008,7.170125008,8.899665833,7.096136093,79.26125336
SW3,4,0.001,31,none,0.1114166667,0.1116666719,0.1116666719,0,0,-8.288256645,4.578698158,-30.61038399,0.03509355709,0.06282306463,3.437866535,0.5,0,-125.8886337,50.91117859,-226.6448517,-3.92495975e-12,-8.638364545e-24,1.000403329,0.6699999571,0.09999999404,-57.64670563,19.07172775,-128.2809448,-3.311772122e-34,1.422142459,1,0.8499999642,-229.997345,75.64849091,-436.4290771,0,1.689730028,5.4381423,7.170125008,8.899665833,7.096136093,79.26148224
SW3,4,0.001,32,none,0.101225,0.1066666692,0.1066666692,0,0,-8.552994728,4.920490742,-31.23134804,0.0157586541,0.02932302281,3.238185943,0.5625,0,-126.4588852,50.65740585,-235.7492523,-2.953964764e-12,-3.696375897e-25,1.000422233,0.6100000143,0,-49.06650162,17.00493813,-115.4294815,-1.791538709e-21,1.159155732,0.9799999595,0.6100000143,-190.2474518,62.02814484,-366.7402344,0,1.007182728,5.572513103,7.170125008,8.900437355,7.09613657,79.15155792
SW3,4,0.001,33,none,0.11060625,0.1116666719,0.1116666719,0,0,-7.404932499,4.656365395,-30.51471519,0.03032002226,0.05435007066,3.334679831,0.5,0,-121.944458,49.8403244,-231.4321442,-1.758713401e-12,-7.727100259e-26,1.000235292,0,0,-57.31648636,19.60144615,-128.5701752,-6.798487902e-06,1.206539817,0.4599999785,0,-211.0045776,70.48996735,-405.2950439,-8.781420036e-10,1.00000017,5.652852058,7.170125008,8.905049324,7.078619003,79.33069611
SW3,4,0.001,34,none,0.109925,0.1116666719,0.1116666719,0,0,-7.263728142,4.688762188,-29.68226624,0.02816808224,0.05104461685,3.222478816,0.4375,0,-115.5160599,47.21034622,-228.8114624,-1.407539016e-11,-2.143188943e-24,1.000615465,0.009999999776,0,-47.63926697,15.91378975,-105.9436646,-5.428858913e-06,1.05217151,0.8100000024,0,-163.3854523,55.33656693,-319.5688782,-1.466647359e-10,1.000000028,5.716015816,7.170125008,8.897315979,7.096136093,81.18424225
SW3,4,0.001,35,none,0.1223,0.1225000024,0.1225000024,0,0,-7.266002655,4.695847034,-29.68226624,0.02817046642,0.05104761943,3.219873517,0.4375,0,-115.7053909,47.28979111,-228.79216,-1.402404408e-11,-1.726160386e-24,1.000606473,0,0,-48.23843384,16.07437515,-107.1947021,-3.691449592e-06,1.057012598,0.8700000048,0,-166.9874573,56.29638672,-324.3258972,-1.021216653e-10,1.000000354,5.715865135,7.170125008,8.897315979,7.180824757,83.61975098
SW3,4,0.001,36,none,0.1088,0.1150000021,0.1150000021,0,0,-7.167644978,5.224146366,-28.02181625,0.05629063398,0.100595139,3.558841322,0.5625,0,-125.4509125,47.4056282,-280.8122864,-1.179909984e-13,-1.969212963e-30,1.000817907,0,0,-22.23785019,9.662934303,-50.10135651,-1.842965503e-05,1.20784258,0.6100000143,0,-70.04747772,29.8542881,-151.6777191,-8.022753573e-10,5.004979875,5.726052761,7.170124531,8.913765907,7.363127232,90.60717773
SW3,4,0.001,37,none,0.11533125,0.1200000048,0.1200000048,0,0,-8.323171616,5.097660542,-28.63211632,0.03720553964,0.07219080627,3.986968008,0.3125,0,-118.3626328,45.35343933,-245.9631042,-1.23249284e-11,-1.285903673e-26,1.030912286,0,0,-34.23497009,14.67165756,-78.83833313,-1.704895112e-06,1.119954463,0.5399999619,0,-113.6978302,48.32244492,-241.8649597,-5.840020134e-10,4.775206785,5.922931194,7.169556141,8.97136116,7.25061512,89.66114044
