arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,alpha_med_l1,alpha_min_l1,alpha_max_l1,alpha_clip_frac_l1,two_alpha_W_med_l1,alpha_med_l2,alpha_min_l2,alpha_max_l2,alpha_clip_frac_l2,two_alpha_W_med_l2,hit99,hit999,acc_at_hit_plus_500,min_correct_after_hit
SNA,std,0,0,0.001,1,none,0.9797916667,1,1,0,0,-1.233578324,13.37879658,-9.163042068,0.9350084662,73.70555005,0,0,-6.239540577,14.27409077,-18.28266525,0.7335019112,72.91029541,3.141204834,0.7943959832,0.6314669847,0.04620350152,0.0167553667,0.07903783023,0,1.200000048,0.04291605577,0.01845525019,0.07523276657,0,1.200000048,1700,1800,1200,499
SNA,std,0,0,0.001,2,none,0.9853458333,1,1,0,0,-1.401861906,17.77093506,-7.765843868,0.9460231662,78.00162852,0,0,-14.90862656,20.80880547,-37.72914886,0.6329327226,80.05519203,4.579780102,0.9331662655,0.6266612411,0.03478838876,0.01913057081,0.05679319799,0,1.200000048,0.02959025092,0.01750486717,0.0491466634,0,1.200000048,1100,1300,1200,407
SNA,std,0,0,0.001,3,none,0.9905125,1,1,0,0,-1.949829578,17.99474144,-7.607998848,0.9290946722,79.86319754,0,0,-14.54397202,21.46712875,-33.48284531,0.6544330716,81.081477,5.297365189,0.9856440425,0.5424982309,0.03432838246,0.02080600709,0.04817664996,0,1.200000048,0.02878970839,0.01737566851,0.04787401482,0,1.200000048,700,700,1200,838
SNA,std,0,0,0.001,4,none,0.9909208333,1,1,0,0,-2.501141071,18.88705635,-8.440942764,0.917162478,81.88102204,0,0,-15.58362007,23.207304,-37.21082687,0.6573770046,82.69839164,6.04281044,1.045097232,0.5522654653,0.03277210891,0.02053683624,0.04329203814,0,1.200000048,0.0266074203,0.01723463461,0.04235045984,0,1.200000048,600,800,1200,715
SNA,std,0,0,0.001,5,none,0.9923708333,1,1,0,0,-2.94285655,18.74141693,-8.133710861,0.8999496698,82.93864937,0,0,-14.71775723,22.82771683,-24.97245598,0.6583818793,82.91228011,6.573424816,1.040429235,0.5243961811,0.03289384395,0.02128648385,0.04287568852,0,1.200000048,0.02707547694,0.01832604595,0.04179781303,0,1.200000048,500,600,1200,626
SNA,std,0,0,0.001,6,none,0.9921875,1,1,0,0,-2.898752928,19.62701225,-8.432044029,0.8962626457,84.24581846,0,0,-14.68616104,23.14454079,-34.3897438,0.6891804934,83.57951036,7.034815311,1.067563534,0.522108674,0.03129630536,0.020859221,0.04377076402,0,1.200000048,0.0267715361,0.01492541283,0.04338534176,0,1.200000048,500,500,1200,531
SNA,std,0,0,0.001,7,none,0.9936479167,1,1,0,0,-3.478491306,19.91775894,-7.636167049,0.8880646229,83.79431982,0,0,-15.75333214,23.01566124,-29.35174179,0.6538038254,82.45652067,7.427492619,1.043881297,0.4976196289,0.03087421693,0.01845806465,0.04420874268,0,1.200000048,0.02680537477,0.0134566715,0.05342813954,0,1.200000048,400,400,1200,585
SNA,std,0,0,0.001,8,none,0.9933291667,1,1,0,0,-3.441020966,19.76447868,-9.684780121,0.8848028779,85.57730779,0,0,-13.1234827,22.41367149,-28.67831802,0.6758103371,83.88630096,7.873790741,1.047290564,0.5124299526,0.03143709898,0.01867197827,0.0394873172,0,1.200000048,0.02749408782,0.01802433655,0.04921033606,0,1.200000048,400,500,1200,695
SNA,std,0,0,0.001,9,none,0.9940479167,1,1,0,0,-3.845886707,20.24139786,-10.3922596,0.8708537221,85.30360508,0,0,-14.06107426,22.58927727,-26.9265995,0.6683461666,82.85935063,8.264323235,1.029991031,0.4790109396,0.03054529056,0.0210057348,0.03870413825,0,1.200000048,0.02731439471,0.01682272553,0.04851472005,0,1.200000048,400,500,1200,803
SNA,std,0,0,0.001,10,none,0.9942729167,1,1,0,0,-3.705315113,20.25669479,-10.55111694,0.8752645254,86.10169381,0,0,-14.0956707,21.65299606,-25.00455093,0.6778656244,83.79157277,8.604477882,1.04169631,0.5118047595,0.03041697107,0.02330651134,0.04083838314,0,1.200000048,0.0286037717,0.0168901477,0.04654286802,0,1.200000048,300,400,1200,894
