arm,seed,layer,hits,status
cap1,0,1,32585735,ENGAGED
cap1,1,1,29500664,ENGAGED
cap1,2,1,32254815,ENGAGED
cap1,3,1,29933686,ENGAGED
cap1,4,1,31616667,ENGAGED
cap1,5,1,29242279,ENGAGED
cap1,6,1,30496571,ENGAGED
cap1,7,1,27954407,ENGAGED
cap1,8,1,29048915,ENGAGED
cap1,9,1,29483147,ENGAGED
cap2,0,2,47594782,ENGAGED
cap2,1,2,7031805,ENGAGED
cap2,2,2,28160281,ENGAGED
cap2,3,2,28995173,ENGAGED
cap2,4,2,26104230,ENGAGED
cap2,5,2,47450164,ENGAGED
cap2,6,2,49258852,ENGAGED
cap2,7,2,43179669,ENGAGED
cap2,8,2,43045391,ENGAGED
cap2,9,2,48327108,ENGAGED
cap12,0,1,52478361,ENGAGED
cap12,0,2,65962698,ENGAGED
cap12,1,1,48799583,ENGAGED
cap12,1,2,61980323,ENGAGED
cap12,2,1,55843005,ENGAGED
cap12,2,2,68704504,ENGAGED
cap12,3,1,53542336,ENGAGED
cap12,3,2,64424122,ENGAGED
cap12,4,1,53056486,ENGAGED
cap12,4,2,65780972,ENGAGED
cap12,5,1,49837800,ENGAGED
cap12,5,2,63476634,ENGAGED
cap12,6,1,56910590,ENGAGED
cap12,6,2,70265188,ENGAGED
cap12,7,1,51738149,ENGAGED
cap12,7,2,64264810,ENGAGED
cap12,8,1,50036673,ENGAGED
cap12,8,2,64280807,ENGAGED
cap12,9,1,49511742,ENGAGED
cap12,9,2,63086102,ENGAGED
cap12_bfix,0,1,56380645,ENGAGED
cap12_bfix,0,2,55239481,ENGAGED
cap12_bfix,1,1,52317726,ENGAGED
cap12_bfix,1,2,52415238,ENGAGED
cap12_bfix,2,1,56715016,ENGAGED
cap12_bfix,2,2,56664413,ENGAGED
cap12_bfix,3,1,56865197,ENGAGED
cap12_bfix,3,2,55361188,ENGAGED
cap12_bfix,4,1,59824238,ENGAGED
cap12_bfix,4,2,59854474,ENGAGED
cap12_bfix,5,1,56163299,ENGAGED
cap12_bfix,5,2,56123541,ENGAGED
cap12_bfix,6,1,58444108,ENGAGED
cap12_bfix,6,2,56703184,ENGAGED
cap12_bfix,7,1,57159910,ENGAGED
cap12_bfix,7,2,55820997,ENGAGED
cap12_bfix,8,1,54111413,ENGAGED
cap12_bfix,8,2,53787661,ENGAGED
cap12_bfix,9,1,53032275,ENGAGED
cap12_bfix,9,2,53238626,ENGAGED
