arm,layer,hits,removed,violations,bfix_removed,bfix_hits,bfix_errors,max_ratio,max_excess,tier
ref,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OPERATION_CHECK
ref,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OPERATION_CHECK
cap1,1,302116886.0,385976.0337310327,0.0,0.0,0.0,0.0,1.0000001651594608,6.711209534771001e-07,OPERATION_CHECK
cap1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OPERATION_CHECK
cap2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OPERATION_CHECK
cap2,2,369147455.0,24637.86137539194,0.0,0.0,0.0,0.0,1.0000001737720252,1.796939121945229e-07,OPERATION_CHECK
cap12,1,521754725.0,467837.15796939057,0.0,0.0,0.0,0.0,1.0000001714011313,7.067007832262107e-07,OPERATION_CHECK
cap12,2,652226160.0,59520.97538165831,0.0,0.0,0.0,0.0,1.0000001767731237,1.7971233945424103e-07,OPERATION_CHECK
cap12_bfix,1,561013827.0,527113.0997388323,0.0,185397.0111668683,1469744191.0,0.0,1.0000001716060367,6.899380924352272e-07,OPERATION_CHECK
cap12_bfix,2,555208803.0,61283.96823858652,0.0,116537.84469838307,1465054239.0,0.0,1.0000001783083892,1.846241679537286e-07,OPERATION_CHECK
