seed,task,update,G1,Q1,Q_count1,pair_count1,neff_zero_units1,zero_count1,zero1,dead_unit1,neff1,neff_fraction1,zmean1,zsd1,diag_gdiff1,Wnorm1,bias1,G2,Q2,Q_count2,pair_count2,neff_zero_units2,zero_count2,zero2,dead_unit2,neff2,neff_fraction2,zmean2,zsd2,diag_gdiff2,Wnorm2,bias2,mu2_norm,memo_acc,memo_ce,online_acc,online_ce,major_frac,label_hash,order_hash,finite,arm,hits_l1,removed_l1,max_ratio_l1,max_excess_l1,violations_l1,bfix_removed_l1,bfix_hits_l1,bfix_errors_l1,hits_l2,removed_l2,max_ratio_l2,max_excess_l2,violations_l2,bfix_removed_l2,bfix_hits_l2,bfix_errors_l2
0,1,30000,0.4780855590502191,0.2225,26700,120000,0,0,0.0,0.0,590.690919760379,0.4922424331336492,-2.007487221956312,16.831030640519916,0.0,3.650591957490941,-0.08101118516060524,0.34215947619112885,0.26631666666666665,31958,120000,0,10,8.333333333333334e-05,0.0,432.4981201578434,0.3604151001315362,-7.155478249936728,12.778447943373058,0.0,1.0095413383148826,0.02071558649535291,52.486653037604576,1.0,0.00013493825099430978,0.9831666666666666,0.06617907307942708,0.11416666666666667,f5669b7778426eb298f6139e9a09513ba8f99024e2061c8b9dfbe1507c9346ce,623bdf3efda2b2155d82d4ab9e7797b5219bfed0658a93ccfe56223769192f2c,True,ref,,,,,,,,,,,,,,,,
0,2,30000,0.4521803732507934,0.43821666666666664,52586,120000,0,4868,0.04056666666666667,0.0,547.7308480137008,0.4564423733447507,-6.337265727331644,53.316830685552695,0.0,9.78613507288899,-0.30822782712057234,0.061801517889534446,0.9065416666666667,108785,120000,0,52424,0.4368666666666667,0.0,75.4083319444621,0.06284027662038509,-109.26537295981656,86.51279417901752,0.0,1.8112097217651686,-0.018322419008472934,182.45962023451295,0.9941666722297668,0.018265215680003166,0.9093479166666667,0.27059345703125,0.11083333333333334,e98762ef86c2d1e1a59037b05501eba70a2a6e5e8cd4127a538b60c2d08bd8fe,08035669d8840c04586be611d67dcbd1e11f0f35cf71f2b5a6f27c6eadeee7dd,True,ref,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,30000,0.44841871747300466,0.47920833333333335,57505,120000,0,14496,0.1208,0.0,541.5936593418704,0.4513280494515587,-10.465189551784224,82.40426527448003,0.0,12.999892697331743,-0.2927851351210848,0.02054430927184417,0.9715833333333334,116590,120000,0,94027,0.7835583333333334,0.0,25.15172025290417,0.02095976687742014,-236.79028366290288,160.9933501435916,0.0,2.151574225243044,-0.07415096780052409,293.39835132248805,0.6308333277702332,0.9063899517059326,0.4461541666666667,1.4164063802083333,0.1175,2e277542a7953c832bdf0f5c380e780c06b721032d999c42fe00abe912095d4e,8117a83593486c2bcf6a8ab1186b2aee172457b3ff4383302454178832628bfb,True,ref,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,30000,0.4618459604621959,0.487175,58461,120000,0,23566,0.19638333333333335,0.0,556.5738271980417,0.4638115226650348,-10.87277941952053,122.73614242446945,0.0,14.875885690465719,-0.2187251468608156,0.0025198471197892384,0.9970583333333334,119647,120000,0,115855,0.9654583333333334,0.0,3.6067737739082317,0.0030056448115901935,-429.9904666207214,245.7394789154094,0.0,2.191300494562585,-0.1524806086800527,493.48737400731517,0.22750000655651093,1.967191219329834,0.1805125,2.108951953125,0.11333333333333333,811091e30086469ee7e8afc79d34b858ebb2e7494e0f4be8a01838e2866db3cc,d6decd37b53717d7fb9c361ce0969c539aefcca9f014b7c5d3f25bbfd96f7dd2,True,ref,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5,30000,0.4633266697770774,0.4938,59256,120000,0,27823,0.23185833333333333,0.0,557.9810307206653,0.46498419226722115,-11.094458681863982,144.89643498902998,0.0,15.714178728959356,-0.18471086888108404,0.00041671723790074705,0.9995416666666667,119945,120000,2,118672,0.9889333333333333,0.02,1.2949947430782414,0.0010791622858985345,-540.3135157705069,290.2412298397892,0.0,2.1753854117381666,-0.18642751268082067,608.467578648798,0.1458333432674408,2.2305171489715576,0.1223875,2.27231640625,0.12,affd1c5c77aad7ee176f061cc1ca7ee867f70356b0ee464fba2df519be40e5cf,c337502009b40fd08cbb2fdb99a6b83ad9907b0577d79532b610ece6fcb8ba0a,True,ref,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,6,30000,0.4615605115873412,0.497725,59727,120000,0,30048,0.2504,0.0,555.7490685880822,0.46312422382340185,-11.474863208128443,158.16012882933535,0.0,16.30122113430377,-0.17883616593666374,0.00023333834078573506,0.999725,119967,120000,7,119242,0.9936833333333334,0.07,1.1324996422198135,0.0009437497018498446,-602.083039491868,311.9786227374188,0.0,2.1719574759820546,-0.19573080128757284,672.6985402011227,0.11916667222976685,2.2739450931549072,0.11044583333333333,2.29415234375,0.11416666666666667,a71ad4f9d3b338337df85528df323ec0f8c02b0d9f5128705600622945ef9d07,a85760b5bd5f9d65e66ad22ee3f47d79e55115297c206103272001f987223f26,True,ref,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,7,30000,0.4646548444482621,0.4973416666666667,59681,120000,0,30955,0.25795833333333335,0.0,559.3240972622427,0.4661034143852023,-11.2187799909235,167.30740049796557,0.0,16.76495221467666,-0.16472566835582256,9.166666681915382e-05,0.9999083333333333,119989,120000,11,119407,0.9950583333333334,0.11,0.9918717861085906,0.0008265598217571589,-642.4792593616328,333.07026245277245,0.0,2.1681095436807754,-0.20333126964746043,718.8708607140262,0.10500000417232513,2.2940287590026855,0.10181041666666667,2.311203125,0.10916666666666666,c689c6b2e27e7c4afc4a5ba8cf7c3a30edef42c1d69189083eda513026d02e7c,d71cd7fc120fafdcee265356ac5b58657c3058c53832e9f96adf83840c8d8109,True,ref,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,8,30000,0.46723124131238836,0.49551666666666666,59462,120000,0,31393,0.26160833333333333,0.0,562.4878188551512,0.4687398490459594,-10.562300930338788,172.59159547382154,0.0,17.14380583621775,-0.1549127515195869,1.666666679127702e-05,0.9999833333333333,119998,120000,21,119521,0.9960083333333334,0.21,0.8490609829009284,0.000707550819084107,-672.5477433487257,340.6674298853145,0.0,2.1630416903525242,-0.20938525045989081,752.1531930423607,0.1158333346247673,2.3016772270202637,0.10280625,2.3175630208333335,0.11416666666666667,105a61061c32be0075f161d420a9eb9ceb54ff5e89060db0a8705a1ede89174a,f7c9635f1881c5f94df10f212b3f434311a8762ad7179dd3ee9698f6798e5ac6,True,ref,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,9,30000,0.46784726458114556,0.4949,59388,120000,0,31299,0.26082500000000003,0.0,563.0952005066097,0.46924600042217474,-10.20882146410319,173.78916896689904,0.0,17.356567308650394,-0.14691219948814252,3.333333358481107e-05,0.9999666666666667,119996,120000,20,119577,0.996475,0.2,0.8381790537429827,0.0006984825447858189,-684.2081303916297,346.62032119087496,0.0,2.168444917981758,-0.21047188001452014,760.3575055117038,0.12166666984558105,2.314295768737793,0.10285625,2.318237760416667,0.11916666666666667,8337b800893bbf25fcd401e3cbaa88c91c6a364111e698faa6335ff2118d4b1d,3278378cc6e6281a56a347e7ee63181df1a33f949edec3dd9d4278935bcc5166,True,ref,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10,30000,0.46984970989875924,0.4942416666666667,59309,120000,0,32336,0.2694666666666667,0.0,565.4978183632584,0.471248181969382,-9.2098245431236,182.98778682935307,0.0,18.078041080722034,-0.12795266467262992,0.00013333333480669544,0.9998666666666667,119984,120000,25,119663,0.9971916666666667,0.25,0.9094231723648888,0.0007578526436374074,-732.4568650228979,370.4939959736273,0.0,2.178306010067101,-0.21331981968600303,812.597173134017,0.11083333939313889,2.2797274589538574,0.11234583333333334,2.2997106770833335,0.1225,f0281dc9a92dd56a6444c2655c5bf461dc206e859a942499e1e184764e54ef07,1995324bb6057c0c44f2cd92bc0153d302a418220b4139b91a17a8c7d641ea33,True,ref,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
