arm,seed,U,floor_mean,floor_sd,A_late,A_minus_U,AT_FLOOR,E1,E2,delta_E1,delta_E2,early_A,early_mid,early_below
ref,0,0.11513167821154917,0.11366666666666667,0.003789026939228438,0.09926385416666667,-0.015867824044882503,True,-0.8839028124999999,-0.34215947619112885,0.0,0.0,0.9093479166666667,0.510090625,False
ref,1,0.11510210653129585,0.11325,0.00479018855920605,0.09998208333333333,-0.015120023197962518,True,-0.8824970833333333,-0.34191060564969594,0.0,0.0,0.94284375,0.5297552083333333,False
ref,2,0.11890073398889311,0.11645833333333333,0.006316893482943477,0.104219375,-0.014681358988893112,True,-0.8785285416666667,-0.3818162459225308,0.0,0.0,0.9207395833333333,0.5170364583333333,False
ref,3,0.11623959348302154,0.11466666666666667,0.004068133183948036,0.1007446875,-0.015494905983021542,True,-0.8819657291666667,-0.36525369709266187,0.0,0.0,0.913175,0.5132541666666667,False
ref,4,0.11432112515906338,0.11291666666666667,0.0036324157862838934,0.10250229166666666,-0.011818833492396721,True,-0.8800664583333333,-0.3680205475410094,0.0,0.0,0.91610625,0.5163864583333333,False
ref,5,0.11504644145206726,0.112875,0.005616099195655166,0.1012278125,-0.013818628952067258,True,-0.8808284375,-0.34089370933744534,0.0,0.0,0.9214520833333333,0.5157260416666667,False
ref,6,0.11716376477969387,0.11575,0.0036564850664177035,0.10102552083333333,-0.016138243946360542,True,-0.8824119791666667,-0.35466662896435125,0.0,0.0,0.9090229166666667,0.5132614583333334,False
ref,7,0.11544056387292646,0.1135,0.005018969862385325,0.0996284375,-0.015812126372926463,True,-0.8834694791666666,-0.33678092648181224,0.0,0.0,0.91993125,0.5191322916666666,False
ref,8,0.115151077398614,0.11370833333333333,0.0037314355295396855,0.09979822916666667,-0.015352848231947325,True,-0.8823955208333333,-0.338848143230373,0.0,0.0,0.9032583333333334,0.5087125,False
ref,9,0.11598354265767247,0.1145,0.003836954811073777,0.10045697916666667,-0.015526563491005799,True,-0.8824201041666667,-0.356540419098484,0.0,0.0,0.93646875,0.5211510416666667,False
cap1,0,0.11513167821154917,0.11366666666666667,0.003789026939228438,0.12169979166666667,0.0065681134551175,False,-0.861466875,-0.3411948191925128,0.022435937499999947,0.0009646569986160314,0.9457229166666666,0.510090625,False
cap1,1,0.11510210653129585,0.11325,0.00479018855920605,0.12321791666666666,0.008115810135370813,False,-0.85926125,-0.34072233064291874,0.023235833333333344,0.0011882750067772063,0.9569708333333333,0.5297552083333333,False
cap1,2,0.11890073398889311,0.11645833333333333,0.006316893482943477,0.12764479166666667,0.008744057677773559,False,-0.8551031250000001,-0.3807568189477929,0.023425416666666643,0.001059426974737876,0.9333916666666666,0.5170364583333333,False
cap1,3,0.11623959348302154,0.11466666666666667,0.004068133183948036,0.11048708333333333,-0.005752510149688209,True,-0.8722233333333334,-0.36476444654534784,0.009742395833333362,0.0004892505473140241,0.9488770833333333,0.5132541666666667,False
cap1,4,0.11432112515906338,0.11291666666666667,0.0036324157862838934,0.1270753125,0.012754187340936626,False,-0.8554934375,-0.36660069276070684,0.024573020833333348,0.001419854780302543,0.9262520833333333,0.5163864583333333,False
