arm,label,floor_count,online_first,online_late,G_first,G_late,E1,E1_low,E1_high,E2,E2_low,E2_high,level,early,b2_change
ref,REFERENCE_FLOORED,10,0.9827335416666667,0.10088492708333334,0.352703448761252,1.4408810302734706e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.95,NO_EARLY_IMPAIRMENT,-0.2858298406351896
cap1,SPLIT,4,0.9827335416666667,0.11914252083333335,0.352703448761252,0.0009299014176771017,0.018257593750000002,0.013600188709626454,0.02291499879037355,0.000915492607374363,0.0006459030610470786,0.0011850821537016474,0.95,NO_EARLY_IMPAIRMENT,-1.0232680258957043
cap2,SPLIT,1,0.9827335416666667,0.2509618645833333,0.352703448761252,0.020976085736162702,0.1500769375,0.08377154141313299,0.21638233358686704,0.020961676925859974,0.011056288628495782,0.030867065223224167,0.95,NO_EARLY_IMPAIRMENT,-2.2143623312326453
cap12,RESCUED,0,0.9827335416666667,0.8597735416666665,0.352703448761252,0.13238042976853623,0.7588886145833332,0.7514648482848941,0.7663123808817723,0.13236602095823352,0.12690056926177934,0.1378314726546877,0.975,NO_EARLY_IMPAIRMENT,-0.9790940643219583
cap12_bfix,RESCUED,0,0.9827335416666667,0.7885437083333333,0.352703448761252,0.09353760794848451,0.68765878125,0.6783294076102389,0.6969881548897612,0.09352319913818177,0.0896643681748311,0.09738203010153244,0.95,NO_EARLY_IMPAIRMENT,0.0
