arm,metric,mean,sd,low,high,level,degenerate_sd,sign,tier,window
ref,E1,0.0,0.0,0.0,0.0,0.95,True,0,REPORT_ONLY,
ref,E2,0.0,0.0,0.0,0.0,0.95,True,0,REPORT_ONLY,
ref,A,0.2425477083333333,,,,,,,REPORT_ONLY,2-10
ref,G,0.009820208518044254,,,,,,,REPORT_ONLY,2-10
ref,A,0.10115808333333334,,,,,,,REPORT_ONLY,11-30
ref,G,2.3314804785412608e-05,,,,,,,REPORT_ONLY,11-30
ref,A,0.10088492708333334,,,,,,,REPORT_ONLY,31-50
ref,G,1.4408810302734706e-05,,,,,,,REPORT_ONLY,31-50
ref,A,0.10106797916666667,,,,,,,REPORT_ONLY,41-50
ref,G,1.0622086824458238e-05,,,,,,,REPORT_ONLY,41-50
cap1,E1,0.018257593750000002,0.006510603310741255,0.013600188709626454,0.02291499879037355,0.95,False,+,REPORT_ONLY,
cap1,E2,0.000915492607374363,0.0003768601995412613,0.0006459030610470786,0.0011850821537016474,0.95,False,+,REPORT_ONLY,
cap1,A,0.41851131944444436,,,,,,,REPORT_ONLY,2-10
cap1,G,0.03112821810593744,,,,,,,REPORT_ONLY,2-10
cap1,A,0.192299375,,,,,,,REPORT_ONLY,11-30
cap1,G,0.006526726687068144,,,,,,,REPORT_ONLY,11-30
cap1,A,0.11914252083333335,,,,,,,REPORT_ONLY,31-50
cap1,G,0.0009299014176771017,,,,,,,REPORT_ONLY,31-50
cap1,A,0.10958439583333333,,,,,,,REPORT_ONLY,41-50
cap1,G,0.0004040273900602671,,,,,,,REPORT_ONLY,41-50
cap2,E1,0.1500769375,0.09268855243230963,0.08377154141313299,0.21638233358686704,0.95,False,+,REPORT_ONLY,
cap2,E2,0.020961676925859974,0.013846778041410065,0.011056288628495782,0.030867065223224167,0.95,False,+,REPORT_ONLY,
cap2,A,0.45758409722222226,,,,,,,REPORT_ONLY,2-10
cap2,G,0.03623245486626228,,,,,,,REPORT_ONLY,2-10
cap2,A,0.21577890624999999,,,,,,,REPORT_ONLY,11-30
cap2,G,0.01534137683701289,,,,,,,REPORT_ONLY,11-30
cap2,A,0.2509618645833333,,,,,,,REPORT_ONLY,31-50
cap2,G,0.020976085736162702,,,,,,,REPORT_ONLY,31-50
cap2,A,0.2561882916666666,,,,,,,REPORT_ONLY,41-50
cap2,G,0.02204223879737593,,,,,,,REPORT_ONLY,41-50
cap12,E1,0.7588886145833332,0.008743357721514045,0.7514648482848941,0.7663123808817723,0.975,False,+,PRIMARY,
cap12,E2,0.13236602095823352,0.006436948224219028,0.12690056926177934,0.1378314726546877,0.975,False,+,PRIMARY,
cap12,E1,0.7588886145833332,0.008743357721514045,0.7526339932558771,0.7651432359107894,0.95,False,+,REPORT_ONLY,
cap12,E2,0.13236602095823352,0.006436948224219028,0.12776130559266352,0.13697073632380352,0.95,False,+,REPORT_ONLY,
cap12,A,0.8504305555555555,,,,,,,REPORT_ONLY,2-10
cap12,G,0.11721388827844621,,,,,,,REPORT_ONLY,2-10
cap12,A,0.8339905625,,,,,,,REPORT_ONLY,11-30
cap12,G,0.12029912969364707,,,,,,,REPORT_ONLY,11-30
cap12,A,0.8597735416666665,,,,,,,REPORT_ONLY,31-50
cap12,G,0.13238042976853623,,,,,,,REPORT_ONLY,31-50
cap12,A,0.8669012708333333,,,,,,,REPORT_ONLY,41-50
cap12,G,0.13473015704075186,,,,,,,REPORT_ONLY,41-50
cap12_bfix,E1,0.68765878125,0.013041565073176399,0.6783294076102389,0.6969881548897612,0.95,False,+,REPORT_ONLY,
cap12_bfix,E2,0.09352319913818177,0.0053942737270638395,0.0896643681748311,0.09738203010153244,0.95,False,+,REPORT_ONLY,
cap12_bfix,A,0.8417668750000001,,,,,,,REPORT_ONLY,2-10
cap12_bfix,G,0.11405880181518084,,,,,,,REPORT_ONLY,2-10
cap12_bfix,A,0.7879033854166667,,,,,,,REPORT_ONLY,11-30
cap12_bfix,G,0.09456840454361183,,,,,,,REPORT_ONLY,11-30
cap12_bfix,A,0.7885437083333333,,,,,,,REPORT_ONLY,31-50
cap12_bfix,G,0.09353760794848451,,,,,,,REPORT_ONLY,31-50
cap12_bfix,A,0.7877974166666667,,,,,,,REPORT_ONLY,41-50
cap12_bfix,G,0.09414114723299262,,,,,,,REPORT_ONLY,41-50
