arm,window,term,total,per_task,mean_unit_median,delta,tier
ref,1-10,bias,-0.2479683405291362,-0.02755203783657069,-0.23607950743753464,-775.2891567421754,REPORT_ONLY
ref,1-10,cross,-111.5810889632326,-12.39789877369251,-110.87816399271311,-775.2891567421754,REPORT_ONLY
ref,1-10,self,-108.16277275115327,-12.018085861239252,-104.38986836018343,-775.2891567421754,REPORT_ONLY
ref,1-10,self_growth,-36.64802961696804,-4.0720032907742265,-23.92839170358078,-775.2891567421754,REPORT_ONLY
ref,1-10,self_rotation,-71.51474313418522,-7.946082570465025,-75.97732512901068,-775.2891567421754,REPORT_ONLY
ref,1-10,upstream,-555.2973266872604,-61.69970296525115,-549.8506373483783,-775.2891567421754,REPORT_ONLY
ref,1-10,upstream_growth,-586.5480654526501,-65.17200727251668,-578.6293762900585,-775.2891567421754,REPORT_ONLY
ref,1-10,upstream_rotation,31.250738765389748,3.4723043072655275,33.66988313999597,-775.2891567421754,REPORT_ONLY
ref,1-50,bias,-0.2858298406351896,-0.00583326205377938,-0.260315111791715,-966.7635107919316,REPORT_ONLY
ref,1-50,cross,-112.51642542079394,-2.2962535800162027,-111.83315662015302,-966.7635107919316,REPORT_ONLY
ref,1-50,self,-101.63627476246003,-2.0742096890297965,-105.03981278224681,-966.7635107919316,REPORT_ONLY
ref,1-50,self_growth,-41.324518550373554,-0.843357521436195,-23.937747129753827,-966.7635107919316,REPORT_ONLY
ref,1-50,self_rotation,-60.311756212086465,-1.2308521675936013,-72.73396040462885,-966.7635107919316,REPORT_ONLY
ref,1-50,upstream,-752.3249807680425,-15.3535710360825,-742.4714716600965,-966.7635107919316,REPORT_ONLY
ref,1-50,upstream_growth,-787.8898606691084,-16.079384911614458,-777.8527134018582,-966.7635107919316,REPORT_ONLY
ref,1-50,upstream_rotation,35.564879901066,0.7258138755319592,37.96968874585761,-966.7635107919316,REPORT_ONLY
ref,30-50,bias,-0.013014698160346597,-0.0006507349080173299,0.0,-59.5837246780748,REPORT_ONLY
ref,30-50,cross,-0.3947611645712926,-0.019738058228564632,0.0,-59.5837246780748,REPORT_ONLY
ref,30-50,self,3.730158966173407,0.18650794830867035,0.0,-59.5837246780748,REPORT_ONLY
ref,30-50,self_growth,-1.4783364223174096,-0.07391682111587047,0.0,-59.5837246780748,REPORT_ONLY
ref,30-50,self_rotation,5.208495388490816,0.26042476942454074,0.0,-59.5837246780748,REPORT_ONLY
ref,30-50,upstream,-62.90610778151655,-3.1453053890758276,-61.8352048275238,-59.5837246780748,REPORT_ONLY
ref,30-50,upstream_growth,-69.41335642102428,-3.470667821051214,-69.15374172700976,-59.5837246780748,REPORT_ONLY
ref,30-50,upstream_rotation,6.507248639507708,0.3253624319753854,6.184775300235803,-59.5837246780748,REPORT_ONLY
cap1,1-10,bias,-0.18869663819799462,-0.020966293133110513,-0.18883969526505098,-201.32268523240913,REPORT_ONLY
cap1,1-10,cross,-25.54451123858018,-2.838279026508909,-26.24874889339837,-201.32268523240913,REPORT_ONLY
cap1,1-10,self,-98.93021472722299,-10.992246080802555,-96.11499759002538,-201.32268523240913,REPORT_ONLY
cap1,1-10,self_growth,-63.647537836155266,-7.071948648461697,-61.353810830126406,-201.32268523240913,REPORT_ONLY
cap1,1-10,self_rotation,-35.28267689106773,-3.920297432340859,-35.72010551202174,-201.32268523240913,REPORT_ONLY
cap1,1-10,upstream,-76.65926262840794,-8.517695847600883,-76.53382819954466,-201.32268523240913,REPORT_ONLY
cap1,1-10,upstream_growth,-83.40314525248925,-9.267016139165472,-81.37563898085769,-201.32268523240913,REPORT_ONLY
cap1,1-10,upstream_rotation,6.743882624081295,0.7493202915645883,5.900197006895841,-201.32268523240913,REPORT_ONLY
cap1,1-50,bias,-1.0232680258957043,-0.02088302093664703,-1.0416968405450462,-430.959538509786,REPORT_ONLY
cap1,1-50,cross,-53.75014462330979,-1.0969417270063222,-51.807391497514494,-430.959538509786,REPORT_ONLY
cap1,1-50,self,-207.10298153375064,-4.226591459872462,-206.734953413266,-430.959538509786,REPORT_ONLY
cap1,1-50,self_growth,-152.57726406984807,-3.113821715711185,-151.26370828953074,-430.959538509786,REPORT_ONLY
cap1,1-50,self_rotation,-54.52571746390259,-1.1127697441612774,-57.9763155069354,-430.959538509786,REPORT_ONLY
cap1,1-50,upstream,-169.08314432682988,-3.4506764148332625,-168.71514389658145,-430.959538509786,REPORT_ONLY
cap1,1-50,upstream_growth,-183.94080184113284,-3.75389391512516,-181.78293192865644,-430.959538509786,REPORT_ONLY
cap1,1-50,upstream_rotation,14.857657514302959,0.3032175002918971,15.339297793721006,-430.959538509786,REPORT_ONLY
cap1,30-50,bias,-0.35692660625806,-0.017846330312903003,-0.3389673210680485,-111.79797142572002,REPORT_ONLY
cap1,30-50,cross,-8.821794394364977,-0.4410897197182489,-6.8940206305640785,-111.79797142572002,REPORT_ONLY
cap1,30-50,self,-38.744391983141846,-1.9372195991570922,-36.66570726318507,-111.79797142572002,REPORT_ONLY
cap1,30-50,self_growth,-11.360940084353441,-0.5680470042176721,-8.592094867560622,-111.79797142572002,REPORT_ONLY
cap1,30-50,self_rotation,-27.383451898788405,-1.3691725949394202,-26.844132860783215,-111.79797142572002,REPORT_ONLY
cap1,30-50,upstream,-63.87485844195514,-3.193742922097757,-64.9766865189074,-111.79797142572002,REPORT_ONLY
cap1,30-50,upstream_growth,-66.25106164859314,-3.3125530824296567,-65.64383742184704,-111.79797142572002,REPORT_ONLY
cap1,30-50,upstream_rotation,2.3762032066379897,0.11881016033189948,2.288930784227951,-111.79797142572002,REPORT_ONLY
cap2,1-10,bias,-0.49168608932203645,-0.05463178770244849,-0.4975973959895782,-361.86293169351063,REPORT_ONLY
cap2,1-10,cross,-38.61499246772405,-4.290554718636005,-38.327195966876126,-361.86293169351063,REPORT_ONLY
cap2,1-10,self,-14.303314266844952,-1.58925714076055,-14.015175964323594,-361.86293169351063,REPORT_ONLY
cap2,1-10,self_growth,5.495629280353018,0.6106254755947798,1.3213364114964743,-361.86293169351063,REPORT_ONLY
cap2,1-10,self_rotation,-19.79894354719797,-2.19988261635533,-18.63737027876368,-361.86293169351063,REPORT_ONLY
cap2,1-10,upstream,-308.45293886961963,-34.27254876329107,-305.7541121232856,-361.86293169351063,REPORT_ONLY
cap2,1-10,upstream_growth,-324.39249576447753,-36.043610640497505,-323.55552940542583,-361.86293169351063,REPORT_ONLY
cap2,1-10,upstream_rotation,15.939556894857896,1.7710618772064328,16.495342995713184,-361.86293169351063,REPORT_ONLY
cap2,1-50,bias,-2.2143623312326453,-0.0451910679843397,-2.227914157093619,-699.1513235351397,REPORT_ONLY
cap2,1-50,cross,-93.8439786177481,-1.9151832370969002,-93.65296933855745,-699.1513235351397,REPORT_ONLY
cap2,1-50,self,294.7122183999616,6.014535069386971,315.6410743921442,-699.1513235351397,REPORT_ONLY
cap2,1-50,self_growth,2.205104127245214,0.04500212504582069,-2.7838574114153043,-699.1513235351397,REPORT_ONLY
cap2,1-50,self_rotation,292.50711427271636,5.96953294434115,313.9012229497149,-699.1513235351397,REPORT_ONLY
cap2,1-50,upstream,-897.8052009861204,-18.322555122165724,-890.6638478560028,-699.1513235351397,REPORT_ONLY
cap2,1-50,upstream_growth,-884.9461701552658,-18.060125921536038,-875.0818961868936,-699.1513235351397,REPORT_ONLY
cap2,1-50,upstream_rotation,-12.859030830854598,-0.26242920062968567,-10.515099422441319,-699.1513235351397,REPORT_ONLY
cap2,30-50,bias,-0.9262361982613802,-0.04631180991306901,-0.9418741211295127,-78.77313834296696,REPORT_ONLY
cap2,30-50,cross,-30.567535913189285,-1.5283767956594643,-29.23373366560591,-78.77313834296696,REPORT_ONLY
cap2,30-50,self,178.8473020431024,8.942365102155119,197.23812777332608,-78.77313834296696,REPORT_ONLY
cap2,30-50,self_growth,-6.76123092464142,-0.338061546232071,-4.80212871589687,-78.77313834296696,REPORT_ONLY
cap2,30-50,self_rotation,185.6085329677438,9.28042664838719,203.39226923266196,-78.77313834296696,REPORT_ONLY
cap2,30-50,upstream,-226.12666827461868,-11.306333413730934,-224.7469835932927,-78.77313834296696,REPORT_ONLY
cap2,30-50,upstream_growth,-184.150128100359,-9.207506405017952,-180.70899380826924,-78.77313834296696,REPORT_ONLY
cap2,30-50,upstream_rotation,-41.97654017425963,-2.0988270087129814,-39.452055324593914,-78.77313834296696,REPORT_ONLY
cap12,1-10,bias,0.03924365979938739,0.004360406644376377,0.044153239531442526,-10.810363254641382,REPORT_ONLY
cap12,1-10,cross,-5.596752390522298,-0.6218613767246998,-5.6350238422570005,-10.810363254641382,REPORT_ONLY
cap12,1-10,self,-8.918934584523752,-0.9909927316137501,-8.626959673231756,-10.810363254641382,REPORT_ONLY
cap12,1-10,self_growth,-0.002604644935706266,-0.0002894049928562518,-0.0018857063782075456,-10.810363254641382,REPORT_ONLY
cap12,1-10,self_rotation,-8.916329939588044,-0.9907033266208939,-8.637668670737924,-10.810363254641382,REPORT_ONLY
cap12,1-10,upstream,3.666080060605281,0.4073422289561423,3.504033977756012,-10.810363254641382,REPORT_ONLY
cap12,1-10,upstream_growth,1.642811202682309,0.1825345780758121,1.7131051738795011,-10.810363254641382,REPORT_ONLY
cap12,1-10,upstream_rotation,2.023268857922971,0.22480765088033014,1.906841864564838,-10.810363254641382,REPORT_ONLY
