arm,seed,mu_norm_t1,mu_norm_t50,mu_vector_change_norm,b2_mean_change,tier
ref,0,52.486653037604576,861.314641820455,817.1215172335923,-0.24289649042650127,REPORT_ONLY
ref,1,55.97229369838555,919.8823048172605,872.88103446971,-0.2739527580622962,REPORT_ONLY
ref,2,49.408647570168306,1478.0991786184557,1441.2676722396964,-0.31456612263049466,REPORT_ONLY
ref,3,50.43971037895651,1135.6920754415246,1097.1086496798812,-0.27476751285488715,REPORT_ONLY
ref,4,50.120031702516556,1673.0080454501322,1636.6984580646463,-0.36316039239405656,REPORT_ONLY
ref,5,51.8413365012074,1258.6982225159895,1219.1369562700536,-0.2948061005107593,REPORT_ONLY
ref,6,53.483030175566704,968.0627994608034,925.6706524610196,-0.2778717478975887,REPORT_ONLY
ref,7,54.151798326871166,1005.9542024334413,964.5355044900726,-0.2948155255569145,REPORT_ONLY
ref,8,55.048906013460595,1009.1550678511064,965.0284387613889,-0.24563298296037828,REPORT_ONLY
ref,9,52.72571042683077,1262.265886390047,1221.7493308318333,-0.27582877305801956,REPORT_ONLY
cap1,0,52.486653037604576,203.57574432019217,162.2197340097576,-1.133463987064315,REPORT_ONLY
cap1,1,55.97229369838555,212.45338906119076,169.62854475493018,-1.1985723996177695,REPORT_ONLY
cap1,2,49.408647570168306,214.96994152949185,177.78019605231034,-0.914266126594157,REPORT_ONLY
cap1,3,50.43971037895651,195.81383892570477,154.74228457021937,-0.8862436927855015,REPORT_ONLY
cap1,4,50.120031702516556,204.83278289661843,165.82149103443663,-0.8435417143756058,REPORT_ONLY
cap1,5,51.8413365012074,223.10774103330272,181.56351805377858,-1.002042877539061,REPORT_ONLY
cap1,6,53.483030175566704,211.70729422102818,168.42218959825522,-1.1535194482054794,REPORT_ONLY
cap1,7,54.151798326871166,195.42185646752623,150.618363632769,-1.0186315989145078,REPORT_ONLY
cap1,8,55.048906013460595,203.41078634723814,158.5306404288374,-1.0318074667439214,REPORT_ONLY
cap1,9,52.72571042683077,212.20029352079996,171.07391786947653,-1.0505909471167252,REPORT_ONLY
cap2,0,52.486653037604576,2064.5522026345457,2037.3615799451047,-2.983869230103446,REPORT_ONLY
cap2,1,55.97229369838555,1847.8445275280008,1803.6707644611051,-0.520368629718796,REPORT_ONLY
cap2,2,49.408647570168306,3417.9401809169435,3394.4214717292416,-1.3927402601210632,REPORT_ONLY
cap2,3,50.43971037895651,3593.4464363814473,3565.52858098608,-1.2235270635783673,REPORT_ONLY
cap2,4,50.120031702516556,3319.370354947331,3293.55948831213,-1.4218072844517884,REPORT_ONLY
cap2,5,51.8413365012074,2165.778478860543,2136.1550069285145,-2.9331922586774453,REPORT_ONLY
cap2,6,53.483030175566704,2198.652309692843,2166.8215562416667,-2.9032316678535426,REPORT_ONLY
cap2,7,54.151798326871166,2900.718514489047,2871.795544465246,-2.9279044557386076,REPORT_ONLY
cap2,8,55.048906013460595,2724.6971148847983,2696.090658290998,-3.208167520313,REPORT_ONLY
cap2,9,52.72571042683077,2447.0427341373547,2418.615356695801,-2.628814941770397,REPORT_ONLY
cap12,0,52.486653037604576,43.079364147929304,18.26965775794018,-1.0397186609532219,REPORT_ONLY
cap12,1,55.97229369838555,42.26138182678275,23.419198268090295,-0.9746735153595364,REPORT_ONLY
cap12,2,49.408647570168306,45.37641463585464,20.397692168332977,-0.9113093730591936,REPORT_ONLY
cap12,3,50.43971037895651,38.16740691643626,20.55876776054739,-1.109115182310343,REPORT_ONLY
cap12,4,50.120031702516556,38.56371609578509,18.87612833523943,-0.9952245641348418,REPORT_ONLY
cap12,5,51.8413365012074,40.54382966954976,23.495194862866587,-1.0053303685458377,REPORT_ONLY
cap12,6,53.483030175566704,43.124505861454864,20.53205453502142,-0.873107097884058,REPORT_ONLY
cap12,7,54.151798326871166,35.81128275035808,23.7916313752463,-1.0130495680705645,REPORT_ONLY
cap12,8,55.048906013460595,36.91595814885913,24.243822543883883,-0.8800591889754287,REPORT_ONLY
cap12,9,52.72571042683077,38.10815970541817,20.81134724793635,-0.9893531239265576,REPORT_ONLY
cap12_bfix,0,52.486653037604576,61.664804528721255,18.842876751195462,0.0,REPORT_ONLY
cap12_bfix,1,55.97229369838555,61.85551821523424,23.334379180717516,0.0,REPORT_ONLY
cap12_bfix,2,49.408647570168306,56.30010238690741,19.100208390300686,0.0,REPORT_ONLY
cap12_bfix,3,50.43971037895651,56.38646673230204,15.014444187605555,0.0,REPORT_ONLY
cap12_bfix,4,50.120031702516556,55.86644087356745,17.91844277272809,0.0,REPORT_ONLY
cap12_bfix,5,51.8413365012074,61.8924187570146,23.169979578194155,0.0,REPORT_ONLY
cap12_bfix,6,53.483030175566704,57.12942830956707,14.855721280920896,0.0,REPORT_ONLY
cap12_bfix,7,54.151798326871166,83.38301484567653,39.53197916920525,0.0,REPORT_ONLY
cap12_bfix,8,55.048906013460595,67.58925917966963,24.85448450068484,0.0,REPORT_ONLY
cap12_bfix,9,52.72571042683077,60.22771375783874,18.62926726759468,0.0,REPORT_ONLY
