arm,seed,sign,arm_task,arm_censored,ref_task,ref_censored,undefined,label,p
cap1,0,1,4,False,3,False,False,LATER,0.001953125
cap1,1,1,5,False,3,False,False,LATER,0.001953125
cap1,2,1,4,False,3,False,False,LATER,0.001953125
cap1,3,1,5,False,3,False,False,LATER,0.001953125
cap1,4,1,4,False,3,False,False,LATER,0.001953125
cap1,5,1,5,False,3,False,False,LATER,0.001953125
cap1,6,1,5,False,3,False,False,LATER,0.001953125
cap1,7,1,4,False,3,False,False,LATER,0.001953125
cap1,8,1,5,False,3,False,False,LATER,0.001953125
cap1,9,1,5,False,3,False,False,LATER,0.001953125
cap2,0,1,6,False,3,False,False,LATER,0.001953125
cap2,1,1,4,False,3,False,False,LATER,0.001953125
cap2,2,1,5,False,3,False,False,LATER,0.001953125
cap2,3,1,5,False,3,False,False,LATER,0.001953125
cap2,4,1,5,False,3,False,False,LATER,0.001953125
cap2,5,1,5,False,3,False,False,LATER,0.001953125
cap2,6,1,5,False,3,False,False,LATER,0.001953125
cap2,7,1,5,False,3,False,False,LATER,0.001953125
cap2,8,1,5,False,3,False,False,LATER,0.001953125
cap2,9,1,4,False,3,False,False,LATER,0.001953125
cap12,0,1,50,True,3,False,False,LATER,0.001953125
cap12,1,1,50,True,3,False,False,LATER,0.001953125
cap12,2,1,50,True,3,False,False,LATER,0.001953125
cap12,3,1,50,True,3,False,False,LATER,0.001953125
cap12,4,1,50,True,3,False,False,LATER,0.001953125
cap12,5,1,50,True,3,False,False,LATER,0.001953125
cap12,6,1,50,True,3,False,False,LATER,0.001953125
cap12,7,1,50,True,3,False,False,LATER,0.001953125
cap12,8,1,50,True,3,False,False,LATER,0.001953125
cap12,9,1,50,True,3,False,False,LATER,0.001953125
cap12_bfix,0,1,50,True,3,False,False,LATER,0.001953125
cap12_bfix,1,1,50,True,3,False,False,LATER,0.001953125
cap12_bfix,2,1,50,True,3,False,False,LATER,0.001953125
cap12_bfix,3,1,50,True,3,False,False,LATER,0.001953125
cap12_bfix,4,1,50,True,3,False,False,LATER,0.001953125
cap12_bfix,5,1,50,True,3,False,False,LATER,0.001953125
cap12_bfix,6,1,50,True,3,False,False,LATER,0.001953125
cap12_bfix,7,1,50,True,3,False,False,LATER,0.001953125
cap12_bfix,8,1,50,True,3,False,False,LATER,0.001953125
cap12_bfix,9,1,50,True,3,False,False,LATER,0.001953125
