seed,task,S5_online,S4_online,bit_equal
0,1,0.9831666666666666,0.9831666666666666,True
0,2,0.9093479166666667,0.9093479166666667,True
0,3,0.4461541666666667,0.4461541666666667,True
0,4,0.1805125,0.1805125,True
0,5,0.1223875,0.1223875,True
0,6,0.11044583333333333,0.11044583333333333,True
0,7,0.10181041666666667,0.10181041666666667,True
0,8,0.10280625,0.10280625,True
0,9,0.10285625,0.10285625,True
0,10,0.11234583333333334,0.11234583333333334,True
0,11,0.10227291666666667,0.10227291666666667,True
1,1,0.9824791666666667,0.9824791666666667,True
1,2,0.94284375,0.94284375,True
1,3,0.5130791666666666,0.5130791666666666,True
1,4,0.20582291666666666,0.20582291666666666,True
1,5,0.13916666666666666,0.13916666666666666,True
1,6,0.1100125,0.1100125,True
1,7,0.10245416666666667,0.10245416666666667,True
1,8,0.10212291666666666,0.10212291666666666,True
1,9,0.10136458333333333,0.10136458333333333,True
1,10,0.10120625,0.10120625,True
1,11,0.10400833333333333,0.10400833333333333,True
2,1,0.9827479166666667,0.9827479166666667,True
2,2,0.9207395833333333,0.9207395833333333,True
2,3,0.419,0.419,True
2,4,0.18039166666666667,0.18039166666666667,True
2,5,0.13289166666666666,0.13289166666666666,True
2,6,0.11675416666666667,0.11675416666666667,True
2,7,0.10939583333333333,0.10939583333333333,True
2,8,0.10404166666666667,0.10404166666666667,True
2,9,0.09924375,0.09924375,True
2,10,0.09957708333333333,0.09957708333333333,True
2,11,0.09675625,0.09675625,True
3,1,0.9827104166666667,0.9827104166666667,True
3,2,0.913175,0.913175,True
3,3,0.37980833333333336,0.37980833333333336,True
3,4,0.19774375,0.19774375,True
3,5,0.14067083333333333,0.14067083333333333,True
3,6,0.1123,0.1123,True
3,7,0.11110208333333334,0.11110208333333334,True
3,8,0.11422083333333333,0.11422083333333333,True
3,9,0.10039583333333334,0.10039583333333334,True
3,10,0.10569375,0.10569375,True
3,11,0.100825,0.100825,True
4,1,0.98256875,0.98256875,True
4,2,0.91610625,0.91610625,True
4,3,0.33135416666666667,0.33135416666666667,True
4,4,0.18395625,0.18395625,True
4,5,0.14538541666666666,0.14538541666666666,True
4,6,0.12527708333333334,0.12527708333333334,True
4,7,0.11924166666666666,0.11924166666666666,True
4,8,0.10755625,0.10755625,True
4,9,0.10869375,0.10869375,True
4,10,0.10271041666666667,0.10271041666666667,True
4,11,0.10173333333333333,0.10173333333333333,True
5,1,0.98205625,0.98205625,True
5,2,0.9214520833333333,0.9214520833333333,True
5,3,0.35377916666666664,0.35377916666666664,True
5,4,0.16088958333333334,0.16088958333333334,True
5,5,0.12449375,0.12449375,True
5,6,0.1154,0.1154,True
5,7,0.11524583333333334,0.11524583333333334,True
5,8,0.10218125,0.10218125,True
5,9,0.10103333333333334,0.10103333333333334,True
5,10,0.1006,0.1006,True
5,11,0.10160208333333333,0.10160208333333333,True
6,1,0.9834375,0.9834375,True
6,2,0.9090229166666667,0.9090229166666667,True
6,3,0.46315208333333335,0.46315208333333335,True
6,4,0.18347291666666668,0.18347291666666668,True
6,5,0.14032708333333332,0.14032708333333332,True
6,6,0.12231666666666667,0.12231666666666667,True
6,7,0.11186666666666667,0.11186666666666667,True
6,8,0.10935,0.10935,True
6,9,0.10388958333333333,0.10388958333333333,True
6,10,0.10342708333333334,0.10342708333333334,True
6,11,0.10425416666666666,0.10425416666666666,True
7,1,0.9830979166666667,0.9830979166666667,True
7,2,0.91993125,0.91993125,True
7,3,0.4176666666666667,0.4176666666666667,True
7,4,0.2351125,0.2351125,True
7,5,0.157225,0.157225,True
7,6,0.11900208333333333,0.11900208333333333,True
7,7,0.10725208333333333,0.10725208333333333,True
7,8,0.10747916666666667,0.10747916666666667,True
7,9,0.10313333333333333,0.10313333333333333,True
7,10,0.10039583333333334,0.10039583333333334,True
7,11,0.10314583333333334,0.10314583333333334,True
8,1,0.98219375,0.98219375,True
8,2,0.9032583333333334,0.9032583333333334,True
8,3,0.36495625,0.36495625,True
8,4,0.173775,0.173775,True
8,5,0.12865833333333335,0.12865833333333335,True
8,6,0.09961666666666667,0.09961666666666667,True
8,7,0.09928333333333333,0.09928333333333333,True
8,8,0.10332083333333333,0.10332083333333333,True
8,9,0.10069375,0.10069375,True
8,10,0.09950208333333334,0.09950208333333334,True
8,11,0.10213333333333334,0.10213333333333334,True
9,1,0.9828770833333333,0.9828770833333333,True
9,2,0.93646875,0.93646875,True
9,3,0.35288125,0.35288125,True
9,4,0.16294791666666666,0.16294791666666666,True
9,5,0.12464166666666666,0.12464166666666666,True
9,6,0.11467083333333333,0.11467083333333333,True
9,7,0.11392916666666666,0.11392916666666666,True
9,8,0.11469791666666666,0.11469791666666666,True
9,9,0.1122625,0.1122625,True
9,10,0.11046458333333334,0.11046458333333334,True
9,11,0.10485,0.10485,True
