arm,seed,metric,arm_value,ref_value,difference
ref,0,E1,-0.8839028124999999,-0.8839028124999999,0.0
ref,0,E2,-0.34215947619112885,-0.34215947619112885,0.0
ref,1,E1,-0.8824970833333333,-0.8824970833333333,0.0
ref,1,E2,-0.34191060564969594,-0.34191060564969594,0.0
ref,2,E1,-0.8785285416666667,-0.8785285416666667,0.0
ref,2,E2,-0.3818162459225308,-0.3818162459225308,0.0
ref,3,E1,-0.8819657291666667,-0.8819657291666667,0.0
ref,3,E2,-0.36525369709266187,-0.36525369709266187,0.0
ref,4,E1,-0.8800664583333333,-0.8800664583333333,0.0
ref,4,E2,-0.3680205475410094,-0.3680205475410094,0.0
ref,5,E1,-0.8808284375,-0.8808284375,0.0
ref,5,E2,-0.34089370933744534,-0.34089370933744534,0.0
ref,6,E1,-0.8824119791666667,-0.8824119791666667,0.0
ref,6,E2,-0.35466662896435125,-0.35466662896435125,0.0
ref,7,E1,-0.8834694791666666,-0.8834694791666666,0.0
ref,7,E2,-0.33678092648181224,-0.33678092648181224,0.0
ref,8,E1,-0.8823955208333333,-0.8823955208333333,0.0
ref,8,E2,-0.338848143230373,-0.338848143230373,0.0
ref,9,E1,-0.8824201041666667,-0.8824201041666667,0.0
ref,9,E2,-0.356540419098484,-0.356540419098484,0.0
cap1,0,E1,-0.861466875,-0.8839028124999999,0.022435937499999947
cap1,0,E2,-0.3411948191925128,-0.34215947619112885,0.0009646569986160314
cap1,1,E1,-0.85926125,-0.8824970833333333,0.023235833333333344
cap1,1,E2,-0.34072233064291874,-0.34191060564969594,0.0011882750067772063
cap1,2,E1,-0.8551031250000001,-0.8785285416666667,0.023425416666666643
cap1,2,E2,-0.3807568189477929,-0.3818162459225308,0.001059426974737876
cap1,3,E1,-0.8722233333333334,-0.8819657291666667,0.009742395833333362
cap1,3,E2,-0.36476444654534784,-0.36525369709266187,0.0004892505473140241
cap1,4,E1,-0.8554934375,-0.8800664583333333,0.024573020833333348
cap1,4,E2,-0.36660069276070684,-0.3680205475410094,0.001419854780302543
cap1,5,E1,-0.8721948958333333,-0.8808284375,0.008633541666666633
cap1,5,E2,-0.34051879094821885,-0.34089370933744534,0.00037491838922648624
cap1,6,E1,-0.8620873958333333,-0.8824119791666667,0.020324583333333424
cap1,6,E2,-0.35353392673297274,-0.35466662896435125,0.0011327022313785129
cap1,7,E1,-0.8729464583333333,-0.8834694791666666,0.01052302083333334
cap1,7,E2,-0.3363574290260217,-0.33678092648181224,0.00042349745579051135
cap1,8,E1,-0.8581716666666667,-0.8823955208333333,0.024223854166666614
cap1,8,E2,-0.33754564781760155,-0.338848143230373,0.0013024954127714428
cap1,9,E1,-0.8669617708333334,-0.8824201041666667,0.015458333333333352
cap1,9,E2,-0.355740570821655,-0.356540419098484,0.0007998482768289961
cap2,0,E1,-0.6781039583333333,-0.8839028124999999,0.20579885416666666
cap2,0,E2,-0.31366560667185867,-0.34215947619112885,0.028493869519270187
cap2,1,E1,-0.8811390625,-0.8824970833333333,0.001358020833333362
cap2,1,E2,-0.34187765556007316,-0.34191060564969594,3.295008962278523e-05
cap2,2,E1,-0.8050441666666668,-0.8785285416666667,0.07348437499999994
cap2,2,E2,-0.3724825361822447,-0.3818162459225308,0.009333709740286078
cap2,3,E1,-0.8170469791666667,-0.8819657291666667,0.06491875000000003
cap2,3,E2,-0.35764141755180984,-0.36525369709266187,0.007612279540852029
cap2,4,E1,-0.838625,-0.8800664583333333,0.04144145833333335
cap2,4,E2,-0.36275669937595306,-0.3680205475410094,0.005263848165056317
cap2,5,E1,-0.6502113541666666,-0.8808284375,0.2306170833333333
cap2,5,E2,-0.30822388808212364,-0.34089370933744534,0.032669821255321696
cap2,6,E1,-0.6627108333333334,-0.8824119791666667,0.21970114583333333
cap2,6,E2,-0.3225096273189365,-0.35466662896435125,0.03215700164541474
cap2,7,E1,-0.657341875,-0.8834694791666666,0.22612760416666666
cap2,7,E2,-0.30706682739359864,-0.33678092648181224,0.029714099088213597
cap2,8,E1,-0.6818003125,-0.8823955208333333,0.20059520833333333
cap2,8,E2,-0.31303308488200543,-0.338848143230373,0.02581505834836756
cap2,9,E1,-0.6456932291666666,-0.8824201041666667,0.23672687500000011
cap2,9,E2,-0.31801628723228925,-0.356540419098484,0.038524131866194744
cap12,0,E1,-0.11388718749999993,-0.8839028124999999,0.770015625
cap12,0,E2,-0.21290360533604874,-0.34215947619112885,0.1292558708550801
cap12,1,E1,-0.1421964583333334,-0.8824970833333333,0.7403006249999999
cap12,1,E2,-0.22374960865396082,-0.34191060564969594,0.11816099699573512
cap12,2,E1,-0.12037750000000003,-0.8785285416666667,0.7581510416666667
cap12,2,E2,-0.24162332767078698,-0.3818162459225308,0.1401929182517438
cap12,3,E1,-0.1277715625,-0.8819657291666667,0.7541941666666667
cap12,3,E2,-0.23239482433770114,-0.36525369709266187,0.13285887275496072
cap12,4,E1,-0.1191388541666667,-0.8800664583333333,0.7609276041666666
cap12,4,E2,-0.2271325905515429,-0.3680205475410094,0.1408879569894665
cap12,5,E1,-0.11677291666666667,-0.8808284375,0.7640555208333333
cap12,5,E2,-0.20935238044643406,-0.34089370933744534,0.13154132889101128
cap12,6,E1,-0.11196937499999993,-0.8824119791666667,0.7704426041666668
cap12,6,E2,-0.21982236775134828,-0.35466662896435125,0.13484426121300297
cap12,7,E1,-0.12779968750000004,-0.8834694791666666,0.7556697916666666
cap12,7,E2,-0.20308337107831825,-0.33678092648181224,0.13369755540349398
cap12,8,E1,-0.12183968749999996,-0.8823955208333333,0.7605558333333333
cap12,8,E2,-0.20494708254817431,-0.338848143230373,0.13390106068219867
