arm,seed,window,term,total,error,per_task,unit_median,delta,delta_error,signed_share,share_error
ref,0,1-10,self,-108.93620288668286,1.0071049241947883e-10,-12.104022542964763,-112.93033389690436,-725.3013853975796,1.920329330389934e-10,0.1501943951574953,1.7863588792770424e-13
ref,0,1-10,upstream,-506.6895363153315,1.987244429173281e-09,-56.298837368370165,-497.4274331406417,-725.3013853975796,1.920329330389934e-10,0.698591711689046,2.924926576890911e-12
ref,0,1-10,cross,-109.44161078938384,2.323904292755285e-10,-12.160178976598205,-112.11833994963908,-725.3013853975796,1.920329330389934e-10,0.15089121983324572,3.6037248585475385e-13
ref,0,1-10,bias,-0.23403540618135593,3.31847976979084e-15,-0.02600393402015066,-0.22874313965439796,-725.3013853975796,1.920329330389934e-10,0.0003226733202130417,9.004307495924828e-17
ref,0,1-10,upstream_growth,-525.2494789688235,2.3553913554961438e-09,-58.361053218758165,-521.6738249818264,-725.3013853975796,1.920329330389934e-10,0.7241809950230605,3.4392823737146385e-12
ref,0,1-10,upstream_rotation,18.559942653491866,4.148606797580993e-09,2.062215850387985,18.132008469652504,-725.3013853975796,1.920329330389934e-10,-0.02558928333401444,5.726616447872733e-12
ref,0,1-10,self_growth,-31.538910815891423,1.0349338630068586e-10,-3.5043234239879357,-26.496726129852696,-725.3013853975796,1.920329330389934e-10,0.04348386953459785,1.5420792663799383e-13
ref,0,1-10,self_rotation,-77.39729207079142,1.7951084162843395e-10,-8.599699118976824,-80.49007443550731,-725.3013853975796,1.920329330389934e-10,0.10671052562289744,2.7576311544740397e-13
ref,1,1-10,self,-123.14968736457769,1.227983053175212e-10,-13.683298596064187,-122.6681404424281,-779.3744991115008,2.1161013427069286e-10,0.1580109273590171,2.004796043650475e-13
ref,1,1-10,upstream,-548.3996587977733,2.2249514163937018e-09,-60.93329542197481,-538.9694695299288,-779.3744991115008,2.1161013427069286e-10,0.7036407521967393,3.045916716218089e-12
ref,1,1-10,cross,-107.55681577005187,2.785988390155795e-10,-11.95075730778354,-106.40559783438891,-779.3744991115008,2.1161013427069286e-10,0.13800402231875478,3.9494983511094553e-13
ref,1,1-10,bias,-0.2683371790979436,3.821348745897468e-15,-0.02981524212199373,-0.2689431603066623,-779.3744991115008,2.1161013427069286e-10,0.0003442981254889045,9.842266177387314e-17
ref,1,1-10,upstream_growth,-581.1156564923999,2.642971298240679e-09,-64.56840627693333,-567.0379461077812,-779.3744991115008,2.1161013427069286e-10,0.7456180015575066,3.5936717760932983e-12
ref,1,1-10,upstream_rotation,32.7159976946267,4.6361041382788625e-09,3.6351108549585223,35.08521431962802,-779.3744991115008,2.1161013427069286e-10,-0.04197724936076745,5.959895515127102e-12
ref,1,1-10,self_growth,-39.30336245316733,1.172515554357842e-10,-4.3670402725741475,-30.886685171743615,-779.3744991115008,2.1161013427069286e-10,0.050429366752406946,1.641409671488034e-13
ref,1,1-10,self_rotation,-83.84632491141036,2.115027834928443e-10,-9.31625832349004,-81.46272855262788,-779.3744991115008,2.1161013427069286e-10,0.10758156060661017,3.0059674913286e-13
ref,2,1-10,self,-106.61159045203753,1.1188995254275882e-10,-11.845732272448615,-103.99257914803613,-782.2021980476813,1.993758379334922e-10,0.13629671550160835,1.7780065181979167e-13
ref,2,1-10,upstream,-568.8838623433552,2.0731618279963816e-09,-63.20931803815058,-562.9183464947628,-782.2021980476813,1.993758379334922e-10,0.7272849191209729,2.8358754711963845e-12
ref,2,1-10,cross,-106.4703577762203,2.536260762351024e-10,-11.830039752913367,-103.45771854540507,-782.2021980476813,1.993758379334922e-10,0.13611615774279645,3.5895599696151765e-13
ref,2,1-10,bias,-0.23638747606833932,3.3962352252217565e-15,-0.02626527511870437,-0.20574193261563778,-782.2021980476813,1.993758379334922e-10,0.00030220763462228173,8.140526841876632e-17
ref,2,1-10,upstream_growth,-592.7786504689192,2.468878775528726e-09,-65.86429449654658,-581.8263140778479,-782.2021980476813,1.993758379334922e-10,0.7578330154894102,3.349566373242505e-12
ref,2,1-10,upstream_rotation,23.89478812556395,4.322841577687619e-09,2.6549764583959945,26.012807178277633,-782.2021980476813,1.993758379334922e-10,-0.030548096368437173,5.5342912531549385e-12
ref,2,1-10,self_growth,-31.77364541111242,1.0839050870633301e-10,-3.530405045679158,-22.26625825777296,-782.2021980476813,1.993758379334922e-10,0.04062075699917116,1.4892931015099927e-13
