arm,iv,seed,group,step,credit,credit_per_unit,CE_improvement,CE_after
SNA,none,0,D_only,1,0.028477991939884272,0.001198357438200285,0.32626294437076286,4.1276308977167995
SNA,none,0,D_only,5,0.15279813986647084,0.006423417920873794,1.66645337145216,2.7874404706354023
SNA,none,0,D_only,10,0.2323034806101912,0.009776477181327584,2.44011098652234,2.0137828555652217
SNA,none,0,D_only,20,0.3224850490088613,0.013562381978256762,3.2831128739873208,1.1707809681002417
SNA,none,0,D_only,30,0.3699072877656974,0.01555775056973036,3.5679948073864356,0.8858990347011269
SNA,none,0,D_only,50,0.41232682158179246,0.01736044583493852,3.805882957952009,0.6480108841355537
SNA,none,0,D_only,100,0.4351678964887402,0.01831847306579466,3.959773235475158,0.49412060661240365
SNA,none,0,N_only,1,0.07069933344836926,0.0029732092349726187,0.32626294437076286,4.1276308977167995
SNA,none,0,N_only,5,0.3306381168681371,0.013909063743531064,1.66645337145216,2.7874404706354023
SNA,none,0,N_only,10,0.4633240387402894,0.01950749282958479,2.44011098652234,2.0137828555652217
SNA,none,0,N_only,20,0.6006421627061339,0.025308073872377743,3.2831128739873208,1.1707809681002417
SNA,none,0,N_only,30,0.629967675693686,0.026550724288525895,3.5679948073864356,0.8858990347011269
SNA,none,0,N_only,50,0.6738911911270817,0.028395869333261957,3.805882957952009,0.6480108841355537
SNA,none,0,N_only,100,0.6717672133310101,0.028320968377720288,3.959773235475158,0.49412060661240365
SNA,none,0,both,1,0.0037099504062905317,0.00289930760837169,0.32626294437076286,4.1276308977167995
SNA,none,0,both,5,0.01644913939771113,0.013137454326634317,1.66645337145216,2.7874404706354023
SNA,none,0,both,10,0.027221863827358056,0.022807755369425545,2.44011098652234,2.0137828555652217
SNA,none,0,both,20,0.03433828230817881,0.0293446839307226,3.2831128739873208,1.1707809681002417
SNA,none,0,both,30,0.0407276285954816,0.03556613555406501,3.5679948073864356,0.8858990347011269
SNA,none,0,both,50,0.04046969535297856,0.035924545842419824,3.805882957952009,0.6480108841355537
SNA,none,0,both,100,0.043133702893377944,0.03845598757823257,3.959773235475158,0.49412060661240365
SNA,none,0,rest,1,0.10844442191396952,0.0021114399361339725,0.32626294437076286,4.1276308977167995
SNA,none,0,rest,5,0.5492366087543307,0.01070149531075953,1.66645337145216,2.7874404706354023
SNA,none,0,rest,10,0.7890528756563056,0.015388294014255084,2.44011098652234,2.0137828555652217
SNA,none,0,rest,20,1.0846807077126794,0.021151063816937946,3.2831128739873208,1.1707809681002417
SNA,none,0,rest,30,1.1767673242392545,0.022952866763992198,3.5679948073864356,0.8858990347011269
SNA,none,0,rest,50,1.2590424823762725,0.024555885731787724,3.805882957952009,0.6480108841355537
SNA,none,0,rest,100,1.3545429489817138,0.026421226723307,3.959773235475158,0.49412060661240365
SNA,none,0,downstream,1,0.114931246662249,,0.32626294437076286,4.1276308977167995
SNA,none,0,downstream,5,0.6173313665655102,,1.66645337145216,2.7874404706354023
SNA,none,0,downstream,10,0.9282087276881963,,2.44011098652234,2.0137828555652217
SNA,none,0,downstream,20,1.2409666722514674,,3.2831128739873208,1.1707809681002417
SNA,none,0,downstream,30,1.3506248910923162,,3.5679948073864356,0.8858990347011269
SNA,none,0,downstream,50,1.4201527675138834,,3.805882957952009,0.6480108841355537
SNA,none,0,downstream,100,1.4551614737803162,,3.959773235475158,0.49412060661240365
SNA,none,1,D_only,1,0.02915315198063857,0.0012055897276464303,0.29194924270631567,3.9627054112620828
SNA,none,1,D_only,5,0.153613730190898,0.006347718438843328,1.533169732202313,2.721484921766085
SNA,none,1,D_only,10,0.2343085450340544,0.009684791328147101,2.283678050166543,1.9709766038018552
SNA,none,1,D_only,20,0.33336084608570254,0.013785828921430215,3.03338839338487,1.221266260583528
SNA,none,1,D_only,30,0.3685021401467976,0.015242819678314107,3.331144270440789,0.9235103835276096
SNA,none,1,D_only,50,0.4049920674260029,0.016737018376168752,3.543079777204298,0.7115748767641004
SNA,none,1,D_only,100,0.4247812944947834,0.017553124862058473,3.7165083887908894,0.5381462651775085
SNA,none,1,N_only,1,0.057177079262930454,0.002370368763942927,0.29194924270631567,3.9627054112620828
SNA,none,1,N_only,5,0.3131218375715287,0.012935337789181814,1.533169732202313,2.721484921766085
SNA,none,1,N_only,10,0.4674142454957522,0.01930958097939276,2.283678050166543,1.9709766038018552
SNA,none,1,N_only,20,0.6223059228428788,0.02571195633766176,3.03338839338487,1.221266260583528
SNA,none,1,N_only,30,0.6706707764691161,0.02769635184947547,3.331144270440789,0.9235103835276096
SNA,none,1,N_only,50,0.7174419997482777,0.02965133166312255,3.543079777204298,0.7115748767641004
SNA,none,1,N_only,100,0.7423323777364759,0.03067942594594239,3.7165083887908894,0.5381462651775085
SNA,none,1,both,1,0.0013505332790670684,0.001399716259000885,0.29194924270631567,3.9627054112620828
SNA,none,1,both,5,0.008880085588936463,0.010038864523754009,1.533169732202313,2.721484921766085
SNA,none,1,both,10,0.014087852606554178,0.015407469753765845,2.283678050166543,1.9709766038018552
