arm,iv,seed,group,window,side,gate_mean,upstream_mean_abs,delta_mean_abs,delta_signed_mean,samples_mean
SNA,none,0,ALL,1-5,positive,1.5351235452996324,0.10732436085661763,0.16524428172266506,0.02027347906922138,2474.7368421052633
SNA,none,0,ALL,1-5,negative,0.4246998615687789,0.10174666064137253,0.042931495020541714,-0.005807990096199274,5525.263157894737
SNA,none,0,ALL,6-20,positive,1.5311778690315874,0.07150121394843391,0.11001633653833216,0.007048222495406897,6986.105263157895
SNA,none,0,ALL,6-20,negative,0.4112031074750644,0.06618086450602254,0.0270642103477546,-0.0014647324624753484,17013.894736842107
SNA,none,0,ALL,21-50,positive,1.535146192250277,0.042792589734908806,0.06609377439127631,-0.0005185534347310578,13228.736842105263
SNA,none,0,ALL,21-50,negative,0.4090203407789183,0.03903067446239323,0.015886462260733928,-0.0002749303040475567,34771.26315789474
SNA,none,0,D_only,1-5,positive,1.4327475925886053,0.11088157128224418,0.16003521523941866,0.012927868776130938,224.31578947368422
SNA,none,0,D_only,1-5,negative,0.4534020477591104,0.10385109139603477,0.04620458893863901,-0.008041906407037646,1674.6315789473683
SNA,none,0,D_only,6-20,positive,1.4559424715045373,0.07174481755202396,0.10534221020020268,0.008648533997508761,760.6315789473684
SNA,none,0,D_only,6-20,negative,0.4253214720661848,0.06780449649666091,0.028357525842938613,-0.0011660495980307757,4936.210526315789
SNA,none,0,D_only,21-50,positive,1.4747482950453956,0.04300095104446798,0.06393811580182127,0.001394467190691198,1748.4736842105262
SNA,none,0,D_only,21-50,negative,0.4256448125690374,0.04009256924041925,0.016793503673665472,-0.0002947000231136262,9645.21052631579
SNA,none,0,N_only,1-5,positive,1.574189449469834,0.10567241624183164,0.16702375264323163,0.01990714267992976,904.2631578947369
SNA,none,0,N_only,1-5,negative,0.4208467910686876,0.10077500430781358,0.04237552161375269,-0.003286011657676273,994.6842105263158
SNA,none,0,N_only,6-20,positive,1.5690685813233172,0.07070859602607399,0.11160821160951148,0.007976249229913962,2390.4736842105262
SNA,none,0,N_only,6-20,negative,0.40492779125309886,0.06459122771698465,0.026424294902485254,-0.0018137809260297918,3306.3684210526317
SNA,none,0,N_only,21-50,positive,1.5700166719336401,0.04250207067326831,0.06695016582312263,-0.0006816189644867867,4189.0526315789475
SNA,none,0,N_only,21-50,negative,0.4002203900666844,0.03813684061066056,0.015346810959962367,-0.00022678316511200904,7204.631578947368
SNA,none,0,both,1-5,positive,1.5002564582576903,0.1192983937869337,0.17909934496017554,0.03101892518199735,41.05263157894737
SNA,none,0,both,1-5,negative,0.4525922982310834,0.1169486029291138,0.053026873267005344,0.003330675451838816,60.0
SNA,none,0,both,6-20,positive,1.4824891926224557,0.0786998162081552,0.11684707777069622,0.01044077175844033,100.78947368421052
SNA,none,0,both,6-20,negative,0.3940460574178014,0.07325397395964857,0.02988899729726202,-0.002788060257669401,202.3684210526316
SNA,none,0,both,21-50,positive,1.5010663808127112,0.04632440773977126,0.06957967644036235,-8.803523810812548e-05,170.8421052631579
SNA,none,0,both,21-50,negative,0.3873484619128979,0.04246665081555086,0.017282520810347975,-0.0003428790580165642,435.4736842105263
SNA,none,0,rest,1-5,positive,1.5257490589344274,0.10723495467167217,0.16394772888731046,0.021078797834482736,1305.1052631578948
SNA,none,0,rest,1-5,negative,0.4082702615376056,0.10048321768479597,0.04096939578337579,-0.0055138600119084245,2795.9473684210525
SNA,none,0,rest,6-20,positive,1.5225545284929083,0.07162618259812188,0.10944284952229406,0.006088659471950495,3734.2105263157896
SNA,none,0,rest,6-20,negative,0.4063548090483275,0.0656609931177528,0.026530712535994438,-0.0014777729080182262,8568.947368421053
SNA,none,0,rest,21-50,positive,1.5285872323236667,0.042672494767569034,0.06569292695991354,-0.0008498664760396621,7120.368421052632
SNA,none,0,rest,21-50,negative,0.4046921190227733,0.03871427483372731,0.015603180697937091,-0.0002691093370371966,17485.947368421053
SNA,none,1,ALL,1-5,positive,1.5435307528601703,0.10546668424123233,0.16310991777353712,0.01998398723754508,2309.0526315789475
SNA,none,1,ALL,1-5,negative,0.4376642482324858,0.10017814222997473,0.0424601126481146,-0.005822708469352823,5690.9473684210525
SNA,none,1,ALL,6-20,positive,1.540741164435539,0.07065228193897591,0.10904770366680215,0.005862658321012431,6503.526315789473
SNA,none,1,ALL,6-20,negative,0.41900149081603716,0.06653245683358248,0.02723933972894264,-0.0014171229224987953,17496.473684210527
SNA,none,1,ALL,21-50,positive,1.5434712564340913,0.042560731306661305,0.06589090324386278,-0.00014346094591553368,12603.21052631579
SNA,none,1,ALL,21-50,negative,0.4200590752388585,0.03960417665865651,0.016197959469977964,-0.00018924666959642817,35396.78947368421
SNA,none,1,D_only,1-5,positive,1.424253952901827,0.10822377902025611,0.1532820208122263,0.006226774411367198,195.73684210526315
SNA,none,1,D_only,1-5,negative,0.4648699214122886,0.10358502952978571,0.04583686583344296,-0.009846316492332608,1741.1052631578948
SNA,none,1,D_only,6-20,positive,1.4576490057267746,0.07056427630920735,0.10239929985493298,0.007630098110724572,713.8947368421053
SNA,none,1,D_only,6-20,negative,0.4320775867594453,0.0698311765258095,0.02913001924038067,-0.0010894484528921567,5096.631578947368
SNA,none,1,D_only,21-50,positive,1.488253915590878,0.04295508259754821,0.06380293161191639,0.0013033095063158427,1742.2631578947369
SNA,none,1,D_only,21-50,negative,0.42828810023579744,0.04147989484100573,0.017124594214962582,-0.00030467353632293305,9878.78947368421
SNA,none,1,N_only,1-5,positive,1.563498188960182,0.10353500494768321,0.1617968133523174,0.021572519725013988,918.421052631579
