arm,iv,seed,group,step,n_units,actual,W,b,star,alignment,history,data,l2,positive,negative,history_W,history_b,data_W,data_b,l2_W,l2_b,sgd_data,sgd_l2,sgd_mean,sgd_cov,pre_history,pre_history_W,pre_history_b,within_history,rounding,gate_mean,gate_rms,upstream_rms,local_delta_rms,positive_fraction,gW_norm,gb
SNA,none,0,ALL,1,100.0,-0.003714695194235673,-0.0036894823434708876,-2.5212850764785943e-05,-0.001407000955426812,-0.0023076942388088606,0.00023321192393621574,-0.003947906286644155,0.0,-0.009364585751097543,0.005416679466638103,0.00022710011986555123,6.111804070664591e-06,-0.003916581510833758,-3.132477581039786e-05,0.0,0.0,-0.0002133719229945978,0.0,-0.00018681458240262387,-2.6557331794561098e-05,0.00023321193020389862,0.00022710012601664074,6.111804187257923e-06,-6.267682839592183e-12,-8.315277323823169e-10,0.7786939319811371,0.9706556380422494,0.14196157355057565,0.13712403146844157,0.31588815789473684,0.39579136296322476,0.004893168548220082
SNA,none,0,ALL,2,100.0,-0.011221680772338191,-0.011137679678731633,-8.400109360656259e-05,-0.004300573654450827,-0.0069211071178873675,-0.0028106945302812914,-0.008410986422671001,0.0,-0.017375531478988966,0.008964545055347767,-0.0027950613448698026,-1.5633185411489406e-05,-0.008342618187345439,-6.8368235325561e-05,0.0,0.0,-0.00045407516328979685,0.0,-0.0004183480637177883,-3.57270806498725e-05,0.0004407433891090045,0.0004291295076090666,1.1613881499937874e-05,-0.0032514379193902972,1.8061409717402028e-10,0.7719998650801809,0.9635366098504317,0.13792334104839124,0.13283529080842674,0.3123026315789474,0.3502209161457263,0.006064474502284275
SNA,none,0,ALL,3,100.0,-0.019030024373198808,-0.018882063936533605,-0.00014796043666520794,-0.007327446747547755,-0.011702577625651054,-0.009275198639087842,-0.00975482672469557,0.0,-0.02276129796066444,0.013006471230956917,-0.009207466356692857,-6.773228239498608e-05,-0.009674598164199496,-8.022856049607576e-05,0.0,0.0,-0.0005651801954455148,0.0,-0.000511095005381415,-5.4085174201926465e-05,0.00062184766078314,0.0006053057330112504,1.6541927771889346e-05,-0.009897046299870982,9.905846038149464e-10,0.7718553402549343,0.9668970850894324,0.1290115361464651,0.12423085564061216,0.3076973684210526,0.33318102686028733,0.002429287859091633
SNA,none,0,ALL,4,100.0,-0.024605357687398556,-0.024407212530160698,-0.00019814515723785576,-0.009523319383830178,-0.015082038303568378,-0.016229659783002007,-0.00837569894670371,0.0,-0.025246961829701375,0.01687126288911833,-0.01610468127094075,-0.0001249785120612498,-0.00830253186907501,-7.316707762870017e-05,0.0,0.0,-0.0005421077740900383,0.0,-0.0004993330189863893,-4.277474148019073e-05,0.0007835089374131532,0.0007625463342570934,2.0962603156059816e-05,-0.01701316872041516,1.04230715648624e-09,0.7621237865247225,0.9567503276624177,0.12675685029280812,0.12173413828799601,0.30424342105263164,0.3111583840219598,-0.0003080774490770542
SNA,none,0,ALL,5,100.0,-0.028522261249469667,-0.028294158701097014,-0.00022810254837263763,-0.011155279978882436,-0.017366981270587223,-0.021311648623226376,-0.007210613922046168,0.0,-0.02681481112245682,0.019604197206202573,-0.021141557796028804,-0.00017009082719757226,-0.007152602056497206,-5.801186554895852e-05,0.0,0.0,-0.0005115900623469999,0.0,-0.0004365763326341045,-7.501371720134564e-05,0.0009284376342089988,0.0009034835429523368,2.4954091256662127e-05,-0.02224008625743538,1.2958028834479988e-09,0.7568840669330799,0.9511101933529501,0.11743289997703152,0.11064663385090075,0.306578947368421,0.2751975159896048,-0.001643763555115775
SNA,none,0,ALL,6,100.0,-0.03306860278070447,-0.032806070226033456,-0.0002625325546710213,-0.013004374365162703,-0.02006422841554177,-0.024845586621314305,-0.00822301767851869,0.0,-0.02929260143424192,0.021069583768144023,-0.02464852747223777,-0.0001970591490765344,-0.00815754408226501,-6.54735962536825e-05,0.0,0.0,-0.0005808750239320036,0.0,-0.0004944758358219869,-8.639917441080864e-05,0.0010591419960087009,0.001030583393915862,2.8558602092839036e-05,-0.025904728617323004,1.5191285233322503e-09,0.7548019369024979,0.9480076518811678,0.11034817294070597,0.10397103309631349,0.3,0.252859751048841,0.001516541128880099
SNA,none,0,ALL,7,100.0,-0.037818029013583165,-0.037523541805433734,-0.0002944872081494204,-0.014859000359437836,-0.022959028654145314,-0.028931304251800367,-0.008886726546963312,0.0,-0.03188050884049597,0.022993782301166138,-0.028703212652666364,-0.00022809159913399888,-0.008820330862201442,-6.639568476187194e-05,0.0,0.0,-0.0006277978251399658,0.0,-0.0005075039644266935,-0.0001202938438708159,0.0011751563864511717,0.0011433720008865993,3.178438556457243e-05,-0.030106460638251537,1.7851805185612108e-09,0.7475099262438324,0.943132300125925,0.11110903539155659,0.10487661662854646,0.3005263157894736,0.26746146252280784,0.00034124114207531266
SNA,none,0,ALL,8,100.0,-0.04298186338286959,-0.042655880693853045,-0.00032598268901653534,-0.016887657061893126,-0.026094206320976466,-0.03325445024011484,-0.009727415647735115,0.0,-0.0334124925460285,0.023685076908329522,-0.03299747495734482,-0.0002569752827700364,-0.009658408101346336,-6.900754638877735e-05,0.0,0.0,-0.0006702648584599875,0.0,-0.0005247591523489713,-0.00014550568383935896,0.001279061390568272,0.0012443854207704532,3.467596979781835e-05,-0.03453351163068314,2.504980376848737e-09,0.7566130788702714,0.9527621138723272,0.10460327148437501,0.09898195567883945,0.3025657894736842,0.24276809290835732,0.00045195898041129135
SNA,none,0,ALL,9,100.0,-0.04786004509201032,-0.0475097789418574,-0.0003502661501529234,-0.018776951153647956,-0.029083093938362375,-0.037971695974164214,-0.009888352483549153,0.0,-0.03559430318984374,0.0257059507092251,-0.03768606871813685,-0.00028562725602735095,-0.009823713701730097,-6.463878181905554e-05,0.0,0.0,-0.0006988134715231153,0.0,-0.0005090201746045966,-0.00018979327206620632,0.0013712223939661356,0.0013339674781559976,3.72549158101375e-05,-0.03934291836813033,3.3657030316997314e-09,0.7471012276097347,0.9421082667300577,0.10040132422196239,0.0945414786589773,0.2958552631578947,0.24564671968158922,-0.0004122455731818551
SNA,none,0,ALL,10,100.0,-0.05202140139363509,-0.05165348600430485,-0.0003679153893302244,-0.02035923417221339,-0.03166216722142169,-0.04241638447747629,-0.009605020061002173,0.0,-0.03676256659395126,0.027157546534984412,-0.04210873909537795,-0.0003076453820983446,-0.009544750111437034,-6.0269949565138036e-05,0.0,0.0,-0.0006982259098069791,0.0,-0.0004963327106288568,-0.00020189317210716606,0.001453611778195307,0.0014140396378654139,3.957214032989365e-05,-0.04386999625567158,3.1448433644689646e-09,0.7485671876606189,0.9428566661633945,0.0986818484256142,0.09289619370510703,0.2992434210526316,0.221638893328215,-0.00033231826695172414
SNA,none,0,ALL,11,100.0,-0.05793960768327903,-0.057539828974317954,-0.00039977870896109376,-0.022559666589071672,-0.03537994109420736,-0.04619590214636136,-0.011743710144583312,0.0,-0.03966635275636393,0.027922642618979306,-0.04587222857933027,-0.00032367356703107586,-0.0116676048172976,-7.610532728571064e-05,0.0,0.0,-0.0007999043916356603,0.0,-0.0005902710490838536,-0.00020963331068990314,0.0015276321573045794,0.0014859793003181188,4.1652856986460115e-05,-0.04772353430366593,4.607665614644308e-09,0.7474515051590768,0.940636652896279,0.09683225330553556,0.09033178279274387,0.299375,0.2169384705392938,0.0024604937473410053
SNA,none,0,ALL,12,100.0,-0.06600318799346239,-0.06555531161190326,-0.0004478763815591504,-0.025525289572731136,-0.040477898420731254,-0.05151662769551707,-0.014486564480734853,0.0,-0.04322145038890376,0.02873488591398677,-0.0511641826257674,-0.0003524450697496818,-0.014391132852281873,-9.543162845297814e-05,0.0,0.0,-0.00092275310464597,0.0,-0.000696905217864423,-0.00022584784892406515,0.0015940999029425364,0.0015505756048691576,4.352429807337857e-05,-0.053110727598459605,4.182789541599089e-09,0.7373983925267269,0.9347169334010073,0.09259076369436164,0.08671915907608838,0.2918421052631579,0.21773795579609115,0.0027930311741013276
SNA,none,0,ALL,13,100.0,-0.07315305827685661,-0.07266643152361618,-0.0004866267532404316,-0.028159673500466314,-0.044993384776390304,-0.05876976223361102,-0.014383299685375418,0.0,-0.04366526623175813,0.02928196654726544,-0.058374037634391,-0.0003957245992200285,-0.014292397278239388,-9.090240713603215e-05,0.0,0.0,-0.0009235411203953645,0.0,-0.0006808992717508307,-0.00024264180558917692,0.0016535838592126259,0.0016083800353292662,4.5203823883360156e-05,-0.060423346092823675,3.6421298286114222e-09,0.7299245894582648,0.925916394685444,0.08745267591978374,0.08010706299229672,0.28967105263157894,0.19794057143361946,-0.0004192381234545459
SNA,none,0,ALL,14,100.0,-0.08142453537992023,-0.08089047928122893,-0.0005340560986913165,-0.031200641835052275,-0.05022389354486795,-0.06522713774057094,-0.01619739944418681,0.0,-0.04608218297332875,0.029884783530454036,-0.0647964365198308,-0.0004307012207401467,-0.01609404446959099,-0.0001033549745958216,0.0,0.0,-0.0010153591910713662,0.0,-0.0007541302543162854,-0.00026122888872785505,0.0017070198711849772,0.0016603051029549006,4.671476823007625e-05,-0.06693415761175592,1.8048375215752944e-09,0.7339873705412212,0.9318047252454256,0.08579673541219611,0.08040592218700209,0.28828947368421043,0.1974289070932488,0.0019181133193993255
