bundle,seed,n_probes,same_traj,c_tot,share_W1,share_W2,share_W3,share_b,GL_W1,cosGu_W1,u_W1,Cimg_W1,imgsumL_W1,top10share_W1,out_u_W1,out_G_W1,wnorm,cost_pred,k_eff,GL_W2,u_W2,cosGu_W2,Cimg_W2,norm_W2,GL_W3,u_W3,cosGu_W3,Cimg_W3,norm_W3,cost_emp
I_next,0,199,True,0.00025869364,0.18608139,0.1660757,0.6795461,0.00058507391,0.45046045,0.061441828,0.0051596412,0.033197328,14.231366,0.04834343,0.041137441,0.086980297,277.11303,78.522303,452.64044,2.1129873,0.00076869542,0.072695472,0.038637461,42.571806,18.528018,0.00016858462,0.0029620512,0.050915474,4.1171191,244.63298
I_next,1,205,True,0.00036029703,0.28997565,0.21739016,0.52395302,0.00064660389,0.46405662,0.085130134,0.0048364019,0.031858203,15.196204,0.050792847,0.039247339,0.087910294,273.45455,91.846826,382.33917,2.2445777,0.00073048052,0.085622573,0.03995243,41.794278,16.714358,0.00016243271,0.060105377,0.052786333,4.0019893,230.4834
I_next,2,200,True,0.00036285847,0.2283257,0.18139741,0.53496502,0.00071976485,0.5032562,0.069602255,0.0053303886,0.033999026,15.39694,0.05146278,0.038918321,0.081939582,274.60871,81.612308,398.68298,2.1572213,0.00077824349,0.084266646,0.03794351,42.539464,14.805492,0.00016477168,0.052108823,0.049106396,4.103996,250.49506
I_next,3,197,True,0.00043902824,0.26368487,0.2395433,0.4391512,0.0006804469,0.41955869,0.090692064,0.0045123191,0.029022404,14.876256,0.045841328,0.041156081,0.097975778,268.91406,119.05947,426.41405,1.8944744,0.00069715055,0.12657598,0.034211769,39.868108,12.566738,0.00015133224,0.071493374,0.043445716,3.5361988,200.94189
I_next,4,204,True,0.00031863612,0.2357035,0.20913666,0.54930219,0.00059078676,0.46189665,0.088516469,0.0049143872,0.032176556,14.584906,0.050604544,0.039479646,0.091106408,274.84734,69.578635,469.24059,1.933092,0.00078181521,0.096201489,0.03644111,42.369241,16.447452,0.00015537647,0.039676371,0.046866934,3.7535689,232.8392
I_next,5,221,True,0.00051781676,0.29184177,0.24626512,0.4244548,0.00065638861,0.48021385,0.11107821,0.0037619898,0.03229166,15.87488,0.05544267,0.036559408,0.092073816,261.87836,80.232211,325.49161,1.9745028,0.0006617959,0.12101007,0.03488762,37.167679,9.8502335,0.00015441113,0.14535745,0.040085666,3.0553274,148.78927
I_next,6,211,True,0.00049928691,0.27727571,0.24265128,0.46761936,0.0005409413,0.41061539,0.13291973,0.00389295,0.029025733,15.378997,0.049033637,0.040263343,0.099420494,268.93898,83.600314,407.99956,1.7991126,0.00065206626,0.12654764,0.033708648,39.524943,12.861987,0.00014765819,0.098427871,0.043345296,3.3214153,189.51
I_next,8,207,True,0.00032571717,0.26152424,0.21855348,0.49232801,0.00065667174,0.46394429,0.067840362,0.0054557061,0.032578243,15.029086,0.047504987,0.040812958,0.088955411,270.69101,104.6399,435.03016,1.8821279,0.00081884638,0.089518929,0.035567492,41.394438,14.842334,0.00016801217,0.055650523,0.045107487,3.875463,260.14015
I_next,9,217,True,0.0004271645,0.24684749,0.2245729,0.48865044,0.00080684318,0.43411842,0.11975775,0.0041184263,0.029707699,15.332479,0.048013926,0.038866818,0.099699407,261.99487,79.561337,363.3145,1.9581053,0.00068734416,0.11178002,0.034703015,37.514706,11.30082,0.00016884335,0.10079423,0.041882053,2.9135927,164.12059
I_C,0,202,True,0.00054377918,0.20608649,0.21220383,0.56472042,0.00057103118,0.39844697,0.11904412,0.0047740355,0.028467092,14.743042,0.041504228,0.041114596,0.097906345,277.05539,84.495604,470.66415,1.9024073,0.00075720066,0.11628857,0.035121306,42.479499,16.946158,0.00015557508,0.063852374,0.047349897,4.1390139,227.93517
I_C,1,206,True,0.00037887959,0.19043319,0.19735017,0.60448548,0.00083351348,0.45958922,0.084190968,0.004388494,0.032591891,15.152705,0.05309464,0.039182427,0.087013412,273.52728,74.135003,326.98459,2.2285244,0.00069966463,0.087268225,0.038800204,41.839302,15.585994,0.00016040719,0.056346759,0.048908837,4.0139858,220.56977
I_C,2,206,True,0.00044897461,0.23988319,0.18783538,0.5350627,0.00079045183,0.45519842,0.09644037,0.0050719501,0.03360142,14.361101,0.057323969,0.041279246,0.088319406,274.34976,77.207108,355.5127,2.179565,0.00077508644,0.090777684,0.041079979,42.554561,15.105794,0.00016791348,0.04000994,0.050385928,4.1042391,262.00449
I_C,3,215,True,0.00049806275,0.25982708,0.23977669,0.50967809,0.00071382899,0.45586186,0.10088782,0.0044871999,0.03128012,15.045486,0.048447222,0.040499723,0.093201862,268.77491,86.915489,416.06717,2.0229138,0.00068999693,0.11122539,0.036043372,39.839585,14.809514,0.0001502216,0.087843198,0.047728161,3.5304244,222.65601
I_C,4,208,True,0.00040554952,0.20969447,0.1967444,0.58275425,0.00057282511,0.46936067,0.070467056,0.0047684708,0.032342481,15.147228,0.04843388,0.040144364,0.08595277,274.92758,87.226722,491.34052,1.9706913,0.00073201152,0.090759751,0.036049466,42.328696,16.693707,0.00014883438,0.047036152,0.046268894,3.7449591,238.12703
I_C,5,204,True,0.00053763571,0.34312877,0.27383251,0.36550072,0.00044338754,0.44831437,0.13414357,0.0035106566,0.030787478,15.63383,0.051175649,0.036234854,0.096247459,261.65869,92.6466,286.88831,1.8972334,0.00059693067,0.15183447,0.032985485,36.965997,8.812737,0.00013952753,0.19110519,0.035688276,3.0306224,140.12692
I_C,6,195,True,0.00049430603,0.27513292,0.22004435,0.4970655,0.00057642939,0.41306269,0.10182665,0.0047077955,0.028823343,14.755466,0.042130518,0.041769609,0.10274326,269.82602,108.64729,441.08227,1.8760281,0.00072678647,0.11603156,0.033970373,39.799392,14.46499,0.0001393853,0.10784144,0.044371385,3.3055101,219.39579
I_C,7,202,True,0.0004819408,0.316716,0.24450605,0.39323124,0.0007504164,0.4631419,0.096071156,0.0037701839,0.031832092,15.198524,0.05705536,0.035998751,0.091892624,263.59948,72.630508,352.61793,1.8946409,0.00064303108,0.1302949,0.034119651,37.636666,9.8443037,0.00014991044,0.14002844,0.038939529,3.3423459,119.13862
I_C,8,202,True,0.00045023944,0.2788839,0.2328515,0.49295114,0.00051405937,0.45530736,0.092989047,0.0047653237,0.030838121,15.487054,0.04931366,0.039401044,0.092051895,270.55183,98.107183,436.74417,1.7930066,0.00074314804,0.11127664,0.034122842,41.353054,13.662535,0.00014541366,0.070041368,0.042316647,3.875735,227.32846
I_C,9,203,True,0.00048162291,0.33130264,0.24442702,0.40859382,0.00064236977,0.45963975,0.088847365,0.0044769316,0.030297516,15.846518,0.044614993,0.03901683,0.094246967,262.16745,102.60806,438.61732,2.0219576,0.00072658185,0.10956939,0.033330332,37.538824,11.514551,0.00014538416,0.095240019,0.041268955,2.8871841,176.45378
I_rev,0,214,True,0.00043532038,0.24996197,0.21565275,0.5239038,0.00061498039,0.43023366,0.15296149,0.0029941849,0.028146271,16.088948,0.045942482,0.03518729,0.08982836,277.3615,60.209217,414.1221,1.9529756,0.00051154931,0.14087692,0.036370757,42.712578,16.497438,0.00014927296,0.078322544,0.046180733,4.1798085,151.17234
I_rev,1,220,True,0.00033479693,0.17008789,0.17423418,0.64721884,0.00065065813,0.46375783,0.15659732,0.0031957353,0.028627907,16.834565,0.048146736,0.034316804,0.085571625,273.69923,46.00034,420.1698,2.240904,0.00053866636,0.11727812,0.036896619,42.06206,17.710045,0.00016334126,0.0060662906,0.051808472,4.0678887,152.17959
I_rev,2,218,True,0.00051207248,0.2086735,0.17194986,0.58257008,0.00065619703,0.48981211,0.13958035,0.003386594,0.03072862,16.832204,0.055482427,0.03314007,0.079514293,274.56754,49.277275,332.85915,2.1915065,0.00058222517,0.12300888,0.036756588,42.719654,16.133885,0.0001651225,0.061829091,0.051067108,4.1324012,161.70119
I_rev,3,223,True,0.00049164457,0.31323943,0.23288433,0.44686948,0.00052665307,0.44805618,0.16924411,0.0028342847,0.027357155,17.785498,0.04565088,0.035966134,0.090382906,268.81575,62.713087,442.05944,2.0847936,0.00049760001,0.15331799,0.034024751,40.01501,13.674959,0.00014741694,0.094841933,0.042746118,3.5914848,155.33101
I_rev,4,215,True,0.00051013611,0.24340541,0.19463156,0.56505709,0.00056662428,0.4342762,0.175641,0.0027747226,0.027022501,16.864691,0.047048242,0.034723162,0.091122261,275.0778,50.096455,472.22441,1.9522216,0.00049408726,0.14861044,0.033127625,42.57416,16.093082,0.00015125174,0.085162801,0.044011516,3.8311777,146.76974
I_rev,5,223,True,0.00054661016,0.34591145,0.24965934,0.38039344,0.00053892305,0.49115823,0.14922458,0.0031893671,0.029886528,17.473337,0.049343466,0.032961711,0.086466534,261.61719,71.864943,409.05623,1.9191281,0.00052565335,0.16047305,0.033969444,37.257005,10.674822,0.00014102253,0.14286562,0.040513518,3.0415342,109.57508
I_rev,6,222,True,0.00042355906,0.24879867,0.22031236,0.49044653,0.0004340048,0.43419217,0.16376005,0.0030204478,0.028302569,16.384302,0.048498351,0.036549288,0.092413223,269.37222,66.569885,445.7979,2.001109,0.00052666218,0.13619288,0.035237139,39.842991,15.021175,0.0001489876,0.043740504,0.046524689,3.338724,157.42628
I_rev,7,215,True,0.00053305302,0.33059483,0.2514993,0.43314626,0.00055269539,0.52835433,0.10757515,0.0034403873,0.032078355,16.848959,0.061539139,0.031046513,0.08276204,263.86094,51.714399,373.80938,2.1638298,0.00056463709,0.1302996,0.035390546,37.884044,12.425477,0.00015717691,0.097116271,0.046102188,3.3455912,85.044549
