hit999,status,rest,quiet,burst,n_bursts,first_burst_step,min_correct_rest,pre_start,pre_end,pre_len,pre_growth,pre_rate,radWh,newD,fitF,oldW0,fit_sq,share_new,decomp_check,pre_band_top,pre_band_mid1,pre_band_mid2,pre_band_low,pre_band_mu,pre_band_comp,quiet_band_top,quiet_band_mid1,quiet_band_mid2,quiet_band_low,quiet_band_mu,quiet_band_comp,n_1k,sqrt_kappa,kappa,rms_u,wnorm,cos_1k,keff_med,log_keff_med,ce32_med,log_ce32_med,ce32_zero_frac,log_resid_mean_med,keff32_med,nact2_med,margin_med_start,margin_min_start,margin_q10_start,sqrtv_med,frac_sqrtv_lt_eps,frac_sqrtv_lt_10eps,ratio_mean,kappa100,kappa_g100,n2_rest,n3_rest,n1_start,n1_h,n1_end,bundle,seed
3600,ok,3269.982,2871.5556,398.42641,1,26000,880,4100,25900,21800,2867.0628,0.13151664,2290.2162,576.84662,1172.6769,1117.5393,2440.9574,0.20119776,-1.0004442e-11,493.79824,1497.5888,752.67478,122.88022,-0.52598359,0.64672316,494.32007,1498.9614,754.82973,123.32081,-0.5235495,0.64712249,20,0.20741417,0.043020699,0.0052763505,276.80908,0.19340394,450.63327,6.1106539,2.0693473e-05,-10.785692,0,-10.785533,450.40025,1020,5.3554993,0.8543396,3.4891343,4.4482886e-06,0,0,0.0074993943,0.090635078,0.0049336037,134.54405,3.7855279,77310.035,75305.444,78575.426,I_next,0
4500,ok,3196.3512,2636.2373,560.11385,1,27500,822,5000,27400,22400,2634.1873,0.11759765,2149.5304,484.65692,1043.8935,1105.6369,2909.1714,0.18398726,3.1832315e-12,421.02851,1470.3811,627.97337,114.85673,-0.52728985,0.47493023,419.69203,1472.4142,629.00102,115.1812,-0.52694182,0.47585162,22,0.2130346,0.045383781,0.0050804331,273.14725,0.18432623,375.46989,5.9281783,1.5571637e-05,-11.070059,0,-11.069863,375.17778,891,6.075943,0.93133545,3.7975967,3.9457382e-06,0,0,0.0069241264,0.09337505,0.0048494537,145.11189,4.644062,75217.41,73520.152,76716.504,I_next,1
4600,ok,3337.351,2853.2447,484.10627,1,27100,887,5100,27000,21900,2851.2898,0.13019588,2311.4333,539.85653,1132.5797,1178.8536,2815.362,0.18933766,1.0004442e-11,454.1777,1504.8305,752.4337,139.95844,-0.79014232,0.67956862,453.59412,1505.962,753.57382,140.22569,-0.79114719,0.68022879,21,0.20247564,0.040996385,0.0053796347,274.41005,0.1925559,394.49201,5.9775978,1.4600377e-05,-11.135017,0,-11.134768,394.1557,913.5,5.7552795,1.330513,3.6774964,3.4095657e-06,0,0,0.007636723,0.087541587,0.0045887374,156.83805,4.5238686,75713.917,73986.651,77324.002,I_next,2
4300,ok,2784.5472,2341.3875,443.15973,1,26500,757,4800,26400,21600,2337.8296,0.10823285,1888.1768,449.65281,1024.6126,863.56419,2619.467,0.19233771,1.4551915e-11,383.09031,1218.2434,621.64752,114.83781,-0.53270057,0.54328959,384.25074,1218.3459,623.40919,115.36503,-0.52833421,0.54497267,21,0.21769377,0.047390578,0.0048046295,268.62056,0.18780825,412.64381,6.0225848,1.6683731e-05,-11.001077,0,-11.000958,412.54584,971,5.8454781,1.1419334,3.8722222,4.1273724e-06,0,0,0.0066934161,0.092856134,0.0049429657,112.29443,3.5624629,72628.814,71043.845,73828.393,I_next,3
3500,ok,3071.7865,2708.0136,363.77287,1,26400,644,4000,26300,22300,2705.4943,0.12132261,2194.4146,511.07972,965.74986,1228.6647,2233.0875,0.18890438,1.1368684e-11,422.48032,1476.8847,687.28124,118.87591,-0.61427267,0.58637355,421.91779,1477.8274,689.062,119.23342,-0.61411946,0.58711101,22,0.21295544,0.045351719,0.0050196981,274.54648,0.18983837,460.80268,6.1329697,1.6021993e-05,-11.041955,0,-11.041654,460.35493,1022,5.4798126,0.72077179,3.791507,3.9663407e-06,0,0,0.0071134359,0.091061988,0.0049251464,134.85094,3.7345562,76101.794,74198.269,77270.056,I_next,4
4500,ok,2334.273,1797.796,536.47701,1,29100,802,5000,29000,24000,1797.796,0.074908167,1463.1426,334.65343,773.71293,689.42965,2714.2625,0.1861465,-1.2278178e-11,240.19646,1009.9949,464.04818,83.662487,-0.50227731,0.39627272,240.19646,1009.9949,464.04818,83.662487,-0.50227731,0.39627272,24,0.21953002,0.048193828,0.0038750316,261.67565,0.16391375,311.86041,5.7425557,7.8892499e-06,-11.750009,0,-11.749347,308.02038,864,6.4842782,0.27205563,4.0403576,2.8122613e-06,0,0,0.0053717831,0.095210056,0.0050763915,108.51755,4.4110915,68595.872,67576.604,69910.877,I_next,5
4200,ok,2636.5356,2142.4376,494.09796,1,27800,802,4700,27700,23000,2140.9026,0.09308272,1766.2812,374.62134,886.82258,879.45864,2716.6886,0.1749829,1.0913936e-11,333.68659,1160.8271,554.18158,92.170313,-0.49026011,0.52725563,332.96831,1161.8939,555.16652,92.370614,-0.4899233,0.52822139,22,0.23475772,0.055111223,0.0039373586,268.69271,0.17150033,401.12301,5.9942681,1.0987937e-05,-11.418713,0,-11.418542,400.98935,935,6.3818588,1.7076111,4.1980515,3.5747225e-06,0,0,0.0055965974,0.10178206,0.0052034749,127.57478,4.081305,72817.517,71307.419,73943.955,I_next,6
3800,ok,2066.7748,1153.8018,912.97298,2,4900,724,4300,4800,500,85.337258,0.17067452,82.86311,2.4741486,61.415202,21.447908,2222.7893,0.028992595,5.1727511e-12,12.19519,43.983454,24.997469,4.1586363,-0.025480911,0.027989399,90.203854,616.79945,379.00781,67.677944,-0.39781479,0.51058282,0,,,,,,212.52215,5.3586467,0.014621774,-4.2262992,0,-4.270869,212.52213,630.5,5.6773338,1.1685104,3.622416,0.00077191525,0,0,0.021298992,0.097841457,0.0049706235,72.240471,3.9483107,69606.743,68398.083,70464.858,I_next,7
3500,ok,3520.2906,3083.9629,436.32768,1,26700,681,4000,26600,22600,3081.3249,0.13634181,2489.998,591.32688,1105.341,1384.6571,2353.0087,0.19190669,8.6401997e-12,531.22788,1695.9817,716.54516,137.84257,-0.85567373,0.58328131,530.33748,1697.6094,717.86145,138.4229,-0.85363729,0.58533468,22,0.20242688,0.040976646,0.0054812806,270.33393,0.19907796,431.14796,6.0664513,1.5382935e-05,-11.082252,0,-11.081931,430.60565,980,5.3300896,1.234108,3.445708,3.6037609e-06,0,0,0.0078266211,0.087512207,0.0047149727,160.25628,4.4707115,73610.734,71741.418,75261.709,I_next,8
4100,ok,2412.8299,1990.5812,422.24873,1,28300,781,4600,28200,23600,1989.3929,0.084296311,1592.5983,396.79462,829.53619,763.06214,2386.4354,0.19945513,-2.4556357e-11,274.73944,1049.4329,571.18745,93.995636,-0.46003372,0.49755631,274.5404,1050.2007,571.7176,94.084685,-0.46011155,0.49798244,23,0.22076114,0.048735479,0.004173116,261.77661,0.17052613,356.39789,5.8760478,1.1046226e-05,-11.413422,0,-11.413121,355.41516,866,6.0652428,1.3638897,3.783437,3.3668671e-06,0,0,0.0059301942,0.097215002,0.0051744944,110.12597,4.0496074,68658.583,67511.738,69924.568,I_next,9
3600,ok,3146.1442,2696.9675,449.1767,1,26300,766,4100,26200,22100,2694.2101,0.12190996,2153.4126,540.79751,1087.8875,1065.5251,2406.751,0.20072581,1.3642421e-11,426.54448,1440.649,709.81418,117.15997,-0.49857725,0.54105671,425.26954,1442.6891,711.52367,117.44081,-0.49771771,0.54206742,21,0.22237937,0.049452582,0.0049053255,276.84334,0.18798924,468.5304,6.1496006,1.8927194e-05,-10.875386,0,-10.875249,468.31236,988.5,5.4158516,-0.7575798,3.6285217,4.4463802e-06,0,0,0.007183767,0.096705066,0.0050151312,133.21555,3.9229587,77310.035,75392.435,78538.579,I_C,0
4700,ok,2891.8422,2460.6571,431.18508,1,27800,883,5200,27700,22500,2458.9063,0.10928472,2009.3952,449.51109,1000.4888,1008.9063,2809.1209,0.18280936,-5.4569682e-12,461.20819,1245.2578,636.63977,115.89282,-0.58372547,0.49138916,460.47805,1246.2088,637.92101,116.14085,-0.58340021,0.49173783,21,0.21749288,0.047303152,0.0044837023,273.29306,0.17608565,320.98674,5.7713986,1.356663e-05,-11.20802,0,-11.207681,320.85147,811,6.5212288,-0.031707764,4.2425108,3.7639144e-06,0,0,0.0062128354,0.096205571,0.0050543011,135.27356,4.1173159,75217.41,73679.181,76571.023,I_C,1
4800,ok,3348.7594,2866.1736,482.58575,1,27900,754,5300,27800,22500,2860.2016,0.12712007,2337.1697,523.03185,1062.2,1274.9697,3008.4349,0.18286538,3.1832315e-12,477.59077,1483.2773,765.7171,133.8004,-0.8334833,0.6495026,477.7914,1481.8834,771.66122,135.01065,-0.82580398,0.65273543,21,0.20883454,0.043611865,0.0050589982,274.05985,0.19197167,348.60222,5.8539315,1.4834058e-05,-11.118703,0,-11.118504,348.16971,848.5,6.1087914,0.71139526,3.8395298,3.5036155e-06,0,0,0.007190111,0.091543662,0.0048639148,162.40335,4.1912055,75713.917,73944.194,77292.953,I_C,2
3900,ok,3154.1199,2660.609,493.51085,1,27900,891,4400,27800,23400,2659.2173,0.11364177,2134.3582,524.85918,1015.8807,1118.4775,2478.3237,0.19737355,-5.4569682e-12,448.12537,1391.3781,689.8076,129.9464,-0.64175276,0.60163771,446.91344,1392.8213,690.73753,130.17663,-0.64174479,0.60183911,22,0.21864387,0.047805167,0.0045997188,268.50139,0.18547333,411.14433,6.0189443,1.232185e-05,-11.304136,0,-11.303846,410.07155,948,5.7695236,0.58968353,3.5453553,3.3640251e-06,0,0,0.0064212033,0.093894117,0.0050761861,156.86163,5.1994066,72628.814,70954.732,74108.852,I_C,3
3300,ok,3293.7529,2800.6198,493.13312,1,26600,760,3800,26500,22700,2798.1034,0.12326447,2249.7948,548.30859,1039.3028,1210.492,2173.1334,0.19595723,2.0463631e-11,517.94563,1468.7584,688.42952,123.07711,-0.68020683,0.57294173,516.34145,1471.0693,689.9553,123.36045,-0.68026384,0.57351258,22,0.21126257,0.044631883,0.0049211387,274.63266,0.18887112,484.55276,6.1832262,1.4943108e-05,-11.111595,0,-11.111183,482.46368,1029,5.3010941,1.142334,3.6460092,3.8058988e-06,0,0,0.0070646474,0.089890405,0.0048295951,147.708,3.7876997,76101.794,74205.403,77499.156,I_C,4
