bundle,step_from,step_to,dn1,ce32,correct_min,k_eff,kappa_u1k,rms_u,sqrtv_med,frac_lt_eps,margin_med
I_next,0,2000,-2253.86,0.431884,224,462.655,0.0295354,0.156564,0.00233112,0,2.81807
I_next,2000,4000,482.979,0.0350135,933,186.061,0.0119756,0.0778005,0.00133366,0,5.40725
I_next,4000,6000,260.465,0.00483543,796,267.766,0.0475132,0.0120305,0.000548074,0,6.70314
I_next,6000,8000,214.678,0.0013828,1200,290.669,0.0499868,0.00698998,0.00020218,0,7.81247
I_next,8000,10000,213.553,0.000428233,1200,321.77,0.0469967,0.00602761,7.45172e-05,0,8.87446
I_next,10000,12000,212.594,0.000131331,1200,355.384,0.0463323,0.00550483,2.74524e-05,0,9.96951
I_next,12000,14000,206.431,4.21918e-05,1200,391.346,0.0464543,0.00501457,1.01105e-05,0,11.11
I_next,14000,16000,200.555,1.3579e-05,1200,388.365,0.0441432,0.00469775,3.72262e-06,0,12.2267
I_next,16000,18000,192.971,4.34247e-06,1200,408.106,0.0452131,0.00432241,1.37039e-06,0,13.319
I_next,18000,20000,183.056,1.42256e-06,1200,415.586,0.0456247,0.00398004,5.04412e-07,0,14.4168
I_next,20000,22000,169.475,4.6278e-07,1200,424.552,0.0446118,0.00373073,1.85647e-07,0,15.4961
I_next,22000,24000,186.329,1.54426e-07,1200,486.129,0.0526079,0.00357156,6.83308e-08,0,16.4511
I_next,24000,26000,315.091,8.29995e-08,880,564.609,0.0581243,0.00459018,2.72189e-08,0,16.7989
I_next,26000,28000,502.515,0.000135671,644,100.698,0.0265954,0.18626,0.0023209,0,16.2793
I_next,28000,30000,6.60281,7.39438e-05,724,94.3434,0.238903,0.00828171,0.00123599,0,16.2466
I_C,0,2000,-2163.47,0.447521,223,467.181,0.0307564,0.155165,0.00237634,0,2.79304
I_C,2000,4000,456.48,0.0274415,896,216.198,0.0108461,0.0776466,0.00128582,0,5.33426
I_C,4000,6000,260.739,0.00432913,1175,256.947,0.0483014,0.0118397,0.000476751,0,6.68903
I_C,6000,8000,227.218,0.00123469,1200,307.854,0.0481203,0.00725406,0.000175935,0,7.86023
I_C,8000,10000,219.509,0.000384281,1200,357.451,0.0480709,0.00621494,6.48595e-05,0,8.99156
I_C,10000,12000,209.825,0.000120509,1200,388.279,0.0461712,0.0054608,2.38975e-05,0,10.0604
I_C,12000,14000,199.561,3.83527e-05,1200,417.683,0.0471906,0.00493455,8.80149e-06,0,11.1315
I_C,14000,16000,190.167,1.23643e-05,1200,413.389,0.0468513,0.00450342,3.24089e-06,0,12.2245
I_C,16000,18000,182.835,4.05732e-06,1200,430.588,0.0459139,0.00416696,1.19315e-06,0,13.3257
I_C,18000,20000,172.495,1.30867e-06,1200,447.918,0.0459364,0.00385959,4.39185e-07,0,14.4454
I_C,20000,22000,162.863,4.28706e-07,1200,455.68,0.0455061,0.00359816,1.61642e-07,0,15.4996
