,tau_sqrtv,tau_loss,active_margin_per_1k,active_margin_start,median_margin_start,L_start,L_end,efolds,pre_growth,per_step,per_step_median,frac_negative_steps,top1pct_share,rms_u,wnorm,cos_1k,sqrt_kappa_1k,cost_per_efold,cos_G_u,cos_G_m,cos_G_Gp,G_per_L,C_img,k_eff,batch_NSR,cos_G_m_iid_pred,m2_over_iid,cos_G_lag1,cos_G_lag10,cos_G_lag20,staleness_factor,rel_grad_change_per_unit_step,cos_G32_G64@8000,cos_G32_m@8000,cos_G32_G64@12000,cos_G32_m@12000,cos_G32_G64@16000,cos_G32_m@16000,cos_G32_G64@20000,cos_G32_m@20000
I_next,2002.36,1833.76,0.556435,3.52658,5.84548,0.0146271,8.54201e-08,12.0112,2634.19,0.119002,0.100895,0,0.0321934,0.0050197,270.334,0.187808,0.213035,219.311,,,,,,,,,,,,,,,,,,,,,,
I_C,2002.16,1834.44,0.556568,3.33732,5.88141,0.0133386,9.73798e-08,11.7964,2572.4,0.114037,0.0977389,0,0.0320975,0.00466752,269.881,0.186731,0.217644,215.817,0.0962558,0.0968451,0.987901,0.455585,0.0310591,426.406,148.772,0.336527,0.795389,0.993305,0.790003,0.500979,0.873093,19.3461,1,0.148656,0.999996,0.0755841,0.999831,0.0420662,0.99498,0.14368
I_rev,2000.39,1905.72,0.538145,3.76417,5.95792,0.0127043,7.64691e-08,11.9225,1642.05,0.0698999,0.0537988,0,0.0468141,0.00308899,269.905,0.139202,0.252358,141.668,0.160158,0.159747,0.988676,0.450315,0.0282244,420.768,181.518,0.307846,0.793742,,,,,,,,,,,,,
A_C,2000.66,1784.98,0.561698,4.06955,5.55009,0.0130377,9.34241e-08,11.8274,1538.53,0.0688475,0.067741,0,0.0157146,0.00339626,210.22,0.213573,0.228492,128.355,0.117414,0.117938,0.979215,0.437214,0.0281313,503.354,157.276,0.328318,0.801564,0.993768,0.836648,0.58875,0.896609,25.0824,0.999999,0.182101,0.999911,0.203783,0.997533,0.0808593,0.82965,0.175314
I_same,1999.24,2785.52,0.417805,8.0155,15.8925,6.37779e-05,4.44307e-08,7.0302,590.769,0.0294762,0.00815205,0,0.0841901,0.000580797,270.643,0.0615191,0.378551,81.4453,0.356149,0.356345,0.985737,0.896134,0.044389,227.503,133.343,0.353162,0.799407,0.999775,0.989048,0.971647,0.992638,23.6358,0.999811,0.392896,0.996518,0.387822,0.912278,0.267079,-0.069915,0.240172
A_own,1999.1,1981.88,0.512377,5.4419,12.5127,0.000925668,1.26646e-08,11.0717,147.903,0.00677576,0.00597385,0.000148892,0.0509009,0.00058968,208.632,0.0547735,0.422343,13.5682,0.389206,0.396189,0.966121,0.867275,0.0476747,215.927,125.816,0.36223,0.833964,0.99996,0.996401,0.99213,0.997847,18.1222,0.999972,0.422525,0.998858,0.42374,0.959685,0.39301,-0.0535069,0.50258
A_same,1999.09,2667.87,0.399742,10.6911,26.6144,2.28034e-06,5.41963e-09,5.87232,77.3898,0.00502741,0.00133119,0.00746475,0.110661,0.000235755,208.491,0.0261957,0.484695,12.1192,0.392339,0.408969,0.946583,2.28272,0.0815134,120.646,111.944,0.380921,0.85265,,,,,,,,,,,,,
