base,beta2,run,seed,end,len,efolds,tau_L,growth,per_efold,per_step,tau_sqrtv,rms_u,ratio_mean,margin_med_end
I_C,0.999,I_C,0,26200,20200,10.685583,1890.3976,2439.2609,228.27589,0.12075549,2002.2245,0.0052042575,0.0067583405,16.783234
I_C,0.999,I_C,1,27700,21700,11.204759,1936.6771,2382.8286,212.6622,0.10980777,2002.0304,0.0054309952,0.0061325054,17.184631
I_C,0.999,I_C,2,27800,21800,10.882139,2003.2826,2775.5852,255.05879,0.12732042,2002.5464,0.0058948989,0.0071208125,17.057098
I_C,0.999,I_C,3,27800,21800,11.13749,1957.3531,2466.7486,221.48156,0.11315361,2002.4198,0.0053241933,0.0062553056,17.065865
I_C,0.999,I_C,4,26500,20500,10.495596,1953.2002,2501.8828,238.37454,0.12204307,2002.3125,0.0053713863,0.0067308677,16.85524
I_C,0.999,I_C,5,27500,21500,10.587039,2030.7851,1461.547,138.0506,0.067978931,2000.8343,0.0040340466,0.0048560597,17.280727
I_C,0.999,I_C,6,25900,19900,10.53909,1888.2086,2301.5595,218.38313,0.11565625,2002.1683,0.0053006006,0.0067029949,16.93338
I_C,0.999,I_C,7,27200,21200,11.159473,1899.7313,1332.7455,119.42729,0.062865355,2001.1834,0.0041034285,0.0053140841,17.442947
I_C,0.999,I_C,8,26700,20700,10.768548,1922.2648,2432.2185,225.86319,0.11749848,2002.295,0.0054848069,0.0068637518,16.90387
I_C,0.999,I_C,9,26400,20400,11.013361,1852.2956,1945.8349,176.67947,0.095384062,2002.1517,0.0049887759,0.0063233679,17.129669
I_C,0.99,I_C_b99,0,6200,200,-0.13978412,,43.689368,,0.21844684,,0.021226963,0.019919426,6.6283569
I_C,0.99,I_C_b99,1,6100,100,0.11526748,867.54737,12.034313,104.40337,0.12034313,,0.011778809,0.013870152,6.8375549
I_C,0.99,I_C_b99,2,6200,200,0.12116731,1650.6103,40.77481,336.51661,0.20387405,,0.022362616,0.01953786,6.5405884
I_C,0.99,I_C_b99,3,6100,100,-0.0041186262,,14.454838,,0.14454838,,0.0095627692,0.013505527,6.6680984
I_C,0.99,I_C_b99,4,6200,200,0.012629522,15835.912,41.660549,3298.6639,0.20830274,,0.017728473,0.018877665,6.9003448
I_C,0.99,I_C_b99,5,6200,200,0.11023551,1814.2975,28.951525,262.63339,0.14475762,,0.015829213,0.020130703,7.0372672
I_C,0.99,I_C_b99,6,6200,200,0.023944661,8352.5927,51.373405,2145.5056,0.25686702,,0.019929704,0.017030381,6.8273926
I_C,0.99,I_C_b99,7,6200,200,-0.12143315,,25.618564,,0.12809282,,0.01606534,0.0094623626,7.2562294
I_C,0.99,I_C_b99,8,6200,200,-0.061501603,,41.816342,,0.20908171,,0.020625511,0.01281155,6.8992195
I_C,0.99,I_C_b99,9,6200,200,0.0066688579,29990.143,44.914641,6734.9824,0.2245732,,0.017633478,0.019870017,6.7115526
