arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_c1,zeroout_c1,zbar_c1,zsd_c1,zbar_min_c1,mob_c1,mob_pool_c1,eff_rank_c1,dead_frac_c2,zeroout_c2,zbar_c2,zsd_c2,zbar_min_c2,mob_c2,mob_pool_c2,eff_rank_c2,dead_frac_f1,zeroout_f1,zbar_f1,zsd_f1,zbar_min_f1,mob_f1,eff_rank_f1,dead_frac_f2,zeroout_f2,zbar_f2,zsd_f2,zbar_min_f2,mob_f2,eff_rank_f2,w_norm_c1,w_norm_c2,w_norm_f1,w_norm_f2,w_norm_f3,alpha_med_c1,alpha_min_c1,alpha_max_c1,alpha_clip_frac_c1,two_alpha_W_med_c1,alpha_med_c2,alpha_min_c2,alpha_max_c2,alpha_clip_frac_c2,two_alpha_W_med_c2,alpha_med_f1,alpha_min_f1,alpha_max_f1,alpha_clip_frac_f1,two_alpha_W_med_f1,alpha_med_f2,alpha_min_f2,alpha_max_f2,alpha_clip_frac_f2,two_alpha_W_med_f2
SNAc3,0,0.001,1,none,0.9723958333,1,1,0,0,-0.08228111267,0.1786680222,-0.1675808281,0.7197512984,0.8892315626,13.1807152,0,0,-0.2862859666,0.2948617637,-0.364089787,0.6928938031,0.8059641719,14.55111509,0,0,-0.0009105622885,0.6501291394,-0.7325338721,0.9710635543,78.4856458,0,0,0.2634183764,1.44036603,-0.7114844918,0.9976648092,41.29953508,0.6915518045,1.338618517,2.205192804,1.18606329,1.730533004,3,3,3,1,1.068522215,3,3,3,1,1.764791608,3,3,3,1,3.749208212,2.155562162,1.73169446,3,0.02999999933,6
SNAc3,0,0.001,2,none,0.9716270833,1,1,0,0,-0.1115141585,0.1379237324,-0.199028939,0.6004218459,0.7576844692,13.32114154,0,0,-0.3305517733,0.2744288445,-0.430636555,0.6325726509,0.5859926343,14.18898584,0,0,-0.05518600717,0.5954183936,-1.99882853,0.9734395742,72.52406644,0,0,0.4892482758,1.404535532,-2.609333277,0.9908745289,36.93058609,0.7044792175,1.591356635,2.845371008,1.344191909,2.018568754,3,3,3,1,0.825061202,3,3,3,1,1.641264677,3,3,3,1,3.449397087,2.216730356,1.5832479,3,0.04999999702,6
SNAc3,0,0.001,3,none,0.9710791667,1,1,0,0,-0.09940382093,0.1261170655,-0.2749812901,0.6372503638,0.8209983706,13.2099941,0,0,-0.3146525323,0.2625532746,-0.4932298958,0.6279363036,0.6138694286,14.252423,0,0,-0.1763813347,0.6390816569,-2.979447842,0.9697048068,72.50924762,0,0,0.4986800253,1.564094901,-4.218094349,0.9937307835,38.89520191,0.6962260604,1.747971773,3.32399559,1.480128288,2.006750822,3,3,3,1,0.7518098354,3,3,3,1,1.570267797,3,2.305711031,3,0.9799999595,3.704829693,1.980697632,1.166821122,3,0.009999999776,6
SNAc3,0,0.001,4,none,0.9596958333,1,1,0,0,-0.07190220058,0.1313712746,-0.2849411964,0.7140214443,0.9760789275,13.18756618,0,0,-0.4380817711,0.3194713593,-0.5725244284,0.7551885247,0.5951263309,13.98357536,0,0,-0.08109562844,0.8632323742,-3.228674412,0.9891355634,69.18024743,0,0,0.8950039744,2.223751307,-4.001949787,0.9953739643,37.82157656,0.7416771054,2.062952757,3.780653,1.531692982,1.729496002,3,3,3,1,0.7842395306,3,3,3,1,1.911528468,3,1.430026293,3,0.8499999642,5.002547264,1.385585189,0.9096531868,1.96444869,0,6
SNAc3,0,0.001,5,none,0.9618208333,1,1,0,0,-0.1671477407,0.1414548755,-0.3129096329,0.5074369311,0.7000887394,13.13568905,0,0,-0.396911025,0.2877722979,-0.4771466255,0.6863377094,0.5424458385,14.27366554,0,0,-0.2075807154,0.9117779136,-4.997921467,0.9889481664,64.92159676,0,0,0.1861732751,2.546358585,-9.558104515,1.008285284,38.66963672,0.8452939391,2.299316406,4.279889584,1.648225904,1.728156924,3,3,3,1,0.8462828398,3,3,3,1,1.722538233,3,0.784850955,3,0.7599999905,5.272707939,1.206871271,0.4854270816,1.854594231,0,6
SNAc3,0,0.001,6,none,0.9594791667,1,1,0,0,-0.139891386,0.1406476647,-0.2479834259,0.482991755,0.6928582191,13.16338171,0,0,-0.4381761849,0.3293595612,-0.5639249086,0.7573542595,0.6214256883,14.26299627,0,0,-0.1416175663,1.180678248,-3.29902029,0.9854010344,72.42280413,0,0,0.1073973626,3.246560335,-3.99835372,1.003519416,45.21125922,0.890060842,2.545326948,4.676663876,1.701698303,1.579558849,3,3,3,1,0.8416221142,3,3,3,1,1.975289822,2.614116192,0.7864297628,3,0.0700000003,6,0.9481915236,0.63214463,1.345202565,0,6
SNAc3,0,0.001,7,none,0.9695541667,1,1,0,0,-0.1738307923,0.1449477673,-0.4215708077,0.5212839842,0.670871675,12.8417283,0,0,-0.4210157692,0.328813374,-0.4674488306,0.722845912,0.5958377123,14.3334625,0,0,0.0166883152,1.235911369,-4.083467484,0.9934047461,74.84911941,0,0,0.5418291092,3.446463585,-4.98261261,1.002773166,47.35212145,0.8835216165,2.681572914,5.185033321,1.831701279,1.612125039,3,3,3,1,0.8669270277,3,3,3,1,1.969869852,2.506462812,0.8107432723,2.886853218,0,6,0.8970745802,0.624709785,1.266515732,0,6
SNAc3,0,0.001,8,none,0.9693958333,1,1,0,0,-0.1637901515,0.1359531283,-0.2613859177,0.4824000597,0.6344991922,13.04052054,0,0,-0.3846828938,0.3431612253,-0.5857701302,0.7381592989,0.6926119328,14.46029157,0,0,-0.2012951225,1.43180263,-1.844169974,0.9935921431,81.35201086,0,0,0.186277926,3.891246319,-4.159365654,0.9985168576,53.7070362,0.918014586,2.787281036,5.540611744,1.891565084,1.570304632,3,3,3,1,0.8145959377,3,3,3,1,2.055641174,2.166647434,0.9907899499,2.500730753,0,6,0.7990077734,0.5573128462,1.111526132,0,6
SNAc3,0,0.001,9,none,0.9743145833,1,1,0,0,-0.1991360337,0.1587116867,-0.2765170336,0.4083437324,0.5124439001,12.48554287,0,0,-0.3854062855,0.3204035461,-0.5938875675,0.7095624208,0.6228681207,14.34541956,0,0,-0.2144945115,1.378628135,-2.080264568,0.9915252924,81.46000385,0,0,0.09935449064,3.814462662,-5.437843323,1.00104332,53.59122649,0.9314421415,2.886325359,5.816693306,2.002522707,1.678737879,3,3,3,1,0.9443148375,3,3,3,1,1.91013658,2.25235796,1.424059033,2.700653791,0,6,0.8074662685,0.475990355,1.092580795,0,6
SNAc3,0,0.001,10,none,0.96036875,1,1,0,0,-0.2405026257,0.1607418656,-0.3221204281,0.4472901523,0.5036571622,12.39686014,0,0,-0.4572568238,0.3132870495,-0.6099299788,0.754719913,0.5349587798,14.0019637,0,0,-0.1994935721,1.306010246,-2.624319792,0.9913755655,81.42387247,0,0,0.3532051742,3.599631548,-5.176249504,1.00553143,55.33359382,0.9319061041,3.008823872,6.116230965,2.042635679,1.657911181,3,3,3,1,0.9564737082,3,3,3,1,1.876478672,2.36694026,1.798234224,2.82738781,0,6,0.8522372246,0.5716569424,1.184623003,0,6
