act,reg,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,alpha_med_l1,alpha_min_l1,alpha_max_l1,alpha_clip_frac_l1,two_alpha_W_med_l1,alpha_med_l2,alpha_min_l2,alpha_max_l2,alpha_clip_frac_l2,two_alpha_W_med_l2,reg_loss,pen_l2_total,pen_l2init_total,pen_shell_total
SNA,l2,0.001,0.001,6,22,0.9640666667,1,1,0,0,-0.2984261811,1.093177199,-11.18694687,0.8318356276,55.39556453,0,0,-0.5750814676,1.481617808,-6.039800167,0.6932609677,52.48653467,1.156256557,0.752152741,2.200132132,0.5531698465,0.1944285631,3,0.07999999821,1.200000048,0.4030697942,0.1645474732,3,0.07999999821,1.200000048,0.2672308305,0.2672308305,0.338027303,0.07295130476
SNA,l2,0.001,0.001,6,23,0.9647,1,1,0,0,-0.3038585484,1.176986337,-8.424080849,0.8760712743,57.67953386,0,0,-0.4745021462,1.726417899,-5.591626167,0.8582467437,56.31690084,1.258729815,0.856189549,2.211146355,0.5167135,0.2333049178,3,0.1000000015,1.200000048,0.3508343399,0.1283114254,3,0.1199999973,1.200000048,0.30114427,0.30114427,0.3714153204,0.08909153855
SNA,l2,0.001,0.001,6,24,0.96500625,1,1,0,0,-0.3790054023,1.200439692,-9.100477219,0.8427140117,57.65236843,0,0,-0.8183005452,1.843247414,-6.087172031,0.7398481965,55.83899585,1.276685715,0.8781818151,2.20339179,0.511141479,0.2313758135,3,0.05000000075,1.200000048,0.3354425132,0.1303423047,3,0.07999999821,1.200000048,0.2970028846,0.2970028846,0.3679864356,0.08709229722
SNA,l2,0.001,0.001,6,25,0.9635708333,1,1,0,0,-0.4348886609,1.262539268,-10.24228954,0.8965734839,56.10311787,0,0,-0.9511615038,2.024986506,-6.807961941,0.7259303927,55.5931391,1.300483227,0.9402587414,2.226909399,0.4869482815,0.2087604105,3,0.05999999866,1.200000048,0.3044542074,0.123249948,3,0.09000000358,1.200000048,0.3052074905,0.3052074905,0.3750247133,0.09105100271
SNA,l2,0.001,0.001,6,26,0.9645666667,1,1,0,0,-0.3056412041,1.189580917,-11.90628147,0.8155318499,56.48738987,0,0,-1.610227585,2.074680328,-5.98274231,0.628382504,53.86184053,1.266927242,0.9097301364,2.23346138,0.5074189901,0.1837639213,3,0.07999999821,1.200000048,0.2878792286,0.1331205517,3,0.0700000003,1.200000048,0.3081840318,0.3081840318,0.3794952848,0.09286667003
SNA,l2,0.001,0.001,6,27,0.9644083333,0.9416666627,0.9416666627,0,0,-0.4590079188,1.217332125,-9.314539909,0.7724683285,59.63980334,0,0,-1.29578352,2.215351105,-5.374563694,0.726744771,60.67290256,1.317980051,1.009094596,2.293600559,0.5208359957,0.2200618833,3,0.02999999933,1.200000048,0.2774786055,0.1486070156,3,0.05999999866,1.200000048,0.3279608913,0.3279608913,0.3957465655,0.1029690731
SNA,l2,0.001,0.001,6,28,0.96600625,1,1,0,0,-0.2973281741,1.175171614,-9.516804695,0.8808426857,57.89082559,0,0,-1.095256925,2.039420128,-6.017291069,0.7163992524,56.92124299,1.264518499,0.8949198723,2.23216176,0.51902318,0.2177465409,3,0.05000000075,1.200000048,0.3006929755,0.1458621323,3,0.0700000003,1.200000048,0.2956559479,0.2956559479,0.3638452429,0.0863817185
SNA,l2,0.001,0.001,6,29,0.9666020833,0.9991666675,0.9991666675,0,0,-0.1175174341,1.167948246,-9.965856552,0.9508712888,57.67866457,0,0,-1.022115469,2.135468245,-6.676491737,0.721034646,57.16177365,1.261096358,0.9317855835,2.210398197,0.5206314325,0.2120629251,3,0.05999999866,1.200000048,0.2850895524,0.1464226991,3,0.05000000075,1.200000048,0.3018218239,0.3018218239,0.3682512922,0.08919180756
SNA,l2,0.001,0.001,6,30,0.9647479167,1,1,0,0,-0.6381851435,1.190665007,-8.323564529,0.7007390857,62.71978818,0,0,-0.9491190314,1.701452971,-4.581277847,0.7168499231,56.87272301,1.349093676,0.91116184,2.24840641,0.509359479,0.2463993132,3,0.03999999911,1.200000048,0.3646890521,0.1935736686,3,0.07999999821,1.200000048,0.3231535144,0.3231535144,0.3917317217,0.1013244131
SNA,l2,0.001,0.001,6,31,0.9639979167,1,1,0,0,-0.5428739786,1.204290748,-8.681210518,0.7990384102,61.97622999,0,0,-1.149542332,2.212861776,-4.835247993,0.6830323339,59.39062817,1.355926752,0.9826880097,2.253128052,0.5094456077,0.2394988835,3,0.03999999911,1.200000048,0.2808714211,0.1412490308,3,0.0700000003,1.200000048,0.3425650073,0.3425650073,0.4140894875,0.1110148522
