arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,steps,stop_step,tc,hit99,hit999,acc_at_hit_plus_500,min_correct_after_hit
LR,std,1,0,0.001,1,none,0.7863068182,1,1,0,0,-0.6050980091,11.83401585,-5.450422287,0.5192500949,71.7301545,0,0,-1.420198441,7.3752141,-8.300830841,0.4645001292,71.46491279,2.546803951,0.8085380793,0.9896526337,2200,2200,2200,1600,1700,1200,1200
LR,std,1,0,0.001,2,none,0.7955729167,1,1,0,0,-2.047631741,17.27025414,-8.920869827,0.503500104,72.25401126,0,0,-10.37084484,12.48709297,-22.617939,0.2732500136,79.12159435,3.57591939,0.9849555492,1.127962947,2400,2400,4600,1700,1900,1200,1200
LR,std,1,0,0.001,3,none,0.8344642857,1,1,0,0,-2.105007887,16.54578781,-10.09304619,0.4975001216,75.0432217,0,0,-10.326478,12.55122948,-28.62278748,0.2785000205,79.06044912,3.998998642,1.036415219,1.057933331,1400,1400,6000,700,900,1200,1199
LR,std,1,0,0.001,4,none,0.863125,1,1,0,0,-2.370114803,18.07119179,-9.025136948,0.4982501268,74.42541996,0,0,-13.18194008,13.98321056,-22.97437096,0.2409999967,79.30093686,4.228816509,1.057983279,1.016106844,1200,1200,7200,500,700,1200,1200
LR,std,1,0,0.001,5,none,0.8947395833,1,1,0,0,-2.643379927,17.79508781,-11.06956482,0.487750113,75.93849013,0,0,-12.99431992,14.46306229,-25.91077995,0.2574999928,80.35224559,4.539590836,1.090504646,0.9940627813,1200,1200,8400,600,700,1200,1200
LR,std,1,0,0.001,6,none,0.8946590909,1,1,0,0,-2.955606461,19.53720665,-9.921517372,0.4915001094,75.10390048,0,0,-15.74739933,15.98723412,-25.31221771,0.231250003,79.74023923,4.763559818,1.110657454,0.9670343399,1100,1100,9500,400,600,1200,1200
LR,std,1,0,0.001,7,none,0.889875,1,1,0,0,-2.959766626,18.43646622,-11.91840172,0.4892500937,76.41397579,0,0,-15.65744019,15.88618469,-28.82038498,0.236499995,79.45679077,5.009950638,1.135882854,0.9396757483,1000,1000,10500,400,500,1200,1200
LR,std,1,0,0.001,8,none,0.89875,1,1,0,0,-3.435492039,20.20301628,-11.19495678,0.4892500937,75.48556581,0,0,-17.31329727,17.50374031,-30.7708149,0.2259999961,80.38779431,5.198857784,1.148372531,0.9247490764,1000,1000,11500,400,500,1200,1200
LR,std,1,0,0.001,9,none,0.9127840909,1,1,0,0,-2.669811964,20.47621727,-14.34030342,0.490750134,76.40162185,0,0,-17.86079407,17.59844971,-31.1377964,0.2304999828,80.69491018,5.438614845,1.167567849,0.9045202136,1100,1100,12600,400,600,1200,1200
LR,std,1,0,0.001,10,none,0.9006944444,1,1,0,0,-2.888994217,21.48286819,-11.20749664,0.4930000901,75.87479324,0,0,-19.29381943,18.9509182,-32.78928375,0.2207499743,80.90296895,5.602909565,1.180671692,0.8734012246,900,900,13500,300,400,1200,1200
LR,std,1,0,0.001,11,none,0.9150625,1,1,0,0,-3.112344503,20.68754959,-13.15095043,0.4892500937,77.21436758,0,0,-18.28552055,18.35484123,-31.89323044,0.2275000066,81.405476,5.778557301,1.207734108,0.8636869192,1000,1000,14500,300,500,1200,1200
LR,std,1,0,0.001,12,none,0.9123125,1,1,0,0,-3.262975454,22.15231514,-11.91624069,0.4922501147,76.52788185,0,0,-20.54677391,19.96440697,-37.66323471,0.217749998,81.21459877,5.930233479,1.218788862,0.8422427773,1000,1000,15500,400,500,1200,1200
LR,std,1,0,0.001,13,none,0.9076388889,1,1,0,0,-3.428891659,21.75980949,-14.64408207,0.4892500937,77.22776239,0,0,-20.29576302,19.31365013,-32.85151291,0.2214999944,80.9582861,6.117819786,1.241726756,0.815418005,900,900,16400,300,400,1200,1200
LR,std,1,0,0.001,14,none,0.9206944444,1,1,0,0,-3.219631433,23.2928009,-12.07821083,0.4907500744,76.63681817,0,0,-22.89127731,21.00224304,-38.75114822,0.2147499919,80.43051179,6.258868694,1.254001737,0.7989735603,900,900,17300,300,400,1200,1200
LR,std,1,0,0.001,15,none,0.9209722222,1,1,0,0,-3.661550283,22.86047554,-15.65830421,0.4885001183,77.5011965,0,0,-21.37680054,19.90442657,-32.74664307,0.209499985,80.61225968,6.38787508,1.261705041,0.7785650492,900,900,18200,300,400,1200,1200
LR,std,1,0,0.001,16,none,0.90796875,1,1,0,0,-3.256537914,23.3368988,-12.44630051,0.4915001094,77.07866951,0,0,-23.32288361,21.11517334,-39.66242218,0.2004999667,80.98167442,6.522918701,1.267165542,0.7603013515,800,800,19000,300,300,1200,1200
LR,std,1,0,0.001,17,none,0.9309375,1,1,0,0,-3.903146744,22.88341331,-14.68768311,0.4802500904,77.88766955,0,0,-20.58529663,20.70742416,-36.51967621,0.228249982,81.32001843,6.616765976,1.29082799,0.7777279019,1000,1000,20000,300,500,1200,1200
LR,std,1,0,0.001,18,none,0.9163888889,1,1,0,0,-4.014556408,24.06479073,-13.36762238,0.4840001464,77.2790713,0,0,-24.10905457,22.17234039,-38.4588623,0.2094999552,81.0626203,6.777746677,1.299808383,0.7548338175,900,900,20900,300,400,1200,1200
LR,std,1,0,0.001,19,none,0.913671875,1,1,0,0,-4.066854954,23.68912125,-15.5512476,0.4765000939,77.82974919,0,0,-23.14916229,21.54176521,-43.83328247,0.2132499814,81.09467596,6.917080402,1.31204915,0.7434237003,800,800,21700,300,300,1200,1200
LR,std,1,0,0.001,20,none,0.9175,1,1,0,0,-3.830939293,24.91692543,-13.62869167,0.4900000989,77.27172006,0,0,-25.82953072,22.70046997,-41.23635483,0.202000007,80.63326245,7.02573967,1.313286781,0.7293203473,800,800,22500,300,300,1200,1200
LR,std,1,0,0.001,21,none,0.913828125,1,1,0,0,-3.67026782,23.94060707,-14.053545,0.4892500937,78.31916414,0,0,-24.05537415,22.32262421,-44.91936493,0.2087499797,81.09578386,7.099645615,1.329936743,0.7187817097,800,800,23300,300,300,1200,1200
LR,std,1,0,0.001,22,none,0.91203125,1,1,0,0,-4.114113808,24.91112518,-12.84322929,0.4802500904,77.94136083,0,0,-25.0671196,23.18989182,-38.69181442,0.2132499814,81.43807003,7.205005169,1.329081774,0.7226412892,800,800,24100,300,300,1200,1200
LR,std,1,0,0.001,23,none,0.924375,1,1,0,0,-3.988657713,24.76664162,-14.79637432,0.4847500622,78.62541724,0,0,-24.17690659,22.46369362,-42.71293259,0.2124999911,82.79944501,7.322843552,1.342720509,0.7111891508,800,800,24900,300,300,1200,1200
LR,std,1,0,0.001,24,none,0.9277777778,1,1,0,0,-4.447620392,25.20342636,-13.36776543,0.4810000658,77.75932787,0,0,-25.23166466,23.85157585,-40.50849533,0.2132499814,82.98043017,7.479885101,1.354137063,0.6935297847,900,900,25800,300,400,1200,1200
LR,std,1,0,0.001,25,none,0.91953125,1,1,0,0,-4.393754482,25.57030678,-17.07253838,0.4862501025,78.61262986,0,0,-24.33551216,23.26618385,-46.70996094,0.2147499621,82.2039505,7.554751396,1.36524713,0.6830641031,800,800,26600,200,300,1200,1200
LR,std,1,0,0.001,26,none,0.9275,1,1,0,0,-4.237357616,25.67066574,-12.61015797,0.4817501009,77.97362633,0,0,-25.75319672,24.4017868,-39.13415527,0.2132499814,83.12974679,7.68163681,1.373717308,0.6803207397,900,900,27500,300,400,1200,1200
