arm,seed,excluded,detected_step,detected_task,nonfinite_tensors,arm_status
S_none,0,0,,,,COMPLETE
S_none,1,0,,,,COMPLETE
S_none,2,0,,,,COMPLETE
S_none,3,0,,,,COMPLETE
S_none,4,0,,,,COMPLETE
S_none,5,0,,,,COMPLETE
S_none,6,0,,,,COMPLETE
S_none,7,0,,,,COMPLETE
S_none,8,0,,,,COMPLETE
S_none,9,0,,,,COMPLETE
S_main,0,0,,,,COMPLETE_WITH_EXCLUSIONS
S_main,1,0,,,,COMPLETE_WITH_EXCLUSIONS
S_main,2,0,,,,COMPLETE_WITH_EXCLUSIONS
S_main,3,0,,,,COMPLETE_WITH_EXCLUSIONS
S_main,4,0,,,,COMPLETE_WITH_EXCLUSIONS
S_main,5,0,,,,COMPLETE_WITH_EXCLUSIONS
S_main,6,0,,,,COMPLETE_WITH_EXCLUSIONS
S_main,7,1,3381000,339,net.Ws.1;net.Ws.2;net.bs.1;net.bs.2;net.v;net.c,COMPLETE_WITH_EXCLUSIONS
S_main,8,0,,,,COMPLETE_WITH_EXCLUSIONS
S_main,9,0,,,,COMPLETE_WITH_EXCLUSIONS
S_sub,0,0,,,,COMPLETE_WITH_EXCLUSIONS
S_sub,1,0,,,,COMPLETE_WITH_EXCLUSIONS
S_sub,2,1,1591000,160,net.Ws.1;net.Ws.2;net.bs.1;net.bs.2;net.v;net.c,COMPLETE_WITH_EXCLUSIONS
S_sub,3,0,,,,COMPLETE_WITH_EXCLUSIONS
S_sub,4,0,,,,COMPLETE_WITH_EXCLUSIONS
S_sub,5,0,,,,COMPLETE_WITH_EXCLUSIONS
S_sub,6,0,,,,COMPLETE_WITH_EXCLUSIONS
S_sub,7,0,,,,COMPLETE_WITH_EXCLUSIONS
S_sub,8,0,,,,COMPLETE_WITH_EXCLUSIONS
S_sub,9,0,,,,COMPLETE_WITH_EXCLUSIONS
