seed,S_none_B02_meanlog10unfit,S_none_B10_meanlog10unfit,S_none_drift,S_main_B02_meanlog10unfit,S_main_B10_meanlog10unfit,S_main_drift,S_sub_B02_meanlog10unfit,S_sub_B10_meanlog10unfit,S_sub_drift,S_main_over_S_none_ratio
0,-9.98849389680732,-0.4137071086795093,9.574786788127811,-6.649435482309738,-1.2294849740684315,5.419950508241307,-7.310424915917341,-3.2599422822351074,4.050482633682234,0.5660648772839241
1,-10.575072104314247,-0.813930962526152,9.761141141788094,-6.953553590746212,-5.188852303551104,1.7647012871951082,-9.682055327918548,1.5429239464852585e-17,9.682055327918548,0.18078842028421294
2,-10.971962844082476,-1.8877933068056705,9.084169537276805,-7.549838905358896,-6.159544228226285,1.3902946771326103,,,,0.15304587518182583
3,-10.22168264674525,-2.358924486889731,7.862758159855519,-6.732648325705009,-3.132799652297596,3.599848673407413,-8.991939047627204,-2.176444249023423,6.8154947986037815,0.4578353550013754
4,-6.268209775166401,-2.97763926817087,3.290570506995531,-6.861678203713826,-5.25692717276639,1.604751030947436,-5.763050334356398,-3.2774721191765526,2.485578215179846,0.4876817036850733
5,-13.085835593944944,-1.6874518106289882,11.398383783315957,-8.071824742339567,-4.473190288564939,3.598634453774628,-11.463802857705915,-6.108438127497477,5.3553647302084375,0.31571444883633604
6,-13.200500649991618,-2.1986304980479385,11.00187015194368,-7.852577126817897,-5.645433092882119,2.207144033935778,-10.560924192856694,-6.050284724352878,4.5106394685038165,0.2006153502498706
7,-8.671848984913822,-1.538704815960018,7.133144168953804,,,,-10.110062806957197,-2.5450448282895857,7.565017978667612,
8,-13.141366410075921,-2.511677051825377,10.629689358250545,-7.3876532536820365,-4.027380375941494,3.3602728777405426,-9.532808616295023,-4.1229983162230965,5.409810300071927,0.31612145609244624
9,-13.069978440171562,-1.7899674214761336,11.28001101869543,-7.6980317417044875,-3.8536336208734756,3.844398120831012,-9.60700876103995,-4.93011027856089,4.67689848247906,0.34081510332386444
