arm,wd_b,step,task,seed,unfit,eval_loss_exact,signal_var,residual_var,L1_strict_dead_frac,L1_alive,L1_n_invalid,L1_b_median_alive,L1_b_q25_alive,L1_b_q75_alive,L1_b_median_all,L1_b_maxabs,L1_wall_frac,L1_M_median_alive,L1_B_median_alive,L1_beta_median_alive,L1_kappa_median_alive,L1_sigma_median_alive,L1_margin_median_alive,L1_p_hat_median_alive,L1_p_hat_thin_frac,L1_p_hat_sat_frac,L1_eff_rank,L1_eff_rank_W,L1_w_norm_median,L1_wcos_mean,L2_strict_dead_frac,L2_alive,L2_n_invalid,L2_b_median_alive,L2_b_q25_alive,L2_b_q75_alive,L2_b_median_all,L2_b_maxabs,L2_wall_frac,L2_M_median_alive,L2_B_median_alive,L2_beta_median_alive,L2_kappa_median_alive,L2_sigma_median_alive,L2_margin_median_alive,L2_p_hat_median_alive,L2_p_hat_thin_frac,L2_p_hat_sat_frac,L2_eff_rank,L2_eff_rank_W,L2_w_norm_median,L2_wcos_mean
S_none,0.0,0,0,0,1.050711038603845,1.955214600881122,0.609375,0.640277039149218,0.31,69,0,0.0,0.0,0.0,0.0,0.0,0.6201588887388255,0.7181333844475323,0.0,0.7181333844475323,2.014521283684691,0.3617556453471073,0.7217088118195534,0.75,0.1884057971014492,0.391304347826087,7.693051247771464,19.41893172669293,1.433159995086618,0.180483608137085,0.26,74,0,0.0,0.0,0.0,0.0,0.0,0.7798559513268783,1.0029776373845614,0.0,1.002977637384562,1.929306866043888,0.3142965002311602,0.6085769647506434,0.84375,0.2297297297297297,0.4189189189189189,7.496816376539512,80.17634293914253,1.4128303771514457,0.0808178454752021
S_none,0.0,0,0,1,0.9521371379226112,5.270893282517483,1.7724609374999991,1.6876258841108775,0.15,85,0,0.0,0.0,0.0,0.0,0.0,0.6939638671165611,0.9519968309871618,0.0,0.9519968309871616,1.9815407082522132,0.3478560080123348,0.6942851655185223,0.78125,0.2117647058823529,0.4,8.298690200298624,19.48557744431472,1.4034852185123632,0.1819668440752452,0.27,73,0,0.0,0.0,0.0,0.0,0.0,0.712944217112703,0.7092489767261119,0.0,0.7092489767261115,1.98877297807243,0.3617939880305634,0.7202675311275231,0.6875,0.3287671232876712,0.3150684931506849,8.53905934800945,79.84651274528503,1.4071784051128664,0.0808900883311271
S_none,0.0,0,0,2,1.0402571046463482,6.35512051813298,1.0000000000000002,1.0402571046463485,0.2,80,0,0.0,0.0,0.0,0.0,0.0,0.4750143631675648,0.7628708919068774,0.0,0.7628708919068776,1.9828451421777096,0.3541027906395697,0.6938817109912634,0.75,0.125,0.3,9.66453701123388,19.48113934113108,1.40294255361071,0.1770626723521322,0.19,81,0,0.0,0.0,0.0,0.0,0.0,0.5869354360141577,0.7731392041027206,0.0,0.7731392041027205,1.9640209029908424,0.3353034530934091,0.6480154270369776,0.75,0.2098765432098765,0.3580246913580246,11.18531129223756,80.2997804364304,1.4131806033397245,0.0790722105859775
S_none,0.0,0,0,3,1.2234478488543377,0.9974856250447738,0.80859375,0.989272284034562,0.2,80,0,0.0,0.0,0.0,0.0,0.0,0.7831357676534623,1.1971749924196908,0.0,1.1971749924196906,1.9706731048638235,0.3422116398966505,0.6675757626071572,0.875,0.2,0.45,7.000204135968103,19.447214973202605,1.4143324234238932,0.1802169671755087,0.27,73,0,0.0,0.0,0.0,0.0,0.0,0.6847511333822631,1.1147460400968023,0.0,1.1147460400968023,1.9470679435500704,0.3370656481084894,0.6790390918208858,0.84375,0.2054794520547945,0.4246575342465753,7.659943192879227,79.95011494777962,1.4143294043275314,0.080415567300197
S_none,0.0,0,0,4,0.9746275751143127,2.772157915700664,1.6865234374999996,1.64373224826408,0.26,74,0,0.0,0.0,0.0,0.0,0.0,0.9257753838731018,1.487309633169582,0.0,1.487309633169582,2.003793962552973,0.3544811429206919,0.7213903423398733,0.9375,0.1621621621621621,0.527027027027027,6.836610108779294,19.46650289883336,1.408769796817837,0.1802766962518689,0.33,67,0,0.0,0.0,0.0,0.0,0.0,0.7850385802052551,1.01068267602073,0.0,1.01068267602073,1.9309734538343264,0.3392332893988444,0.6574860355153435,0.8125,0.2238805970149253,0.417910447761194,7.207560029194336,80.84110002610448,1.407631799831775,0.0787390962284957
S_none,0.0,0,0,5,1.081038593941597,1.6807972085364276,1.1708984375000002,1.265786400523413,0.17,83,0,0.0,0.0,0.0,0.0,0.0,0.5408347427942464,0.3637134312229549,0.0,0.3637134312229548,1.9946578022434072,0.3732689994019415,0.722790814936161,0.65625,0.2048192771084337,0.3012048192771084,10.142430156319252,19.468585261080893,1.4165725149079762,0.1814408802270932,0.18,82,0,0.0,0.0,0.0,0.0,0.0,0.4672023841169167,0.1962682801849624,0.0,0.1962682801849621,1.9486331423374867,0.3200987660849449,0.6350515179118191,0.578125,0.2073170731707317,0.2317073170731707,11.544278854166988,79.84236535658422,1.4165370379433837,0.0811616943045158
S_none,0.0,0,0,6,0.998344517738334,4.781640642747803,2.12109375,2.1175823169215446,0.22,78,0,0.0,0.0,0.0,0.0,0.0,0.7961550883788392,1.276019695740711,0.0,1.276019695740711,1.981880215394082,0.3639229174301962,0.7196063559968024,0.890625,0.1282051282051282,0.5,7.478450518802231,19.34994527405305,1.439350788645371,0.1838626268026664,0.24,76,0,0.0,0.0,0.0,0.0,0.0,0.7066171690607034,1.1032561010236677,0.0,1.103256101023668,1.9727969213022865,0.3470432697099166,0.6671627519272468,0.859375,0.1578947368421052,0.3815789473684211,9.065771430901226,79.46546187918342,1.4084760606359847,0.0819659938301181
S_none,0.0,0,0,7,1.0303517360514134,4.495901527318122,3.02734375,3.119228888436896,0.3,70,0,0.0,0.0,0.0,0.0,0.0,0.6535884610615326,0.590613646857896,0.0,0.5906136468578961,2.0026612529819694,0.3446522650943448,0.6652358514256775,0.71875,0.2428571428571428,0.3428571428571428,7.50996738189088,19.51682472968846,1.4169896912927742,0.1778848959725831,0.22,78,0,0.0,0.0,0.0,0.0,0.0,0.865457719827985,1.5217895740537393,0.0,1.5217895740537384,1.92481451382795,0.2842962959553875,0.5518589375758481,0.9375,0.2179487179487179,0.5128205128205128,7.223636033341093,79.99870355567019,1.416074037121186,0.0812354329177705
S_none,0.0,0,0,8,0.94025241311403,2.981709223649197,1.5615234374999998,1.46822618024349,0.21,79,0,0.0,0.0,0.0,0.0,0.0,0.7884740116416381,1.2852342493861932,0.0,1.2852342493861932,1.972074633175017,0.3367101164192843,0.6509136185050011,0.875,0.1645569620253164,0.4810126582278481,6.67493390051469,19.401037931798093,1.4171320405469578,0.1849650179423151,0.32,68,0,0.0,0.0,0.0,0.0,0.0,0.8030037081079618,1.118402929934518,0.0,1.1184029299345175,1.9437425017537309,0.3505379797357658,0.692097385777571,0.828125,0.25,0.4558823529411764,6.8356803823793175,80.85971190403795,1.423749971161433,0.0804571427114809
S_none,0.0,0,0,9,0.9896666085264996,1.745533508186602,1.7568359375000002,1.7386818640030983,0.2,80,0,0.0,0.0,0.0,0.0,0.0,0.6105905204969853,0.5863778392474012,0.0,0.5863778392474012,1.996142711069762,0.3577503063281205,0.6984885446727276,0.6875,0.2,0.3,9.871829079682351,19.576879159170016,1.4274366386533497,0.1771295274664362,0.26,74,0,0.0,0.0,0.0,0.0,0.0,0.602249892256546,0.5987888836177162,0.0,0.5987888836177164,1.9087641990100228,0.3125372947959456,0.5953277475219598,0.71875,0.2297297297297297,0.3108108108108108,11.469885723440546,80.24805717371623,1.4022031365317194,0.0799157834114196
