metric,window,arm,baseline,pairing,report_only,seed_values,point,percentile_ci_lo,percentile_ci_hi,studentized_ci_lo,studentized_ci_hi,CI_DEGENERATE,degenerate_se_fraction,sign_test_p,n_seed,decision_basis,decision,passed,equivalence_margin,main_verdict,P1_verdict,P2_verdict,closed_form_center,closed_form_band,lambda_corrected_center_report_only,lambda_corrected_band_report_only,lambda_corrected_reading_report_only,preregistered_prediction,preregistered_prediction_scale,raw_delta_used_in_verdict,p2_effect_relation_to_registered_E_A1_interval,p2_registered_E_A1_interval
P1_layer2_dose_level,late_t451_500,LR_A1,,single_arm,0,"[6.385010887334446, 5.664535841702133, 6.377383703832773, 5.89050318194294, 6.38344262284605, 6.448792813681959, 6.512428585536204, 6.964486714729449, 6.039988565368057, 6.643910200370722]",6.384226755090248,6.039988565368057,6.5463515070263405,6.3818514320127395,6041418060.088192,1,0.2212,0.001953125,10,percentile_primary,percentile_CI_vs_closed_form_band_5.35_6.35,0,"[5.35, 6.35]",A_WITHOUT_B_HARMLESS_MULTILAYER,INCONCLUSIVE_WIDE,A_WITHOUT_B_HARMLESS_MULTILAYER,5.85,"[5.35, 6.35]",6.15,"[5.65, 6.65]",A_CLOSED_FORM_MATCH,5.9,dose,,,
P1_delta_layer2_dose_vs_L2_A1,late_t451_500,LR_A1,L2_A1,paired,1,"[-0.26423722362130775, -1.5166033103181347, -0.8448240034693777, -1.8260317895275726, -0.5061101740632941, -0.735382495236383, -0.4511452919618062, -0.6707384912153644, -1.7721214233094589, -0.16191740270694943]",-0.7030604932258737,-1.5166033103181347,-0.3851736988423009,-0.967015071112354,-0.6516467986604111,1,0.3823,0.001953125,10,report_only,,,,A_WITHOUT_B_HARMLESS_MULTILAYER,INCONCLUSIVE_WIDE,A_WITHOUT_B_HARMLESS_MULTILAYER,,,,,,,,0,,
P2_log10_mean_unfit_level,late_t451_500,LR_A1,,single_arm,1,"[-2.5709912709145524, -2.628568842222906, -2.5140513562455586, -2.5778766222276, -2.604382235061784, -2.569029974139157, -2.6552681372041302, -2.5723318029111804, -2.585201160384963, -2.685527249324763]",-2.5815388913062813,-2.6298251861329573,-2.5706808885251684,-86983027640.9757,387841747091.4783,1,0.2194,0.001953125,10,prediction_correspondence_report_only,prediction_check_median_raw_unfit_le_0.005,1,,A_WITHOUT_B_HARMLESS_MULTILAYER,INCONCLUSIVE_WIDE,A_WITHOUT_B_HARMLESS_MULTILAYER,,,,,,0.005,raw_mean_unfit_upper_bound,,,
P2_delta_log10_mean_unfit,late_t451_500,LR_A1,L2_A1,paired,0,"[-1.037356406631913, -1.0853377845466452, -0.6693475150666286, -1.60455962682375, -0.17202536220216125, -0.8264145977890369, -0.9110586560511735, -0.6613602546484931, -1.3162635502049578, -1.0961905792805995]",-0.9742075313415433,-1.2008006673758014,-0.6693475150666286,-1.1561968074076716,0.3822027890732451,1,0.3766,0.001953125,10,percentile_primary,CI_upper_lt_0_then_point_le_E_A1_interval_upper,1,,A_WITHOUT_B_HARMLESS_MULTILAYER,INCONCLUSIVE_WIDE,A_WITHOUT_B_HARMLESS_MULTILAYER,,,,,,,,,WITHIN_E_A1_INTERVAL,"[-1.098, -0.696]"
P2_E_A1_reference_delta_log10_mean_unfit,late_t451_500,E_A1,L2_A1,paired,1,"[-1.0125087825656123, -1.0436073617498323, -0.6959944131202049, -1.4199270973815759, -0.09161578746256271, -0.8105948968687542, -0.8424338849800352, -0.6592800571355708, -1.1669866820713004, -1.0283372107071016]",-0.9274713337728238,-1.097661946389201,-0.6959944131202049,-1.4667548579692422,0.2809835351536836,1,0.376,0.001953125,10,report_only,,,,A_WITHOUT_B_HARMLESS_MULTILAYER,INCONCLUSIVE_WIDE,A_WITHOUT_B_HARMLESS_MULTILAYER,,,,,,,,,,
P3_layer2_submerged_count,step5m_t500,LR_A1,,single_arm,1,"[84.0, 91.0, 87.0, 83.0, 72.0, 89.0, 87.0, 84.0, 80.0, 81.0]",84.0,81.0,88.0,84.0,84.0,1,0.5401,0.001953125,10,report_only,,,,A_WITHOUT_B_HARMLESS_MULTILAYER,INCONCLUSIVE_WIDE,A_WITHOUT_B_HARMLESS_MULTILAYER,,,,,,,,,,
P3_layer2_submerged_frac,step5m_t500,LR_A1,,single_arm,1,"[0.84, 0.91, 0.87, 0.83, 0.72, 0.89, 0.87, 0.84, 0.8, 0.81]",0.84,0.81,0.88,0.84,0.84,1,0.5401,0.001953125,10,report_only,,,,A_WITHOUT_B_HARMLESS_MULTILAYER,INCONCLUSIVE_WIDE,A_WITHOUT_B_HARMLESS_MULTILAYER,,,,,,0.6,fraction,,,
P3_layer2_mean_mobility,step5m_t500,LR_A1,,single_arm,1,"[0.10900002717971802, 0.10703127086162567, 0.11321878433227539, 0.11687502264976501, 0.12475001066923141, 0.10759377479553223, 0.10787501931190491, 0.11040627211332321, 0.11659376323223114, 0.11434377729892731]",0.1118125282227993,0.10787501931190491,0.11659376323223114,0.10689059458633525,0.12025001831365047,1,0.3788,0.001953125,10,report_only,,,,A_WITHOUT_B_HARMLESS_MULTILAYER,INCONCLUSIVE_WIDE,A_WITHOUT_B_HARMLESS_MULTILAYER,,,,,,,,,,
