arm,seed,step,task,window,layer,centered,unfit,eval_loss_exact,dose,mu_norm,sigma_rms,submerged_count,submerged_frac,mobility_mean,eff_rank,w_norm_median,preact_sd_median,median_M,median_B,median_s,finite_s_count,total_units
LR_A1,0,10000,1,task_end_t1_500,1,1,0.0007884454468711328,0.0005708650741366632,0.2592519490080434,0.06481298725201085,0.25,0,0.0,0.5398750305175781,17.00251461361711,1.4382113985681255,0.3651838815647036,0.012062811003771049,-0.009963919718175025,-0.012802893063053489,100,100
LR_A1,0,10000,1,task_end_t1_500,2,0,0.0007884454468711328,0.0005708650741366632,6.0876474927513184,1.3605055894021558,0.22348626312908831,1,0.01,0.5328437089920044,20.342327065972555,1.4223126064728646,0.32721349311458026,-0.03158281802529066,-0.018628350645926838,-0.0008606426417827606,100,100
LR_A1,0,20000,2,task_end_t1_500,1,1,0.001050533719160791,0.0005590569880952604,0.2112926626989072,0.0528231656747268,0.25,0,0.0,0.5322812795639038,17.635788924912678,1.4410663361911205,0.36578211013864026,0.0022095507372531928,-0.052398243696611516,-0.0700923865661025,100,100
LR_A1,0,20000,2,task_end_t1_500,2,0,0.001050533719160791,0.0005590569880952604,6.696304877565652,1.4637806316098358,0.2185952787953067,4,0.04,0.49290627241134644,19.29319968891063,1.424915359260224,0.33983153589806153,-0.21043334786603446,-0.06326780000967722,-0.20087785692885518,100,100
LR_A1,0,30000,3,task_end_t1_500,1,1,0.001197550880657774,0.0015037217257782975,0.2839816258085441,0.07099540645213602,0.25,0,0.0,0.5300312638282776,17.246149703128545,1.44765902481392,0.37180787941710114,-0.005374537377485469,-0.0748520220569581,-0.06607008702121675,100,100
LR_A1,0,30000,3,task_end_t1_500,2,0,0.001197550880657774,0.0015037217257782975,7.192670369673045,1.612033045587425,0.22412163532258503,8,0.08,0.4397500157356262,19.59502742023979,1.4373738286542581,0.36656727304463477,-0.33318514487790496,-0.08901848851031677,-0.39123706752434373,100,100
LR_A1,0,40000,4,task_end_t1_500,1,1,0.0004936003657783647,0.0013187550041458722,0.43601828579102736,0.10900457144775684,0.25,1,0.01,0.527218759059906,17.240732440024846,1.4494744870470146,0.3673607901940695,-0.027090154849291448,-0.006416769946001712,-0.03024108335375786,100,100
LR_A1,0,40000,4,task_end_t1_500,2,0,0.0004936003657783647,0.0013187550041458722,7.3415298392722255,1.681005072723124,0.22897204118559628,14,0.14,0.38771873712539673,20.278934880199223,1.4477857654405386,0.3682422301463017,-0.39626989454264905,-0.13203941888743664,-0.5384330153465271,100,100
LR_A1,0,50000,5,task_end_t1_500,1,1,0.0009795046182002527,0.0011011797201557383,0.39343294997388506,0.09835823749347126,0.25,1,0.01,0.5328437685966492,17.163898642723808,1.4487663452938322,0.3708806083012865,0.011417967659077441,-0.05929621810126835,-0.04056912660598755,100,100
LR_A1,0,50000,5,task_end_t1_500,2,0,0.0009795046182002527,0.0011011797201557383,7.286775865528785,1.6669084206437565,0.22875802020058328,15,0.15,0.3587499260902405,19.854360397140464,1.448077511109398,0.3591559725169482,-0.6839315711986702,-0.15895624210077436,-0.7714802660048008,100,100
