arm,seed,step,task,window,layer,unit,M,B,s_i,denom,p_hat,submerged,mobility,finite_s
LR_A1,0,5000000,500,step5m_t500,1,0,0.009360366500914097,-0.26888033747673035,-0.25951997097581625,0.8405585885047913,0.4375,0,0.49375,1
LR_A1,0,5000000,500,step5m_t500,1,1,-0.051644910126924515,-0.8541004061698914,-0.9057453162968159,1.0597851276397705,0.25,0,0.325,1
LR_A1,0,5000000,500,step5m_t500,1,2,0.1261684000492096,-1.6731711626052856,-1.547002762556076,0.9236965775489807,0.0625,0,0.15625,1
LR_A1,0,5000000,500,step5m_t500,1,3,-0.016203779727220535,-2.2515766620635986,-2.267780441790819,0.3682674169540405,0.0,1,0.1,1
LR_A1,0,5000000,500,step5m_t500,1,4,-0.05296725407242775,-0.8710793256759644,-0.9240465797483921,0.269057959318161,0.21875,0,0.296875,1
LR_A1,0,5000000,500,step5m_t500,1,5,-0.0029284784104675055,-1.1078767776489258,-1.1108052560593933,0.6549366116523743,0.15625,0,0.240625,1
LR_A1,0,5000000,500,step5m_t500,1,6,0.03948862850666046,-1.363951563835144,-1.3244629353284836,0.3046089708805084,0.125,0,0.21250000000000002,1
LR_A1,0,5000000,500,step5m_t500,1,7,0.08948482573032379,-1.5689011812210083,-1.4794163554906845,0.6760838627815247,0.0625,0,0.15625,1
LR_A1,0,5000000,500,step5m_t500,1,8,-0.03911810368299484,-0.5082732439041138,-0.5473913475871086,0.5086908340454102,0.28125,0,0.353125,1
LR_A1,0,5000000,500,step5m_t500,1,9,0.06807494163513184,-2.6118452548980713,-2.5437703132629395,0.22626544535160065,0.0,1,0.1,1
LR_A1,0,5000000,500,step5m_t500,1,10,-0.06210432946681976,-0.5509264469146729,-0.6130307763814926,0.423329621553421,0.3125,0,0.38125,1
LR_A1,0,5000000,500,step5m_t500,1,11,0.06321220099925995,-0.7439337968826294,-0.6807215958833694,0.9595261216163635,0.1875,0,0.26875000000000004,1
LR_A1,0,5000000,500,step5m_t500,1,12,0.0624319426715374,-0.92526775598526,-0.8628358133137226,0.2594822347164154,0.1875,0,0.26875000000000004,1
LR_A1,0,5000000,500,step5m_t500,1,13,-0.010137868113815784,0.3323788046836853,0.3222409365698695,0.7127308249473572,0.625,0,0.6625,1
LR_A1,0,5000000,500,step5m_t500,1,14,-0.011964456178247929,-2.829213857650757,-2.8411783138290048,0.3701289892196655,0.0,1,0.1,1
LR_A1,0,5000000,500,step5m_t500,1,15,-0.01199508085846901,-0.7527185082435608,-0.7647135891020298,0.5666507482528687,0.25,0,0.325,1
LR_A1,0,5000000,500,step5m_t500,1,16,0.026857201009988785,-1.2191005945205688,-1.19224339351058,0.24760277569293976,0.0625,0,0.15625,1
LR_A1,0,5000000,500,step5m_t500,1,17,0.011357094161212444,-0.9414620995521545,-0.9301050053909421,0.5475733280181885,0.1875,0,0.26875000000000004,1
LR_A1,0,5000000,500,step5m_t500,1,18,0.07498495280742645,-0.028145018965005875,0.04683993384242058,0.8785175681114197,0.5,0,0.55,1
LR_A1,0,5000000,500,step5m_t500,1,19,-0.06276434659957886,-0.3211306631565094,-0.38389500975608826,0.5191439986228943,0.375,0,0.4375,1
LR_A1,0,5000000,500,step5m_t500,1,20,-0.03358444198966026,-0.5010033845901489,-0.5345878265798092,0.577024519443512,0.3125,0,0.38125,1
LR_A1,0,5000000,500,step5m_t500,1,21,0.004088506102561951,0.0025544294621795416,0.006642935564741492,0.5645681023597717,0.5,0,0.55,1
LR_A1,0,5000000,500,step5m_t500,1,22,0.11739639192819595,0.625418484210968,0.742814876139164,0.5700857639312744,0.75,0,0.775,1
LR_A1,0,5000000,500,step5m_t500,1,23,-0.09738371521234512,-0.0977577492594719,-0.19514146447181702,0.36954265832901,0.46875,0,0.521875,1
LR_A1,0,5000000,500,step5m_t500,1,24,-0.016747931018471718,-3.988440990447998,-4.00518892146647,0.22817598283290863,0.0,1,0.1,1
LR_A1,0,5000000,500,step5m_t500,1,25,0.013728534802794456,-0.011422164738178253,0.0023063700646162033,0.6277273297309875,0.5,0,0.55,1
LR_A1,0,5000000,500,step5m_t500,1,26,-0.02052180841565132,-1.0107684135437012,-1.0312902219593525,0.5120189189910889,0.15625,0,0.240625,1
LR_A1,0,5000000,500,step5m_t500,1,27,-0.04190276563167572,-0.20050852000713348,-0.2424112856388092,1.0326130390167236,0.40625,0,0.46562500000000007,1
LR_A1,0,5000000,500,step5m_t500,1,28,0.04866057261824608,-0.17585055530071259,-0.1271899826824665,0.46994367241859436,0.5,0,0.55,1
