seed,window,selected,expected,pass_
0,late_t451_500,50,50,1
0,task_end_t1_500,500,500,1
0,step0_excluded_from_primary,0,0,1
1,late_t451_500,50,50,1
1,task_end_t1_500,500,500,1
1,step0_excluded_from_primary,0,0,1
2,late_t451_500,50,50,1
2,task_end_t1_500,500,500,1
2,step0_excluded_from_primary,0,0,1
3,late_t451_500,50,50,1
3,task_end_t1_500,500,500,1
3,step0_excluded_from_primary,0,0,1
4,late_t451_500,50,50,1
4,task_end_t1_500,500,500,1
4,step0_excluded_from_primary,0,0,1
5,late_t451_500,50,50,1
5,task_end_t1_500,500,500,1
5,step0_excluded_from_primary,0,0,1
6,late_t451_500,50,50,1
6,task_end_t1_500,500,500,1
6,step0_excluded_from_primary,0,0,1
7,late_t451_500,50,50,1
7,task_end_t1_500,500,500,1
7,step0_excluded_from_primary,0,0,1
8,late_t451_500,50,50,1
8,task_end_t1_500,500,500,1
8,step0_excluded_from_primary,0,0,1
9,late_t451_500,50,50,1
9,task_end_t1_500,500,500,1
9,step0_excluded_from_primary,0,0,1
