boundary_step,metric,baseline,peak_offset,peak_value,peak_excursion,one_over_e_excursion,tau_fit,censored_after_300
10000,residual_var,0.001093861043267793,20,0.5225133822746905,0.5214195212314227,0.19181952208649677,,1
20000,residual_var,0.0009181272560677314,20,0.6318578632785453,0.6309397360224775,0.2321097575008064,,1
30000,residual_var,0.0026859049923285677,20,1.0460745035058567,1.0433885985135283,0.3838412145458112,260.0,0
40000,residual_var,0.0022557346805533018,20,0.5967738366606956,0.5945181019801423,0.21871098712276132,280.0,0
50000,residual_var,0.00365645377310688,20,0.9358151893361466,0.9321587355630397,0.34292203472200933,220.0,0
60000,residual_var,0.0022020674617314836,20,0.6167537568026888,0.6145516893409574,0.22608093204571725,,1
70000,residual_var,0.002007017759540592,20,0.4281726203879604,0.4261656026284198,0.15677756374143403,260.0,0
80000,residual_var,0.0014325574817512863,40,0.7416949848536466,0.7402624273718953,0.2723273281017883,280.0,0
90000,residual_var,0.001262579619577711,40,0.8141649933503295,0.8129024137307518,0.2990500856901856,280.0,0
100000,residual_var,0.001792856119223446,20,0.8076512409756103,0.8058583848563868,0.2964587322842887,140.0,0
110000,residual_var,0.0011346521110811997,20,1.1518422401119188,1.1507075880008377,0.42332166442548647,200.0,0
120000,residual_var,0.0018271165595650555,20,0.6665687730632979,0.6647416565037328,0.24454478911797212,300.0,0
130000,residual_var,0.0026181314721960298,20,1.1685256389047782,1.1659075074325822,0.42891340229188757,220.0,0
140000,residual_var,0.0022673447574363716,20,1.4600729365601877,1.4578055918027513,0.536296706449,180.0,0
150000,residual_var,0.00159525064032018,20,1.8367722873508217,1.8351770367105014,0.6751239027157228,120.0,0
160000,residual_var,0.004544214217404389,20,2.1281753236048737,2.1236311093874694,0.7812402257757524,140.0,0
170000,residual_var,0.0023242033834752636,20,1.1675994573255413,1.165275253942066,0.42868080923111784,240.0,0
180000,residual_var,0.0050869295168630285,80,0.5692622682206969,0.5641753387038339,0.2075485083250756,240.0,0
190000,residual_var,0.0033986388842155955,20,0.6913176758645676,0.6879190369803521,0.25307127089552867,40.0,0
