task,arm,seed,online_acc,online_loss,train_acc,train_loss,val_acc,val_loss,samples,steps,online_global_acc,train_global_acc,val_global_acc,train_seconds,seconds,online_chunks
1,KKT1,0,0.5178239941596985,1.1616219607696532,0.6132,0.9496863555908203,0.588,1.0586978759765624,62500,500,0.5174880027770996,0.6132,0.588,49.92170906701358,52.34718411200447,"[0.4066399931907654, 0.49511998891830444, 0.5379999876022339, 0.5610399842262268, 0.5883199572563171]"
2,KKT1,0,0.7573440074920654,0.6434652873611449,0.8496,0.40525559005737305,0.74,0.7283740539550781,62500,500,0.7570880055427551,0.8496,0.74,31.804073164996225,33.78949294798076,"[0.6244800090789795, 0.7556799650192261, 0.7828800082206726, 0.8035999536514282, 0.8200799822807312]"
3,KKT1,0,0.6825760006904602,0.7680686965389252,0.7948,0.5027499900817871,0.748,0.7047937927246094,62500,500,0.6821600198745728,0.7948,0.748,31.870123688015155,33.60122830601176,"[0.5435199737548828, 0.6652799844741821, 0.7108799815177917, 0.7382400035858154, 0.7549600005149841]"
4,KKT1,0,0.6612799763679504,0.8887042850265503,0.7396,0.70023017578125,0.688,0.818566650390625,62500,500,0.6607999801635742,0.7396,0.688,31.874496343021747,33.612594567995984,"[0.5430399775505066, 0.6412799954414368, 0.6855999827384949, 0.704479992389679, 0.7319999933242798]"
5,KKT1,0,0.6807360053062439,0.829578100200653,0.7908,0.5392769973754883,0.708,0.8662989807128906,62500,500,0.6802399754524231,0.7908,0.708,31.877636572986376,33.598947807971854,"[0.5654399991035461, 0.6590399742126465, 0.7015999555587769, 0.7269600033760071, 0.7506399750709534]"
6,KKT1,0,0.6910079717636108,0.8246857769622802,0.8056,0.5507152786254883,0.716,0.81609130859375,62500,500,0.6906239986419678,0.8056,0.716,31.876434620993678,33.58347099897219,"[0.5823999643325806, 0.66839998960495, 0.710159957408905, 0.740399956703186, 0.7536799907684326]"
7,KKT1,0,0.822160005569458,0.46578039581108094,0.9284,0.20105048446655274,0.868,0.3342788391113281,62500,500,0.8217920064926147,0.9284,0.868,31.873656034003943,33.591536589025054,"[0.7183199524879456, 0.8081600069999695, 0.8394399881362915, 0.8654399514198303, 0.8794399499893188]"
8,KKT1,0,0.7303360104560852,0.7078593413467407,0.8236,0.4748544765472412,0.76,0.7349280395507812,62500,500,0.7298880219459534,0.8236,0.76,31.870642694993876,33.59074381302344,"[0.6196799874305725, 0.716159999370575, 0.7496799826622009, 0.770799994468689, 0.7953599691390991]"
9,KKT1,0,0.8184159994125366,0.49207257382583613,0.9156,0.2488953498840332,0.768,0.7046654663085937,62500,500,0.8180480003356934,0.9156,0.768,31.88630308699794,33.60331279999809,"[0.7150399684906006, 0.8087199926376343, 0.83815997838974, 0.8581599593162537, 0.871999979019165]"
10,KKT1,0,0.6923040151596069,0.777168704914093,0.7988,0.535140896987915,0.636,1.0047620544433593,62500,500,0.6918399930000305,0.7988,0.636,31.873268669995014,33.604748107958585,"[0.5839200019836426, 0.6735199689865112, 0.7142399549484253, 0.7323200106620789, 0.7575199604034424]"
11,KKT1,0,0.7980480194091797,0.5511505124950409,0.87,0.3587857467651367,0.832,0.4865600128173828,62500,500,0.7976160049438477,0.87,0.832,31.886922194971703,33.606240309018176,"[0.6849600076675415, 0.7905600070953369, 0.8224799633026123, 0.835599958896637, 0.8566399812698364]"
12,KKT1,0,0.8189759850502014,0.4950426374893188,0.8976,0.28707826900482175,0.828,0.493986328125,62500,500,0.8187199831008911,0.8976,0.828,31.8833004499902,33.762155445991084,"[0.7053599953651428, 0.8087999820709229, 0.8390399813652039, 0.8619999885559082, 0.8796799778938293]"
13,KKT1,0,0.8470879793167114,0.39818531736803053,0.9324,0.17418861112594605,0.856,0.4551229248046875,62500,500,0.846671998500824,0.9324,0.856,31.87600647000363,33.60289749701042,"[0.7433599829673767, 0.8411999940872192, 0.8647199869155884, 0.8847999572753906, 0.9013599753379822]"
14,KKT1,0,0.8174560070037842,0.5152513154029846,0.9228,0.23305938186645508,0.796,0.6398188171386718,62500,500,0.8170719742774963,0.9228,0.796,31.885566873999778,33.62565432698466,"[0.7008799910545349, 0.8059200048446655, 0.8437599539756775, 0.8621599674224854, 0.8745599985122681]"
15,KKT1,0,0.8318560123443604,0.47258113019466397,0.9336,0.18369975967407226,0.816,0.5362749633789062,62500,500,0.8313279747962952,0.9336,0.816,31.882002907979768,33.61099984496832,"[0.735759973526001, 0.8210399746894836, 0.852400004863739, 0.8679999709129333, 0.8820799589157104]"
16,KKT1,0,0.873520016670227,0.35863813399267197,0.962,0.12704440307617187,0.872,0.4097138671875,62500,500,0.8732159733772278,0.962,0.872,31.879553299979307,33.606830587028526,"[0.7719199657440186, 0.866159975528717, 0.8991199731826782, 0.9098399877548218, 0.9205600023269653]"
17,KKT1,0,0.9248319864273071,0.22559071752405166,0.9788,0.06426709251403809,0.896,0.36830841064453124,62500,500,0.9243999719619751,0.9788,0.896,31.861513570009265,33.602074722002726,"[0.8455199599266052, 0.9243199825286865, 0.9416799545288086, 0.9540799856185913, 0.9585599899291992]"
18,KKT1,0,0.7901920080184937,0.5605852092952728,0.8616,0.34461108016967773,0.768,0.6887872924804688,62500,500,0.7898719906806946,0.8616,0.768,31.881135860981885,33.62071626499528,"[0.6652799844741821, 0.776639997959137, 0.817359983921051, 0.8348000049591064, 0.8568799495697021]"
19,KKT1,0,0.7763839960098267,0.6029447495536804,0.8824,0.3078559860229492,0.768,0.7592097473144531,62500,500,0.7760480046272278,0.8824,0.768,31.878145697002765,33.60790966200875,"[0.64055997133255, 0.762719988822937, 0.8014400005340576, 0.8363999724388123, 0.8407999873161316]"
