seed,S_none_drift_B10minusB02,S_none_B02_meanlog10unfit,S_none_B02_L1_strict_dead_frac,S_none_B02_L1_M_median_alive,S_none_B02_L1_B_median_alive,S_none_B02_L2_strict_dead_frac,S_none_B02_L2_M_median_alive,S_none_B02_L2_B_median_alive,S_none_B10_meanlog10unfit,S_none_B10_L1_strict_dead_frac,S_none_B10_L1_M_median_alive,S_none_B10_L1_B_median_alive,S_none_B10_L2_strict_dead_frac,S_none_B10_L2_M_median_alive,S_none_B10_L2_B_median_alive
0,9.574786788127811,-9.98849389680732,0.6788,-0.6944102259041256,-0.22011374972189,0.6562,-0.9587465275696226,-0.17018848501672626,-0.4137071086795093,0.8021999999999998,-1.157932764318452,-0.13915010201044503,0.9308000000000001,-1.3420550241688793,-0.04905556458999933
1,9.761141141788094,-10.575072104314247,0.633,-0.7441366774596808,-0.283181478908941,0.5636,-0.7105806221591864,-0.37843045961433974,-0.813930962526152,0.8079999999999998,-0.8302144133685566,-0.08820133899833273,0.9436,-0.818349649731371,-0.23988151801407262
2,9.084169537276805,-10.971962844082476,0.5808,-0.6669651098542149,-0.3288736472196978,0.4666,-0.7917019662243622,-0.19289901833797213,-1.8877933068056705,0.7206,-0.9588259193842665,-0.22356934938262488,0.867,-0.7838436249109434,-0.12486692474794774
3,7.862758159855519,-10.22168264674525,0.6602,-0.5502870098503355,-0.2483206729152635,0.6416,-0.9118783321285009,-0.139298192269688,-2.358924486889731,0.8584,-1.0196094972897052,-0.10094482757729345,0.8783999999999998,-0.8106698707941906,-0.13933534946218487
4,3.290570506995531,-6.268209775166401,0.7814000000000001,-0.7483298484560099,-0.17504378665253548,0.6926000000000001,-0.7489190661862767,-0.20224291912664696,-2.97763926817087,0.6326000000000002,-1.0786673119406507,-0.2876412976229153,0.8543999999999999,-0.9127238888677092,-0.12246745747644795
5,11.398383783315957,-13.085835593944944,0.49620000000000003,-0.5630745296247661,-0.26672365330965436,0.49939999999999996,-0.8768560887465401,-0.1886680062967984,-1.6874518106289882,0.7701999999999998,-0.8436664029939478,-0.21602894163810135,0.8666000000000001,-0.882379230425126,-0.14018516728036665
6,11.00187015194368,-13.200500649991618,0.6177999999999999,-0.5882341245665664,-0.2002939709653155,0.4804,-0.7567875742398141,-0.22581591910253443,-2.1986304980479385,0.775,-0.7648792185924542,-0.30277415270830865,0.8674000000000001,-0.9246527696782707,-0.2573545352035212
7,7.133144168953804,-8.671848984913822,0.7289999999999999,-0.7627964389837969,-0.19926051580642465,0.5536,-0.6527975626782693,-0.23882988607320135,-1.538704815960018,0.8286000000000001,-0.9085650112892951,-0.11965531843876795,0.9166,-0.8579995319185565,-0.1224644487089855
8,10.629689358250545,-13.141366410075921,0.5726,-0.5334713357424906,-0.2748565778031076,0.53,-0.8281502646993131,-0.17504303713896374,-2.511677051825377,0.8402000000000001,-0.7992804064690161,-0.28989242790093145,0.9043999999999999,-0.5130614418973398,-0.5919103202044039
9,11.28001101869543,-13.069978440171562,0.6272000000000001,-0.705708553041649,-0.21526666921794743,0.5336,-0.7793950123528043,-0.2034891453476189,-1.7899674214761336,0.7643999999999999,-0.8443656360943796,-0.3487590358600988,0.8798,-0.9855195227310182,-0.14068899067937024
